X Lag Time,Record 1: EVs_3e10_PS2_500ug_300rpm_40-00min_ST_No1_230918 1,Record 2: EVs_3e10_PS2_500ug_300rpm_40-00min_ST_No1_230918 2,Record 3: EVs_3e10_PS2_500ug_300rpm_40-00min_ST_No1_230918 3,X Intensity,Record 1: EVs_3e10_PS2_500ug_300rpm_40-00min_ST_No1_230918 1,Record 2: EVs_3e10_PS2_500ug_300rpm_40-00min_ST_No1_230918 2,Record 3: EVs_3e10_PS2_500ug_300rpm_40-00min_ST_No1_230918 3
0.5,0.905,0.908,0.898,0.4,0,0,0
1,0.913,0.914,0.904,0.463,0,0,0
1.5,0.909,0.911,0.9,0.536,0,0,0
2,0.908,0.909,0.899,0.621,0,0,0
2.5,0.907,0.908,0.897,0.719,0,0,0
3,0.905,0.906,0.896,0.833,0,0,0
3.5,0.903,0.905,0.896,0.965,0,0,0
4,0.901,0.902,0.893,1.12,0,0,0
4.5,0.899,0.901,0.89,1.29,0,0,0
5.5,0.895,0.896,0.887,1.5,0,0,0
6.5,0.892,0.893,0.884,1.74,0,0,0
7.5,0.887,0.889,0.878,2.01,0,0,0
8.5,0.884,0.886,0.875,2.33,0,0,0
9.5,0.881,0.881,0.871,2.7,0,0,0
10.5,0.876,0.877,0.867,3.12,0,0,0
11.5,0.872,0.873,0.862,3.62,0,0,0
12.5,0.869,0.87,0.859,4.19,0,0,0
14.5,0.862,0.863,0.851,4.85,0,0,0
16.5,0.853,0.855,0.844,5.61,0,0,0
18.5,0.845,0.849,0.837,6.5,0,0,0
20.5,0.839,0.84,0.829,7.53,0,0,0
22.5,0.832,0.833,0.822,8.72,0,0,0
24.5,0.824,0.826,0.815,10.1,0,0,0
26.5,0.818,0.819,0.808,11.7,0,0,0
28.5,0.811,0.812,0.801,13.5,0,0,0
32.5,0.797,0.798,0.787,15.7,0,0,0
36.5,0.783,0.785,0.773,18.2,0,0,0
40.5,0.769,0.771,0.76,21,0,0,0
44.5,0.757,0.758,0.746,24.4,0,0,0
48.5,0.744,0.746,0.734,28.2,0,0,0
52.5,0.732,0.733,0.721,32.7,0,0,0
56.5,0.719,0.721,0.709,37.8,0,0,0
60.5,0.707,0.709,0.696,43.8,0,0,0
68.5,0.684,0.685,0.673,50.7,0.0765,0,0
76.5,0.661,0.662,0.65,58.8,0.934,0.369,0.503
84.5,0.639,0.641,0.628,68.1,2.45,1.72,2.22
92.5,0.618,0.62,0.607,78.8,4.3,3.88,4.71
101,0.598,0.6,0.587,91.3,6.14,6.37,7.26
109,0.578,0.58,0.568,106,7.77,8.69,9.33
117,0.56,0.561,0.55,122,9.05,10.5,10.6
125,0.542,0.544,0.532,142,9.88,11.5,11
141,0.508,0.51,0.497,164,10.2,11.7,10.7
157,0.476,0.478,0.466,190,10.1,11.1,9.82
173,0.447,0.449,0.436,220,9.49,9.82,8.58
189,0.42,0.422,0.409,255,8.46,8.1,7.16
205,0.395,0.396,0.383,295,7.1,6.16,5.7
221,0.371,0.372,0.36,342,5.55,4.24,4.31
237,0.349,0.349,0.338,396,3.97,2.54,3.06
253,0.329,0.329,0.318,459,2.51,1.24,1.99
285,0.291,0.291,0.281,531,1.33,0.411,1.15
317,0.258,0.259,0.25,615,0.523,0.0445,0.551
