X Lag Time,Record 1: BVs_3e10_300rpm_20-00min_ST_No2_230906 1,Record 2: BVs_3e10_300rpm_20-00min_ST_No2_230906 2,Record 3: BVs_3e10_300rpm_20-00min_ST_No2_230906 3,X Intensity,Record 1: BVs_3e10_300rpm_20-00min_ST_No2_230906 1,Record 2: BVs_3e10_300rpm_20-00min_ST_No2_230906 2,Record 3: BVs_3e10_300rpm_20-00min_ST_No2_230906 3
0.5,0.874,0.878,0.871,0.4,0,0,0
1,0.878,0.884,0.878,0.463,0,0,0
1.5,0.876,0.885,0.877,0.536,0,0,0
2,0.873,0.883,0.875,0.621,0,0,0
2.5,0.874,0.882,0.873,0.719,0,0,0
3,0.873,0.881,0.873,0.833,0,0,0
3.5,0.872,0.88,0.873,0.965,0,0,0
4,0.87,0.88,0.872,1.12,0,0,0
4.5,0.868,0.877,0.87,1.29,0,0,0
5.5,0.867,0.875,0.868,1.5,0,0,0
6.5,0.863,0.872,0.866,1.74,0,0,0
7.5,0.863,0.87,0.862,2.01,0,0,0
8.5,0.86,0.867,0.86,2.33,0,0,0
9.5,0.857,0.865,0.858,2.7,0,0,0
10.5,0.855,0.862,0.855,3.12,0,0,0
11.5,0.851,0.859,0.853,3.62,0,0,0
12.5,0.85,0.856,0.851,4.19,0,0,0
14.5,0.844,0.851,0.847,4.85,0,0,0
16.5,0.84,0.846,0.841,5.61,0,0,0
18.5,0.835,0.84,0.838,6.5,0,0,0
20.5,0.83,0.835,0.833,7.53,0,0,0
22.5,0.825,0.831,0.828,8.72,0,0,0
24.5,0.821,0.826,0.824,10.1,0,0,0
26.5,0.816,0.821,0.819,11.7,0,0,0
28.5,0.811,0.816,0.815,13.5,0,0,0
32.5,0.802,0.807,0.807,15.7,0,0,0
36.5,0.793,0.797,0.797,18.2,0,0,0
40.5,0.785,0.788,0.789,21,0,0,0
44.5,0.775,0.778,0.781,24.4,0,0,0
48.5,0.767,0.77,0.772,28.2,0,0.0237,0
52.5,0.759,0.76,0.765,32.7,0,0.214,0
56.5,0.75,0.752,0.756,37.8,0,0.354,0
60.5,0.742,0.744,0.749,43.8,0,0.316,0
68.5,0.726,0.726,0.733,50.7,0,0.191,0
76.5,0.71,0.71,0.718,58.8,0,0.216,0
84.5,0.695,0.694,0.704,68.1,0.153,0.643,0.316
92.5,0.68,0.678,0.69,78.8,1.6,1.61,1.98
101,0.666,0.664,0.676,91.3,3.92,3.09,4.29
109,0.651,0.649,0.663,106,6.25,4.88,6.25
117,0.638,0.635,0.649,122,7.88,6.67,7.26
125,0.625,0.621,0.637,142,8.49,8.17,7.29
141,0.6,0.595,0.612,164,8.16,9.12,6.65
157,0.575,0.57,0.589,190,7.21,9.42,5.84
173,0.553,0.547,0.567,220,6.06,9.12,5.29
189,0.531,0.525,0.547,255,5.09,8.35,5.23
205,0.511,0.504,0.527,295,4.51,7.31,5.65
221,0.492,0.485,0.508,342,4.38,6.21,6.31
237,0.474,0.466,0.49,396,4.58,5.17,6.9
253,0.456,0.448,0.473,459,4.9,4.27,7.1
285,0.424,0.416,0.442,531,5.11,3.5,6.69
317,0.394,0.386,0.413,615,5.02,2.81,5.66
349,0.368,0.359,0.387,712,4.53,2.14,4.16
381,0.344,0.335,0.364,825,3.68,1.49,2.51
413,0.322,0.312,0.342,955,2.61,0.871,1.11
445,0.302,0.293,0.322,1.11E+03,1.52,0.373,0.25
477,0.284,0.274,0.305,1.28E+03,0.646,0.0766,0
509,0.267,0.258,0.289,1.48E+03,0.138,0,0
573,0.238,0.229,0.26,1.72E+03,0,0,0
637,0.214,0.204,0.235,1.99E+03,0,0,0
701,0.193,0.183,0.213,2.30E+03,0,0,0
765,0.175,0.164,0.195,2.67E+03,0,0,0
829,0.16,0.149,0.179,3.09E+03,0,0,0
893,0.147,0.136,0.165,3.58E+03,0.0136,0,0
957,0.135,0.124,0.152,4.15E+03,0.38,0.162,0.113
1.02E+03,0.125,0.114,0.142,4.80E+03,1.13,0.956,0.903
