X Lag Time,Record 1: EVs_3e10_PS2_500ug_300rpm_40-00min_ST_No2_230918 1,Record 2: EVs_3e10_PS2_500ug_300rpm_40-00min_ST_No2_230918 2,Record 3: EVs_3e10_PS2_500ug_300rpm_40-00min_ST_No2_230918 3,X Intensity,Record 1: EVs_3e10_PS2_500ug_300rpm_40-00min_ST_No2_230918 1,Record 2: EVs_3e10_PS2_500ug_300rpm_40-00min_ST_No2_230918 2,Record 3: EVs_3e10_PS2_500ug_300rpm_40-00min_ST_No2_230918 3
0.5,0.907,0.907,0.911,0.4,0,0,0
1,0.913,0.912,0.917,0.463,0,0,0
1.5,0.909,0.911,0.913,0.536,0,0,0
2,0.906,0.906,0.912,0.621,0,0,0
2.5,0.905,0.905,0.907,0.719,0,0,0
3,0.905,0.903,0.905,0.833,0,0,0
3.5,0.902,0.901,0.905,0.965,0,0,0
4,0.9,0.898,0.903,1.12,0,0,0
4.5,0.896,0.895,0.9,1.29,0,0,0
5.5,0.892,0.891,0.896,1.5,0,0,0
6.5,0.886,0.886,0.89,1.74,0,0,0
7.5,0.882,0.88,0.886,2.01,0,0,0
8.5,0.877,0.876,0.88,2.33,0,0,0
9.5,0.872,0.871,0.877,2.7,0,0,0
10.5,0.867,0.866,0.871,3.12,0,0,0
11.5,0.863,0.864,0.866,3.62,0,0,0
12.5,0.858,0.858,0.862,4.19,0,0,0
14.5,0.849,0.848,0.853,4.85,0,0,0
16.5,0.839,0.839,0.844,5.61,0,0,0
18.5,0.83,0.83,0.835,6.5,0,0,0
20.5,0.821,0.822,0.826,7.53,0,0,0
22.5,0.812,0.811,0.817,8.72,0,0,0
24.5,0.804,0.803,0.808,10.1,0,0,0
26.5,0.795,0.795,0.8,11.7,0,0,0
28.5,0.786,0.786,0.791,13.5,0,0,0
32.5,0.769,0.77,0.775,15.7,0,0,0
36.5,0.753,0.753,0.758,18.2,0,0,0
40.5,0.737,0.737,0.742,21,0,0,0
44.5,0.722,0.722,0.726,24.4,0,0,0
48.5,0.706,0.706,0.711,28.2,0,0,0
52.5,0.692,0.691,0.697,32.7,0,0,0
56.5,0.677,0.677,0.682,37.8,0,0,0
60.5,0.663,0.663,0.668,43.8,0,0.126,0
68.5,0.636,0.636,0.641,50.7,0,0.913,0
76.5,0.609,0.609,0.615,58.8,1.81,2.46,1.4
84.5,0.584,0.584,0.59,68.1,5.06,4.58,4.2
92.5,0.56,0.56,0.566,78.8,8.64,6.92,7.64
101,0.537,0.538,0.543,91.3,11.6,9.11,10.8
109,0.515,0.516,0.522,106,13.2,10.8,13
117,0.495,0.495,0.501,122,13.5,11.8,13.9
125,0.474,0.476,0.481,142,12.5,11.9,13.4
141,0.437,0.439,0.443,164,10.6,11.2,11.7
157,0.403,0.405,0.409,190,8.26,9.77,9.25
173,0.373,0.374,0.378,220,5.79,7.88,6.52
189,0.344,0.345,0.349,255,3.58,5.78,3.95
205,0.318,0.318,0.322,295,1.85,3.75,1.91
221,0.295,0.294,0.298,342,0.708,2.05,0.605
237,0.273,0.272,0.276,396,0.142,0.837,0.0421
253,0.254,0.252,0.256,459,0,0.186,0
285,0.219,0.217,0.221,531,0,0,0
317,0.19,0.186,0.191,615,0,0,0
349,0.165,0.161,0.165,712,0,0,0
381,0.144,0.14,0.143,825,0,0,0
413,0.125,0.121,0.125,955,0,0,0
445,0.11,0.105,0.109,1.11E+03,0,0,0
477,0.096,0.0917,0.095,1.28E+03,0,0,0
509,0.0847,0.0804,0.0837,1.48E+03,0,0,0
573,0.0654,0.0614,0.0647,1.72E+03,0,0,0
637,0.0503,0.0472,0.0501,1.99E+03,0,0,0
701,0.0389,0.036,0.0387,2.30E+03,0,0,0
765,0.0298,0.0272,0.0305,2.67E+03,0.00915,0,0
829,0.0234,0.0207,0.0244,3.09E+03,0.1,0,0.0455
893,0.0188,0.0164,0.0199,3.58E+03,0.285,0,0.166
957,0.0148,0.0129,0.0159,4.15E+03,0.529,0,0.343
1.02E+03,0.0124,0.0103,0.013,4.80E+03,0.773,0,0.533
