X Lag Time,Record 1: EVs_3e10_300rpm_40-00min_ST_No1_230830 1,Record 2: EVs_3e10_300rpm_40-00min_ST_No1_230830 2,Record 3: EVs_3e10_300rpm_40-00min_ST_No1_230830 3,X Intensity,Record 1: EVs_3e10_300rpm_40-00min_ST_No1_230830 1,Record 2: EVs_3e10_300rpm_40-00min_ST_No1_230830 2,Record 3: EVs_3e10_300rpm_40-00min_ST_No1_230830 3
0.5,0.888,0.897,0.888,0.4,0,0,0
1,0.896,0.903,0.894,0.463,0,0,0
1.5,0.893,0.902,0.894,0.536,0,0,0
2,0.892,0.898,0.892,0.621,0,0,0
2.5,0.892,0.9,0.893,0.719,0,0,0
3,0.891,0.898,0.891,0.833,0,0,0
3.5,0.89,0.898,0.889,0.965,0,0,0
4,0.889,0.896,0.889,1.12,0,0,0
4.5,0.887,0.896,0.887,1.29,0,0,0
5.5,0.885,0.895,0.886,1.5,0,0,0
6.5,0.883,0.891,0.885,1.74,0,0,0
7.5,0.882,0.89,0.882,2.01,0,0,0
8.5,0.879,0.888,0.88,2.33,0,0,0
9.5,0.877,0.886,0.878,2.7,0,0,0
10.5,0.874,0.883,0.874,3.12,0,0,0
11.5,0.872,0.882,0.874,3.62,0,0,0
12.5,0.871,0.88,0.872,4.19,0,0,0
14.5,0.867,0.876,0.869,4.85,0,0,0
16.5,0.863,0.872,0.865,5.61,0,0,0
18.5,0.859,0.869,0.861,6.5,0,0,0
20.5,0.855,0.864,0.858,7.53,0,0,0
22.5,0.851,0.86,0.854,8.72,0,0,0
24.5,0.848,0.856,0.85,10.1,0,0,0
26.5,0.844,0.853,0.847,11.7,0,0,0
28.5,0.84,0.85,0.843,13.5,0,0,0
32.5,0.832,0.842,0.836,15.7,0,0,0
36.5,0.825,0.835,0.829,18.2,0,0,0
40.5,0.818,0.828,0.821,21,0,0,0
44.5,0.811,0.821,0.815,24.4,0,0,0
48.5,0.804,0.814,0.808,28.2,0,0,0
52.5,0.797,0.807,0.802,32.7,0,0,0
56.5,0.79,0.801,0.796,37.8,0,0,0
60.5,0.783,0.794,0.789,43.8,0,0,0
68.5,0.77,0.781,0.776,50.7,0,0,0
76.5,0.757,0.769,0.763,58.8,0,0,0
84.5,0.744,0.756,0.751,68.1,0,0,0
92.5,0.732,0.744,0.739,78.8,0,0,0
101,0.72,0.732,0.728,91.3,0,0,0
109,0.709,0.72,0.716,106,0,0.29,0
117,0.697,0.709,0.705,122,0,1.02,0
125,0.686,0.698,0.694,142,0.25,2.17,0.256
141,0.664,0.677,0.673,164,1.38,3.63,1.28
157,0.643,0.656,0.652,190,3.5,5.22,3.2
173,0.623,0.636,0.633,220,6.33,6.77,5.83
189,0.604,0.617,0.614,255,9.34,8.1,8.74
205,0.585,0.598,0.596,295,11.9,9.09,11.4
221,0.567,0.58,0.578,342,13.5,9.65,13.2
237,0.55,0.563,0.561,396,13.9,9.74,13.8
253,0.534,0.547,0.545,459,12.9,9.37,13.1
285,0.503,0.515,0.514,531,10.8,8.6,11.2
317,0.474,0.486,0.486,615,7.97,7.5,8.54
349,0.447,0.459,0.459,712,5,6.19,5.55
381,0.422,0.433,0.434,825,2.45,4.81,2.86
413,0.399,0.41,0.41,955,0.732,3.46,0.96
445,0.377,0.387,0.388,1.11E+03,0,2.27,0.0696
477,0.357,0.366,0.367,1.28E+03,0,1.3,0
509,0.338,0.347,0.348,1.48E+03,0,0.607,0
573,0.302,0.311,0.313,1.72E+03,0,0.194,0
637,0.271,0.279,0.282,1.99E+03,0,0.021,0
701,0.244,0.251,0.254,2.30E+03,0,0,0
765,0.22,0.225,0.23,2.67E+03,0,0,0
829,0.198,0.203,0.208,3.09E+03,0,0,0
893,0.179,0.184,0.188,3.58E+03,0,0,0
957,0.162,0.167,0.171,4.15E+03,0,0,0
1.02E+03,0.147,0.151,0.156,4.80E+03,0,0,0
