X Lag Time,Record 1: EVs_3e10_PS2_500ug_300rpm_20-00min_ST_No3_230918 1,Record 2: EVs_3e10_PS2_500ug_300rpm_20-00min_ST_No3_230918 2,Record 3: EVs_3e10_PS2_500ug_300rpm_20-00min_ST_No3_230918 3,X Intensity,Record 1: EVs_3e10_PS2_500ug_300rpm_20-00min_ST_No3_230918 1,Record 2: EVs_3e10_PS2_500ug_300rpm_20-00min_ST_No3_230918 2,Record 3: EVs_3e10_PS2_500ug_300rpm_20-00min_ST_No3_230918 3
0.5,0.936,0.932,0.933,0.4,0,0,0
1,0.94,0.936,0.941,0.463,0,0,0
1.5,0.937,0.934,0.93,0.536,0,0,0
2,0.935,0.934,0.932,0.621,0,0,0
2.5,0.936,0.933,0.932,0.719,0,0,0
3,0.931,0.931,0.93,0.833,0,0,0
3.5,0.927,0.93,0.931,0.965,0,0,0
4,0.925,0.927,0.926,1.12,0,0,0
4.5,0.927,0.927,0.923,1.29,0,0,0
5.5,0.92,0.919,0.917,1.5,0,0,0
6.5,0.915,0.914,0.915,1.74,0,0,0
7.5,0.908,0.91,0.909,2.01,0,0,0
8.5,0.908,0.905,0.905,2.33,0,0,0
9.5,0.901,0.9,0.902,2.7,0,0,0
10.5,0.898,0.897,0.894,3.12,0,0,0
11.5,0.893,0.89,0.891,3.62,0,0,0
12.5,0.888,0.887,0.888,4.19,0,0,0
14.5,0.879,0.877,0.877,4.85,0,0,0
16.5,0.872,0.867,0.869,5.61,0,0,0
18.5,0.862,0.86,0.861,6.5,0,0,0
20.5,0.854,0.851,0.851,7.53,0,0,0
22.5,0.844,0.843,0.84,8.72,0,0,0
24.5,0.837,0.837,0.835,10.1,0,0,0
26.5,0.828,0.826,0.826,11.7,0,0,0
28.5,0.819,0.817,0.819,13.5,0,0,0
32.5,0.804,0.801,0.802,15.7,0,0,0
36.5,0.789,0.787,0.786,18.2,0,0,0
40.5,0.774,0.77,0.771,21,0,0,0
44.5,0.759,0.755,0.755,24.4,0,0.223,0
48.5,0.744,0.741,0.74,28.2,0,0.534,0
52.5,0.728,0.726,0.725,32.7,0,0.71,0
56.5,0.716,0.712,0.712,37.8,0.0919,0.695,0
60.5,0.702,0.699,0.698,43.8,0.506,0.625,0
68.5,0.675,0.673,0.671,50.7,1.35,0.744,0.194
76.5,0.649,0.648,0.646,58.8,2.59,1.28,1.79
84.5,0.625,0.624,0.621,68.1,4.11,2.38,4.38
92.5,0.602,0.6,0.598,78.8,5.73,4.01,7.13
101,0.582,0.578,0.575,91.3,7.23,6,9.37
109,0.56,0.557,0.554,106,8.44,8.08,10.7
117,0.54,0.537,0.533,122,9.25,9.9,11.1
125,0.52,0.518,0.514,142,9.6,11.2,10.6
141,0.484,0.481,0.477,164,9.47,11.7,9.46
157,0.45,0.447,0.443,190,8.92,11.3,8.01
173,0.419,0.416,0.413,220,8.03,10.1,6.47
189,0.391,0.388,0.383,255,6.91,8.2,5.02
205,0.365,0.362,0.357,295,5.66,6,3.77
221,0.341,0.338,0.332,342,4.39,3.8,2.78
237,0.317,0.316,0.31,396,3.2,1.93,2.04
253,0.297,0.296,0.29,459,2.16,0.66,1.53
285,0.26,0.259,0.252,531,1.31,0.0665,1.2
317,0.228,0.227,0.221,615,0.689,0,0.986
349,0.2,0.199,0.193,712,0.284,0,0.845
381,0.177,0.175,0.171,825,0.0706,0,0.733
413,0.157,0.154,0.151,955,0,0,0.623
445,0.139,0.136,0.133,1.11E+03,0,0,0.505
477,0.123,0.12,0.119,1.28E+03,0,0,0.378
509,0.111,0.106,0.106,1.48E+03,0,0,0.251
573,0.0887,0.0839,0.0839,1.72E+03,0,0,0.139
637,0.0714,0.0665,0.0661,1.99E+03,0,0,0.0572
701,0.0583,0.0529,0.0531,2.30E+03,0,0,0.012
765,0.0477,0.0422,0.043,2.67E+03,0,0,0
829,0.0391,0.0341,0.0346,3.09E+03,0,0,0
893,0.0315,0.0271,0.0282,3.58E+03,0,0,0
957,0.0253,0.0219,0.0235,4.15E+03,0,0,0
1.02E+03,0.0205,0.0183,0.0201,4.80E+03,0,0,0
1.15E+03,0.0138,0.0121,0.0143,5.56E+03,0,0,0
1.28E+03,0.0103,0.00888,0.00999,6.44E+03,0,0,0
1.40E+03,0.00853,0.00672,0.00693,7.46E+03,0,0,0
1.53E+03,0.00701,0.00448,0.00542,8.63E+03,0,0,0
1.66E+03,0.00477,0.00246,0.00459,,,,
1.79E+03,0.00361,0.00283,0.00445,,,,
1.92E+03,0.00251,0.00264,0.00421,,,,
2.04E+03,0.00219,0.00275,0.00334,,,,
2.30E+03,0.00117,0.00335,0.00296,,,,
2.56E+03,0.00181,0.00351,0.00169,,,,
2.81E+03,0.00128,0.0032,0.00226,,,,
3.07E+03,0.000771,0.00341,0.00281,,,,
3.32E+03,0.00112,0.00265,0.00195,,,,
3.58E+03,0.000971,0.00339,0.000928,,,,
3.84E+03,0.00155,0.00189,0.00124,,,,
4.09E+03,0.00165,0.00184,0.00118,,,,
4.60E+03,0.00285,0.0025,0.00279,,,,
5.12E+03,0.00286,0.0021,0.00178,,,,
5.63E+03,0.00112,0.00196,0.00274,,,,
6.14E+03,4.20E-05,0.00193,0.00321,,,,
6.65E+03,0.00126,0.00209,0.00241,,,,
7.16E+03,0.00202,0.00242,0.00235,,,,
7.68E+03,0.00256,0.00125,0.00527,,,,
8.19E+03,0.00238,0.00141,0.00344,,,,
9.21E+03,0.00227,0.0026,0.00193,,,,
1.02E+04,0.00186,0.00166,0.00256,,,,
1.13E+04,0.000757,0.00164,0.00129,,,,
1.23E+04,0.000929,0.000406,0.00186,,,,
1.33E+04,0.000835,0.00308,0.00126,,,,
1.43E+04,0.00138,0.00202,0.00271,,,,
1.54E+04,0.00141,0.000852,0.00126,,,,
1.64E+04,0.00127,0.0014,0.000634,,,,
1.84E+04,0.00046,0.000833,0.00147,,,,
2.05E+04,0.0023,0.000588,0.00212,,,,
2.25E+04,0.00249,0.00119,0.00116,,,,
2.46E+04,0.000811,0.00125,0.000887,,,,
2.66E+04,0.00204,0.00151,0.00147,,,,
2.87E+04,0.00128,0.00147,0.00236,,,,
3.07E+04,0.00273,0.0014,0.000756,,,,
3.28E+04,0.00148,0.000674,0.000346,,,,
3.69E+04,0.0016,0.000788,0.00141,,,,
4.10E+04,0.00122,0.00101,0.00138,,,,
4.51E+04,0.000791,0.000854,0.0016,,,,
4.91E+04,0.00174,0.0012,0.002,,,,
5.32E+04,0.00137,0.00118,0.00201,,,,
5.73E+04,0.00139,0.000763,0.00137,,,,
6.14E+04,0.00074,0.00075,0.000468,,,,
6.55E+04,0.00112,0.00116,0.00116,,,,
7.37E+04,0.00115,0.000579,0.00106,,,,
8.19E+04,0.000892,0.000769,0.000383,,,,
9.01E+04,0.00151,0.00073,0.00154,,,,
9.83E+04,0.000831,0.000755,0.000449,,,,
1.06E+05,0.000943,0.000454,0.00138,,,,
1.15E+05,0.000797,0.000815,0.00154,,,,
1.23E+05,0.000981,0.000817,0.000793,,,,
1.31E+05,0.0009,0.000793,0.00112,,,,
1.47E+05,0.000497,0.000537,0.000794,,,,
1.64E+05,0.000964,0.000434,0.000488,,,,
1.80E+05,0.00121,0.000777,0.0013,,,,
1.97E+05,0.000747,0.000939,0.00134,,,,
2.13E+05,0.00119,0.000856,0.000893,,,,
2.29E+05,0.000613,0.000683,0.000961,,,,
2.46E+05,0.000534,0.000315,0.00116,,,,
2.62E+05,0.000573,0.000439,0.000869,,,,
2.95E+05,0.00076,0.000762,0.000732,,,,
3.28E+05,0.000881,0.000426,0.000496,,,,
3.60E+05,0.000825,0.000319,0.000875,,,,
3.93E+05,0.0007,0.000591,0.000904,,,,
4.26E+05,0.00065,0.000593,0.00125,,,,
4.59E+05,0.000584,0.000281,0.00115,,,,
4.92E+05,0.000518,0.000503,0.000628,,,,
5.24E+05,0.000614,4.02E-05,0.000266,,,,
5.90E+05,0.000685,0.000305,0.000313,,,,
6.55E+05,0.00107,0.00031,0.000408,,,,
7.21E+05,0.000773,0.000361,0.000211,,,,
7.86E+05,0.00104,0.000425,0.00069,,,,
8.52E+05,0.000797,0.000442,0.000603,,,,
9.18E+05,0.000711,0.000306,0.000145,,,,
9.83E+05,0.000898,0.000462,0.000183,,,,
1.05E+06,0.000621,0.000824,0.000728,,,,
1.18E+06,0.00055,0.00116,0.000646,,,,
1.31E+06,0.000874,0.00114,0.000445,,,,
1.44E+06,0.000506,0.000952,0.000816,,,,
1.57E+06,0.000758,0.000739,0.000975,,,,
1.70E+06,0.000507,0.000469,0.000471,,,,
1.84E+06,0.000376,0.000966,0.00076,,,,
1.97E+06,0.000343,0.001,0.000941,,,,
2.10E+06,0.000876,0.000758,0.000363,,,,
2.36E+06,0.00143,0.00141,0.000515,,,,
2.62E+06,0.00146,0.00014,0.000624,,,,
2.88E+06,0.00115,0.000641,0.000404,,,,
3.15E+06,0.00151,0.000383,0.000238,,,,
3.41E+06,0.00068,0.000974,0.000639,,,,
3.67E+06,0.00119,0.000879,0.00031,,,,
3.93E+06,0.000838,0.00105,0.000172,,,,
4.19E+06,0,0,0,,,,
4.72E+06,0,0,0,,,,
5.24E+06,0,0,0,,,,
5.77E+06,0,0,0,,,,
6.29E+06,0,0,0,,,,
6.82E+06,0,0,0,,,,
7.34E+06,0,0,0,,,,
7.86E+06,0,0,0,,,,
8.39E+06,0,0,0,,,,
9.44E+06,0,0,0,,,,
1.05E+07,0,0,0,,,,
1.15E+07,0,0,0,,,,
1.26E+07,0,0,0,,,,
1.36E+07,0,0,0,,,,
1.47E+07,0,0,0,,,,
1.57E+07,0,0,0,,,,
1.68E+07,0,0,0,,,,
1.89E+07,0,0,0,,,,
2.10E+07,0,0,0,,,,
2.31E+07,0,0,0,,,,
2.52E+07,0,0,0,,,,
2.73E+07,0,0,0,,,,
