X Lag Time,Record 1: PBS_00mg_PS2_050ug_300rpm_20-00min_ST_No2_230921 1,Record 2: PBS_00mg_PS2_050ug_300rpm_20-00min_ST_No2_230921 2,Record 3: PBS_00mg_PS2_050ug_300rpm_20-00min_ST_No2_230921 3,X Intensity,Record 1: PBS_00mg_PS2_050ug_300rpm_20-00min_ST_No2_230921 1,Record 2: PBS_00mg_PS2_050ug_300rpm_20-00min_ST_No2_230921 2,Record 3: PBS_00mg_PS2_050ug_300rpm_20-00min_ST_No2_230921 3
0.5,0.88,0.887,0.883,0.4,0,0,0
1,0.887,0.892,0.888,0.463,0,0,0
1.5,0.881,0.888,0.883,0.536,0,0,0
2,0.878,0.885,0.878,0.621,0,0,0
2.5,0.874,0.88,0.876,0.719,0,0,0
3,0.871,0.877,0.873,0.833,0,0,0
3.5,0.867,0.873,0.868,0.965,0,0,0
4,0.864,0.871,0.865,1.12,0,0,0
4.5,0.86,0.867,0.862,1.29,0,0,0
5.5,0.853,0.86,0.855,1.5,0,0,0
6.5,0.846,0.853,0.849,1.74,0,0,0
7.5,0.84,0.846,0.842,2.01,0,0,0
8.5,0.833,0.839,0.835,2.33,0,0,0
9.5,0.826,0.833,0.828,2.7,0,0,0
10.5,0.82,0.826,0.823,3.12,0,0,0
11.5,0.814,0.82,0.816,3.62,0,0,0
12.5,0.807,0.813,0.809,4.19,0,0,0
14.5,0.794,0.801,0.796,4.85,0,0,0
16.5,0.781,0.788,0.783,5.61,0,0,0
18.5,0.769,0.775,0.771,6.5,0,0,0
20.5,0.756,0.763,0.758,7.53,0,0,0
22.5,0.744,0.751,0.747,8.72,0,0,0
24.5,0.733,0.739,0.736,10.1,0,0,0
26.5,0.721,0.728,0.724,11.7,0,0,0
28.5,0.71,0.717,0.713,13.5,0,0.0123,0
32.5,0.689,0.695,0.69,15.7,0,0.311,0
36.5,0.668,0.674,0.67,18.2,0,0.615,0
40.5,0.648,0.654,0.65,21,0,0.697,0.229
44.5,0.628,0.634,0.63,24.4,0,0.567,0.656
48.5,0.609,0.616,0.61,28.2,0,0.436,1.15
52.5,0.591,0.598,0.593,32.7,0.298,0.59,1.69
56.5,0.573,0.58,0.575,37.8,1.25,1.26,2.38
60.5,0.557,0.563,0.558,43.8,2.89,2.55,3.35
68.5,0.524,0.531,0.526,50.7,5.05,4.39,4.64
76.5,0.495,0.5,0.496,58.8,7.39,6.55,6.2
84.5,0.467,0.473,0.468,68.1,9.55,8.7,7.87
92.5,0.441,0.446,0.442,78.8,11.2,10.5,9.39
101,0.416,0.421,0.417,91.3,12,11.7,10.5
109,0.393,0.398,0.394,106,12,11.9,11
117,0.371,0.377,0.373,122,11.1,11.3,10.7
125,0.351,0.356,0.353,142,9.49,9.81,9.66
141,0.314,0.319,0.316,164,7.42,7.73,7.99
157,0.281,0.286,0.283,190,5.2,5.39,5.95
