X Lag Time,Record 1: EVs_3e10_000rpm_00-00min_NA_No2_230901 1,Record 2: EVs_3e10_000rpm_00-00min_NA_No2_230901 2,Record 3: EVs_3e10_000rpm_00-00min_NA_No2_230901 3,X Intensity,Record 1: EVs_3e10_000rpm_00-00min_NA_No2_230901 1,Record 2: EVs_3e10_000rpm_00-00min_NA_No2_230901 2,Record 3: EVs_3e10_000rpm_00-00min_NA_No2_230901 3
0.5,0.904,0.9,0.9,0.4,0,0,0
1,0.91,0.906,0.905,0.463,0,0,0
1.5,0.905,0.901,0.902,0.536,0,0,0
2,0.904,0.9,0.901,0.621,0,0,0
2.5,0.901,0.898,0.897,0.719,0,0,0
3,0.9,0.894,0.896,0.833,0,0,0
3.5,0.897,0.891,0.894,0.965,0,0,0
4,0.896,0.891,0.892,1.12,0,0,0
4.5,0.892,0.887,0.888,1.29,0,0,0
5.5,0.887,0.884,0.883,1.5,0,0,0
6.5,0.883,0.878,0.879,1.74,0,0,0
7.5,0.877,0.874,0.875,2.01,0,0,0
8.5,0.874,0.868,0.871,2.33,0,0,0
9.5,0.869,0.865,0.866,2.7,0,0,0
10.5,0.865,0.861,0.861,3.12,0,0,0
11.5,0.859,0.855,0.856,3.62,0,0,0
12.5,0.856,0.851,0.853,4.19,0,0,0
14.5,0.846,0.842,0.843,4.85,0,0,0
16.5,0.837,0.834,0.835,5.61,0,0,0
18.5,0.828,0.825,0.826,6.5,0,0,0
20.5,0.82,0.817,0.818,7.53,0,0,0
22.5,0.811,0.808,0.809,8.72,0,0,0
24.5,0.803,0.799,0.801,10.1,0,0,0
26.5,0.795,0.79,0.793,11.7,0,0,0
28.5,0.787,0.783,0.784,13.5,0,0,0
32.5,0.77,0.767,0.769,15.7,0,0,0
36.5,0.755,0.752,0.755,18.2,0,0,0
40.5,0.74,0.737,0.739,21,0,0,0
44.5,0.725,0.722,0.725,24.4,0,0,0.137
48.5,0.71,0.708,0.711,28.2,0,0,0.415
