X Lag Time,Record 1: EVs_3e10_000rpm_00-00min_NA_No3_230901 1,Record 2: EVs_3e10_000rpm_00-00min_NA_No3_230901 2,Record 3: EVs_3e10_000rpm_00-00min_NA_No3_230901 3,X Intensity,Record 1: EVs_3e10_000rpm_00-00min_NA_No3_230901 1,Record 2: EVs_3e10_000rpm_00-00min_NA_No3_230901 2,Record 3: EVs_3e10_000rpm_00-00min_NA_No3_230901 3
0.5,0.914,0.912,0.907,0.4,0,0,0
1,0.919,0.916,0.913,0.463,0,0,0
1.5,0.917,0.912,0.909,0.536,0,0,0
2,0.913,0.91,0.909,0.621,0,0,0
2.5,0.911,0.907,0.908,0.719,0,0,0
3,0.909,0.905,0.906,0.833,0,0,0
3.5,0.906,0.905,0.904,0.965,0,0,0
4,0.906,0.9,0.901,1.12,0,0,0
4.5,0.901,0.899,0.898,1.29,0,0,0
5.5,0.898,0.895,0.893,1.5,0,0,0
6.5,0.892,0.89,0.888,1.74,0,0,0
7.5,0.888,0.885,0.884,2.01,0,0,0
8.5,0.884,0.879,0.88,2.33,0,0,0
9.5,0.879,0.875,0.875,2.7,0,0,0
10.5,0.876,0.871,0.869,3.12,0,0,0
11.5,0.869,0.866,0.866,3.62,0,0,0
12.5,0.864,0.861,0.861,4.19,0,0,0
14.5,0.857,0.854,0.852,4.85,0,0,0
16.5,0.848,0.845,0.843,5.61,0,0,0
18.5,0.839,0.836,0.836,6.5,0,0,0
20.5,0.831,0.828,0.827,7.53,0,0,0
22.5,0.823,0.819,0.818,8.72,0,0,0
24.5,0.814,0.811,0.811,10.1,0,0,0
26.5,0.806,0.803,0.801,11.7,0,0,0
28.5,0.798,0.794,0.793,13.5,0,0,0
32.5,0.782,0.779,0.778,15.7,0.0534,0,0
36.5,0.767,0.764,0.762,18.2,0.191,0,0
40.5,0.751,0.747,0.747,21,0.302,0.0666,0
44.5,0.736,0.734,0.733,24.4,0.302,0.3,0
48.5,0.722,0.72,0.718,28.2,0.192,0.564,0
52.5,0.708,0.705,0.703,32.7,0.0565,0.717,0
56.5,0.694,0.692,0.69,37.8,0.0346,0.741,0
60.5,0.681,0.679,0.677,43.8,0.278,0.758,0.138
68.5,0.655,0.653,0.651,50.7,0.911,0.973,0.821
76.5,0.63,0.628,0.627,58.8,1.99,1.58,2.17
84.5,0.607,0.605,0.603,68.1,3.5,2.7,4.06
92.5,0.584,0.582,0.58,78.8,5.3,4.31,6.24
101,0.563,0.561,0.559,91.3,7.22,6.24,8.38
109,0.542,0.541,0.539,106,9.01,8.22,10.1
117,0.522,0.521,0.518,122,10.4,9.94,11.3
125,0.503,0.502,0.5,142,11.2,11.1,11.6
141,0.468,0.466,0.465,164,11.3,11.5,11.2
157,0.435,0.434,0.432,190,10.6,11,9.93
173,0.405,0.404,0.402,220,9.22,9.77,8.16
189,0.377,0.377,0.375,255,7.35,7.9,6.1
205,0.352,0.352,0.349,295,5.25,5.71,4.04
221,0.328,0.329,0.326,342,3.24,3.55,2.26
237,0.306,0.308,0.304,396,1.58,1.75,0.956
253,0.287,0.288,0.285,459,0.495,0.553,0.227
285,0.25,0.253,0.25,531,0.0204,0.0241,0
317,0.22,0.222,0.219,615,0,0,0
349,0.194,0.196,0.194,712,0,0,0
381,0.171,0.173,0.172,825,0,0,0
413,0.151,0.153,0.153,955,0,0,0
445,0.134,0.136,0.135,1.11E+03,0,0,0
477,0.119,0.12,0.121,1.28E+03,0,0,0
509,0.107,0.107,0.109,1.48E+03,0,0,0
573,0.085,0.0852,0.0876,1.72E+03,0,0,0
637,0.0684,0.0687,0.0716,1.99E+03,0,0,0
701,0.0546,0.0557,0.059,2.30E+03,0,0,0
765,0.0437,0.0449,0.0495,2.67E+03,0,0,0
829,0.0348,0.0358,0.0423,3.09E+03,0,0,0
893,0.029,0.0296,0.0357,3.58E+03,0,0,0.123
957,0.0242,0.0249,0.0306,4.15E+03,0,0,0.387
1.02E+03,0.0206,0.0215,0.027,4.80E+03,0,0,0.732
1.15E+03,0.015,0.0173,0.0216,5.56E+03,0,0,1.05
1.28E+03,0.011,0.0145,0.0172,6.44E+03,0,0,0
1.40E+03,0.00929,0.0127,0.0125,7.46E+03,0,0,0
1.53E+03,0.0084,0.00953,0.0106,8.63E+03,0,0,0
1.66E+03,0.00747,0.00828,0.0107,,,,
1.79E+03,0.00747,0.0071,0.0109,,,,
1.92E+03,0.0076,0.00592,0.0109,,,,
2.04E+03,0.00708,0.00531,0.0104,,,,
2.30E+03,0.00674,0.00377,0.00907,,,,
2.56E+03,0.00488,0.00357,0.00773,,,,
2.81E+03,0.00461,0.00431,0.00639,,,,
3.07E+03,0.00465,0.00507,0.00709,,,,
3.32E+03,0.00512,0.00455,0.00913,,,,
3.58E+03,0.00306,0.00431,0.00853,,,,
3.84E+03,0.00377,0.00378,0.00663,,,,
4.09E+03,0.00588,0.00494,0.0046,,,,
4.60E+03,0.00606,0.00584,0.00533,,,,
5.12E+03,0.00603,0.00505,0.00529,,,,
5.63E+03,0.0061,0.00408,0.00672,,,,
6.14E+03,0.00498,0.0052,0.00515,,,,
6.65E+03,0.00359,0.00462,0.00601,,,,
7.16E+03,0.0037,0.00338,0.00624,,,,
7.68E+03,0.00452,0.00391,0.00667,,,,
8.19E+03,0.00413,0.00499,0.00562,,,,
9.21E+03,0.00307,0.00562,0.00427,,,,
1.02E+04,0.00563,0.00596,0.00464,,,,
1.13E+04,0.0041,0.00507,0.0064,,,,
1.23E+04,0.00412,0.00407,0.00615,,,,
1.33E+04,0.00257,0.0046,0.00576,,,,
1.43E+04,0.00501,0.00517,0.00655,,,,
1.54E+04,0.00615,0.00437,0.00468,,,,
1.64E+04,0.00429,0.00507,0.00493,,,,
1.84E+04,0.00345,0.00372,0.00436,,,,
2.05E+04,0.00212,0.00483,0.00494,,,,
2.25E+04,0.00371,0.00415,0.00482,,,,
2.46E+04,0.00254,0.00394,0.00626,,,,
2.66E+04,0.00096,0.00461,0.00569,,,,
2.87E+04,0.00211,0.0057,0.00545,,,,
3.07E+04,0.00266,0.00425,0.0041,,,,
3.28E+04,0.00425,0.0032,0.00438,,,,
3.69E+04,0.00293,0.00401,0.00414,,,,
4.10E+04,0.00309,0.00412,0.00459,,,,
4.51E+04,0.00288,0.00315,0.00424,,,,
4.91E+04,0.00331,0.00293,0.00415,,,,
5.32E+04,0.00424,0.00305,0.00403,,,,
5.73E+04,0.00323,0.00268,0.00554,,,,
6.14E+04,0.00372,0.00411,0.00433,,,,
6.55E+04,0.00235,0.0039,0.00372,,,,
7.37E+04,0.00269,0.00338,0.00426,,,,
8.19E+04,0.00294,0.00284,0.00449,,,,
9.01E+04,0.00246,0.00352,0.00444,,,,
9.83E+04,0.00296,0.00304,0.00401,,,,
1.06E+05,0.00234,0.00339,0.00392,,,,
1.15E+05,0.00309,0.00343,0.0041,,,,
1.23E+05,0.0027,0.00387,0.00357,,,,
1.31E+05,0.00248,0.00253,0.00382,,,,
