X Lag Time,Record 1: EVs_3e10_000rpm_00-00min_NA_No1_230901 1,Record 2: EVs_3e10_000rpm_00-00min_NA_No1_230901 2,Record 3: EVs_3e10_000rpm_00-00min_NA_No1_230901 3,X Intensity,Record 1: EVs_3e10_000rpm_00-00min_NA_No1_230901 1,Record 2: EVs_3e10_000rpm_00-00min_NA_No1_230901 2,Record 3: EVs_3e10_000rpm_00-00min_NA_No1_230901 3
0.5,0.917,0.915,0.911,0.4,0,0,0
1,0.922,0.919,0.912,0.463,0,0,0
1.5,0.917,0.916,0.91,0.536,0,0,0
2,0.916,0.916,0.909,0.621,0,0,0
2.5,0.914,0.912,0.906,0.719,0,0,0
3,0.91,0.908,0.904,0.833,0,0,0
3.5,0.907,0.908,0.904,0.965,0,0,0
4,0.908,0.906,0.899,1.12,0,0,0
4.5,0.905,0.904,0.898,1.29,0,0,0
5.5,0.898,0.899,0.893,1.5,0,0,0
6.5,0.895,0.892,0.888,1.74,0,0,0
7.5,0.89,0.889,0.884,2.01,0,0,0
8.5,0.885,0.884,0.878,2.33,0,0,0
9.5,0.882,0.881,0.874,2.7,0,0,0
10.5,0.877,0.876,0.871,3.12,0,0,0
11.5,0.873,0.872,0.866,3.62,0,0,0
12.5,0.869,0.868,0.861,4.19,0,0,0
14.5,0.86,0.859,0.852,4.85,0,0,0
16.5,0.851,0.85,0.843,5.61,0,0,0
18.5,0.843,0.842,0.836,6.5,0,0,0
20.5,0.834,0.834,0.827,7.53,0,0,0
22.5,0.827,0.825,0.818,8.72,0,0,0
24.5,0.819,0.818,0.809,10.1,0,0,0
26.5,0.81,0.809,0.803,11.7,0,0,0
28.5,0.803,0.801,0.794,13.5,0,0,0
32.5,0.788,0.785,0.778,15.7,0.015,0,0
36.5,0.774,0.77,0.763,18.2,0.0639,0,0
40.5,0.758,0.755,0.748,21,0.107,0,0
44.5,0.745,0.74,0.734,24.4,0.113,0.0329,0
48.5,0.731,0.727,0.719,28.2,0.0881,0.135,0
