X Lag Time,Record 1: EVs_3e10_300rpm_20-00min_ST_No1_230901 1,Record 2: EVs_3e10_300rpm_20-00min_ST_No1_230901 2,Record 3: EVs_3e10_300rpm_20-00min_ST_No1_230901 3,X Intensity,Record 1: EVs_3e10_300rpm_20-00min_ST_No1_230901 1,Record 2: EVs_3e10_300rpm_20-00min_ST_No1_230901 2,Record 3: EVs_3e10_300rpm_20-00min_ST_No1_230901 3
0.5,0.884,0.876,0.869,0.4,0,0,0
1,0.89,0.879,0.877,0.463,0,0,0
1.5,0.885,0.878,0.874,0.536,0,0,0
2,0.884,0.877,0.87,0.621,0,0,0
2.5,0.883,0.876,0.872,0.719,0,0,0
3,0.882,0.875,0.869,0.833,0,0,0
3.5,0.88,0.872,0.869,0.965,0,0,0
4,0.877,0.87,0.864,1.12,0,0,0
4.5,0.877,0.868,0.862,1.29,0,0,0
5.5,0.872,0.866,0.861,1.5,0,0,0
6.5,0.87,0.861,0.856,1.74,0,0,0
7.5,0.866,0.858,0.854,2.01,0,0,0
8.5,0.863,0.854,0.849,2.33,0,0,0
9.5,0.861,0.852,0.846,2.7,0,0,0
10.5,0.856,0.849,0.843,3.12,0,0,0
11.5,0.854,0.845,0.838,3.62,0,0,0
12.5,0.85,0.841,0.837,4.19,0,0,0
14.5,0.845,0.836,0.83,4.85,0,0,0
16.5,0.839,0.829,0.824,5.61,0,0,0
18.5,0.831,0.822,0.817,6.5,0,0,0
20.5,0.826,0.816,0.811,7.53,0,0,0
22.5,0.819,0.809,0.804,8.72,0,0,0
24.5,0.814,0.802,0.798,10.1,0,0,0
26.5,0.808,0.798,0.792,11.7,0,0,0
28.5,0.802,0.792,0.787,13.5,0,0,0
32.5,0.791,0.78,0.775,15.7,0,0,0
36.5,0.78,0.768,0.763,18.2,0,0,0
40.5,0.768,0.757,0.752,21,0,0,0
44.5,0.757,0.746,0.741,24.4,0,0,0
48.5,0.746,0.735,0.731,28.2,0,0,0
52.5,0.735,0.724,0.721,32.7,0,0,0
56.5,0.726,0.714,0.71,37.8,0,0,0
60.5,0.716,0.704,0.7,43.8,0,0,0
68.5,0.697,0.684,0.68,50.7,0,0,0
76.5,0.678,0.665,0.661,58.8,0,0,0
84.5,0.659,0.646,0.643,68.1,0.565,0.61,0.212
92.5,0.642,0.629,0.626,78.8,1.98,1.96,1.03
101,0.626,0.612,0.608,91.3,3.97,3.89,2.56
109,0.609,0.595,0.592,106,6.06,6.08,4.7
117,0.593,0.579,0.576,122,7.84,8.17,7.14
125,0.578,0.564,0.561,142,9.04,9.87,9.47
141,0.549,0.534,0.532,164,9.54,10.9,11.3
157,0.522,0.506,0.504,190,9.41,11.2,12.3
173,0.496,0.479,0.479,220,8.75,10.8,12.3
189,0.472,0.454,0.455,255,7.76,9.62,11.3
205,0.448,0.431,0.432,295,6.59,7.99,9.45
221,0.427,0.41,0.411,342,5.4,6.09,7.14
237,0.406,0.389,0.391,396,4.29,4.18,4.73
253,0.387,0.37,0.372,459,3.34,2.49,2.6
285,0.352,0.334,0.337,531,2.57,1.19,1.05
317,0.32,0.303,0.306,615,1.99,0.379,0.216
349,0.292,0.276,0.279,712,1.59,0.0306,0
381,0.267,0.251,0.253,825,1.31,0,0
413,0.244,0.228,0.231,955,1.14,0,0
445,0.224,0.208,0.211,1.11E+03,1.04,0,0
477,0.206,0.19,0.193,1.28E+03,0.974,0,0
509,0.19,0.175,0.177,1.48E+03,0.916,0,0
573,0.162,0.148,0.149,1.72E+03,0.851,0,0
637,0.139,0.125,0.127,1.99E+03,0.77,0,0
701,0.12,0.106,0.107,2.30E+03,0.67,0.0175,0
765,0.105,0.0912,0.0919,2.67E+03,0.554,0.125,0
829,0.091,0.0784,0.0785,3.09E+03,0.43,0.336,0.0201
893,0.0795,0.0676,0.0675,3.58E+03,0.307,0.622,0.176
957,0.0692,0.0587,0.0586,4.15E+03,0.196,0.926,0.469
1.02E+03,0.0609,0.0518,0.0514,4.80E+03,0.107,1.18,0.825
1.15E+03,0.0478,0.0406,0.0394,5.56E+03,0.0445,1.32,1.13
1.28E+03,0.0373,0.0324,0.0299,6.44E+03,0,0,0
1.40E+03,0.0299,0.0261,0.0233,7.46E+03,0,0,0
1.53E+03,0.0242,0.0211,0.0193,8.63E+03,0,0,0
1.66E+03,0.02,0.0175,0.0161,,,,
1.79E+03,0.0171,0.0152,0.0143,,,,
1.92E+03,0.0144,0.0139,0.0134,,,,
2.04E+03,0.0128,0.013,0.0122,,,,
2.30E+03,0.00914,0.0116,0.0107,,,,
2.56E+03,0.00868,0.0111,0.0103,,,,
2.81E+03,0.0079,0.00972,0.01,,,,
3.07E+03,0.00681,0.00664,0.00883,,,,
3.32E+03,0.00645,0.00434,0.00739,,,,
3.58E+03,0.00588,0.00306,0.00582,,,,
3.84E+03,0.00549,0.00466,0.00538,,,,
4.09E+03,0.00458,0.00372,0.00565,,,,
4.60E+03,0.00272,0.00175,0.00525,,,,
5.12E+03,0.00226,0.000369,0.00458,,,,
5.63E+03,0.000864,0.00093,0.00427,,,,
6.14E+03,0.000987,0.00142,0.00273,,,,
6.65E+03,0.00301,0.00222,0.00362,,,,
7.16E+03,0.00217,0.00276,0.00268,,,,
7.68E+03,0.00202,0.00336,0.00226,,,,
8.19E+03,0.00286,0.00117,0.0026,,,,
9.21E+03,0.00268,0.000969,0.00266,,,,
1.02E+04,0.00363,0.000906,0.00262,,,,
1.13E+04,0.00406,0.00157,0.00277,,,,
1.23E+04,0.00243,0.00109,0.0048,,,,
1.33E+04,0.00131,0.00301,0.0035,,,,
1.43E+04,0.00276,0.00376,0.00231,,,,
1.54E+04,0.00161,0.00406,0.00387,,,,
1.64E+04,0.00307,0.00247,0.00321,,,,
1.84E+04,0.00246,0.00259,0.00176,,,,
2.05E+04,0.00297,0.00239,0.000547,,,,
2.25E+04,0.00364,0.00207,0.000968,,,,
2.46E+04,0.00316,0.00341,0.00116,,,,
2.66E+04,0.00235,0.00205,0.00235,,,,
2.87E+04,0.00253,0.00327,0.00135,,,,
3.07E+04,0.00243,0.00384,0.00379,,,,
3.28E+04,0.00211,0.00208,0.00264,,,,
3.69E+04,0.00272,0.002,0.00257,,,,
4.10E+04,0.0014,0.0014,0.00145,,,,
4.51E+04,0.00176,0.0022,0.00207,,,,
4.91E+04,0.00233,0.00249,0.00168,,,,
5.32E+04,0.00474,0.000881,0.000814,,,,
5.73E+04,0.00176,0.00174,0.00169,,,,
6.14E+04,0.00196,0.00127,0.00132,,,,
6.55E+04,0.00259,0.00269,0.0014,,,,
7.37E+04,0.00174,0.00106,0.00135,,,,
8.19E+04,0.00188,0.00075,0.000593,,,,
9.01E+04,0.00239,0.00126,0.0035,,,,
9.83E+04,0.00337,0.00169,0.0026,,,,
1.06E+05,0.00213,0.00111,0.00104,,,,
1.15E+05,0.000761,0.00168,0.00193,,,,
1.23E+05,0.00296,0.00159,0.000606,,,,
1.31E+05,0.00109,0.000996,0.000897,,,,
1.47E+05,0.00284,0.00114,0.00153,,,,
1.64E+05,0.00174,0.00139,0.00186,,,,
1.80E+05,0.000556,0.000887,0.00117,,,,
1.97E+05,0.00144,0.000293,0.00155,,,,
