X Lag Time,Record 1: EVs_3e10_300rpm_20-00min_PM_No1_230905 1,Record 2: EVs_3e10_300rpm_20-00min_PM_No1_230905 2,Record 3: EVs_3e10_300rpm_20-00min_PM_No1_230905 3,X Intensity,Record 1: EVs_3e10_300rpm_20-00min_PM_No1_230905 1,Record 2: EVs_3e10_300rpm_20-00min_PM_No1_230905 2,Record 3: EVs_3e10_300rpm_20-00min_PM_No1_230905 3
0.5,0.928,0.893,0.896,0.4,0,0,0
1,0.934,0.9,0.902,0.463,0,0,0
1.5,0.932,0.896,0.901,0.536,0,0,0
2,0.929,0.893,0.897,0.621,0,0,0
2.5,0.931,0.895,0.897,0.719,0,0,0
3,0.93,0.893,0.897,0.833,0,0,0
3.5,0.927,0.89,0.895,0.965,0,0,0
4,0.926,0.892,0.895,1.12,0,0,0
4.5,0.925,0.89,0.894,1.29,0,0,0
5.5,0.922,0.887,0.89,1.5,0,0,0
6.5,0.919,0.884,0.887,1.74,0,0,0
7.5,0.917,0.881,0.885,2.01,0,0,0
8.5,0.914,0.88,0.881,2.33,0,0,0
9.5,0.912,0.875,0.88,2.7,0,0,0
10.5,0.91,0.875,0.878,3.12,0,0,0
11.5,0.907,0.873,0.875,3.62,0,0,0
12.5,0.906,0.869,0.873,4.19,0,0,0
14.5,0.902,0.864,0.868,4.85,0,0,0
16.5,0.896,0.859,0.863,5.61,0,0,0
18.5,0.89,0.854,0.859,6.5,0,0,0
20.5,0.887,0.849,0.853,7.53,0,0,0
22.5,0.882,0.845,0.849,8.72,0,0,0
24.5,0.878,0.84,0.843,10.1,0,0,0
26.5,0.873,0.836,0.84,11.7,0.0721,0,0
28.5,0.869,0.831,0.835,13.5,0.2,0,0
32.5,0.86,0.823,0.827,15.7,0.286,0,0
36.5,0.851,0.813,0.818,18.2,0.286,0,0
40.5,0.843,0.805,0.809,21,0.219,0,0
44.5,0.835,0.797,0.802,24.4,0.126,0,0
48.5,0.827,0.79,0.793,28.2,0.0513,0,0
52.5,0.818,0.782,0.786,32.7,0.0235,0,0
56.5,0.811,0.773,0.777,37.8,0.0533,0,0
60.5,0.804,0.766,0.77,43.8,0.13,0,0
68.5,0.789,0.751,0.755,50.7,0.231,0,0
76.5,0.775,0.736,0.74,58.8,0.338,0,0
84.5,0.761,0.722,0.726,68.1,0.458,0,0
92.5,0.747,0.708,0.712,78.8,0.634,0,0
101,0.734,0.695,0.699,91.3,0.95,0,0
109,0.721,0.681,0.686,106,1.51,0.496,0
117,0.708,0.669,0.673,122,2.39,1.71,0.638
125,0.696,0.656,0.661,142,3.62,3.58,2.29
141,0.672,0.633,0.637,164,5.17,5.83,4.79
157,0.65,0.61,0.614,190,6.89,8.12,7.64
173,0.629,0.589,0.592,220,8.57,10.1,10.3
189,0.608,0.568,0.572,255,9.97,11.4,12.2
205,0.589,0.548,0.552,295,10.8,12,13
221,0.57,0.529,0.533,342,10.9,11.6,12.6
237,0.552,0.511,0.515,396,10.3,10.5,11.2
253,0.535,0.494,0.498,459,8.84,8.67,9.02
285,0.503,0.462,0.465,531,6.86,6.49,6.49
317,0.473,0.432,0.435,615,4.64,4.26,4.04
349,0.446,0.405,0.408,712,2.57,2.32,2.04
381,0.421,0.379,0.383,825,1.01,0.922,0.705
413,0.397,0.356,0.359,955,0.172,0.18,0.0885
445,0.375,0.334,0.337,1.11E+03,0,0,0
477,0.355,0.314,0.317,1.28E+03,0,0,0
509,0.336,0.295,0.298,1.48E+03,0,0,0
573,0.302,0.261,0.263,1.72E+03,0,0,0
637,0.273,0.231,0.233,1.99E+03,0,0,0
701,0.248,0.205,0.208,2.30E+03,0,0,0
765,0.226,0.183,0.185,2.67E+03,0,0,0
829,0.206,0.164,0.166,3.09E+03,0,0,0.0673
893,0.189,0.147,0.148,3.58E+03,0,0,0.267
957,0.173,0.133,0.133,4.15E+03,0,0.142,0.577
1.02E+03,0.161,0.121,0.12,4.80E+03,0.337,0.545,0.919
1.15E+03,0.138,0.1,0.0972,5.56E+03,1.35,1.11,1.19
1.28E+03,0.119,0.0834,0.0798,6.44E+03,0,0,0
1.40E+03,0.104,0.0695,0.0662,7.46E+03,0,0,0
1.53E+03,0.0915,0.0589,0.0558,8.63E+03,0,0,0
1.66E+03,0.0811,0.0502,0.0479,,,,
1.79E+03,0.073,0.0431,0.0417,,,,
1.92E+03,0.0669,0.0375,0.0371,,,,
2.04E+03,0.0624,0.0324,0.0334,,,,
2.30E+03,0.0551,0.0242,0.0275,,,,
2.56E+03,0.049,0.0187,0.0227,,,,
2.81E+03,0.0435,0.015,0.0186,,,,
3.07E+03,0.0378,0.0142,0.0148,,,,
3.32E+03,0.0338,0.0133,0.0123,,,,
3.58E+03,0.0314,0.0125,0.0109,,,,
3.84E+03,0.0298,0.0115,0.00942,,,,
4.09E+03,0.0295,0.0102,0.00888,,,,
4.60E+03,0.0286,0.0104,0.00745,,,,
5.12E+03,0.0273,0.00956,0.00413,,,,
5.63E+03,0.0256,0.00779,0.00482,,,,
6.14E+03,0.0243,0.00764,0.00749,,,,
6.65E+03,0.0231,0.00883,0.0103,,,,
7.16E+03,0.0239,0.0111,0.00932,,,,
7.68E+03,0.0254,0.0126,0.00808,,,,
8.19E+03,0.0268,0.0102,0.00703,,,,
9.21E+03,0.0248,0.00875,0.00792,,,,
1.02E+04,0.02,0.00791,0.00855,,,,
1.13E+04,0.0177,0.00941,0.00785,,,,
1.23E+04,0.0162,0.00816,0.00491,,,,
1.33E+04,0.0179,0.00683,0.00593,,,,
1.43E+04,0.0209,0.00752,0.00817,,,,
1.54E+04,0.022,0.00842,0.00657,,,,
1.64E+04,0.0222,0.0085,0.00488,,,,
1.84E+04,0.0225,0.00759,0.00431,,,,
2.05E+04,0.0239,0.00876,0.00377,,,,
2.25E+04,0.0206,0.00979,0.00531,,,,
2.46E+04,0.0221,0.00936,0.00609,,,,
2.66E+04,0.0193,0.0111,0.0042,,,,
2.87E+04,0.0223,0.00896,0.00492,,,,
3.07E+04,0.0236,0.00674,0.00296,,,,
3.28E+04,0.0231,0.00636,0.00352,,,,
3.69E+04,0.0219,0.00535,0.00385,,,,
4.10E+04,0.0171,0.00934,0.00465,,,,
4.51E+04,0.0227,0.00774,0.00599,,,,
4.91E+04,0.0216,0.00705,0.00472,,,,
5.32E+04,0.0183,0.00785,0.00635,,,,
5.73E+04,0.0201,0.00547,0.00504,,,,
6.14E+04,0.019,0.00829,0.00391,,,,
6.55E+04,0.0192,0.00942,0.00305,,,,
7.37E+04,0.0201,0.00704,0.00322,,,,
8.19E+04,0.0174,0.00602,0.00338,,,,
9.01E+04,0.0185,0.00625,0.00437,,,,
9.83E+04,0.0169,0.00774,0.00266,,,,
1.06E+05,0.0184,0.00735,0.0035,,,,
1.15E+05,0.0177,0.00415,0.00599,,,,
1.23E+05,0.0166,0.00676,0.00625,,,,
1.31E+05,0.0164,0.00539,0.00545,,,,
1.47E+05,0.016,0.00523,0.00458,,,,
1.64E+05,0.0147,0.00457,0.00508,,,,
1.80E+05,0.013,0.00532,0.00426,,,,
1.97E+05,0.013,0.00441,0.00353,,,,
2.13E+05,0.0148,0.00358,0.00383,,,,
2.29E+05,0.0151,0.00547,0.00348,,,,
2.46E+05,0.0136,0.00477,0.00329,,,,
2.62E+05,0.0131,0.00322,0.00311,,,,
2.95E+05,0.0117,0.00343,0.00256,,,,
3.28E+05,0.0126,0.00219,0.00416,,,,
3.60E+05,0.00916,0.00261,0.0027,,,,
3.93E+05,0.00892,0.00243,0.00132,,,,
4.26E+05,0.00729,0.00155,0.00138,,,,
4.59E+05,0.00577,0.00157,0.0014,,,,
4.92E+05,0.00452,0.000809,0.00162,,,,
5.24E+05,0.00447,0.000849,0.0013,,,,
5.90E+05,0.00395,0.00095,0.000686,,,,
6.55E+05,0.00277,0.000491,0.000611,,,,
7.21E+05,0.00188,0.000555,0.000855,,,,
7.86E+05,0.00204,0.000398,0.000437,,,,
8.52E+05,0.00312,0.000447,0.000823,,,,
9.18E+05,0.00298,0.000707,0.000385,,,,
9.83E+05,0.00194,0.000939,0.000384,,,,
1.05E+06,0.00105,0.000273,0.000714,,,,
1.18E+06,0.00234,0.000564,0.000801,,,,
1.31E+06,0.00229,0.000623,0.00123,,,,
1.44E+06,0.00183,0.00113,0.000283,,,,
1.57E+06,0.00246,0.00196,0.00042,,,,
1.70E+06,0.00165,0.000833,0.00126,,,,
1.84E+06,0.000565,0.000911,0.00106,,,,
1.97E+06,0.000318,0.000725,0.00116,,,,
2.10E+06,0.00102,0.003,0.000779,,,,
2.36E+06,0.00217,0.00292,0.00219,,,,
2.62E+06,0.0017,0.00557,0.00182,,,,
2.88E+06,0.00197,0.00476,0.00167,,,,
3.15E+06,0.00252,0.00528,0.00131,,,,
3.41E+06,0.00257,0.00477,0.000958,,,,
3.67E+06,0.00297,0.00496,0.000357,,,,
3.93E+06,0.00299,0.0066,0.00201,,,,
4.19E+06,0,0,0,,,,
4.72E+06,0,0,0,,,,
5.24E+06,0,0,0,,,,
5.77E+06,0,0,0,,,,
6.29E+06,0,0,0,,,,
6.82E+06,0,0,0,,,,
7.34E+06,0,0,0,,,,
7.86E+06,0,0,0,,,,
8.39E+06,0,0,0,,,,
9.44E+06,0,0,0,,,,
1.05E+07,0,0,0,,,,
1.15E+07,0,0,0,,,,
1.26E+07,0,0,0,,,,
1.36E+07,0,0,0,,,,
1.47E+07,0,0,0,,,,
1.57E+07,0,0,0,,,,
1.68E+07,0,0,0,,,,
1.89E+07,0,0,0,,,,
2.10E+07,0,0,0,,,,
2.31E+07,0,0,0,,,,
2.52E+07,0,0,0,,,,
2.73E+07,0,0,0,,,,
2.94E+07,0,0,0,,,,
3.15E+07,0,0,0,,,,
3.36E+07,0,0,0,,,,
3.77E+07,0,0,0,,,,
4.19E+07,0,0,0,,,,
4.61E+07,0,0,0,,,,
5.03E+07,0,0,0,,,,
5.45E+07,0,0,0,,,,
5.87E+07,0,0,0,,,,
