X Lag Time,Record 3: PBS_00mg_PO1_050ug_300rpm_20-00min_ST_No2_230925 1,Record 4: PBS_00mg_PO1_050ug_300rpm_20-00min_ST_No2_230925 2,Record 5: PBS_00mg_PO1_050ug_300rpm_20-00min_ST_No2_230925 3,X Intensity,Record 3: PBS_00mg_PO1_050ug_300rpm_20-00min_ST_No2_230925 1,Record 4: PBS_00mg_PO1_050ug_300rpm_20-00min_ST_No2_230925 2,Record 5: PBS_00mg_PO1_050ug_300rpm_20-00min_ST_No2_230925 3
0.5,0.865,0.869,0.875,0.4,0,0,0
1,0.869,0.874,0.878,0.463,0,0,0
1.5,0.863,0.868,0.873,0.536,0,0,0
2,0.861,0.866,0.87,0.621,0,0,0
2.5,0.857,0.863,0.868,0.719,0,0,0
3,0.854,0.859,0.863,0.833,0,0,0
3.5,0.85,0.856,0.858,0.965,0,0,0
4,0.847,0.852,0.857,1.12,0,0,0
4.5,0.843,0.85,0.854,1.29,0,0,0
5.5,0.836,0.845,0.848,1.5,0,0,0
6.5,0.832,0.837,0.842,1.74,0,0,0
7.5,0.826,0.833,0.835,2.01,0,0,0
8.5,0.819,0.827,0.829,2.33,0,0,0
9.5,0.813,0.82,0.824,2.7,0,0,0
10.5,0.808,0.813,0.818,3.12,0,0,0
11.5,0.803,0.809,0.813,3.62,0,0,0
12.5,0.796,0.802,0.808,4.19,0,0,0
14.5,0.785,0.791,0.796,4.85,0,0,0
16.5,0.775,0.782,0.786,5.61,0,0,0
18.5,0.764,0.77,0.776,6.5,0,0,0
20.5,0.752,0.761,0.767,7.53,0,0,0
22.5,0.743,0.751,0.756,8.72,0,0,0
24.5,0.733,0.741,0.747,10.1,0,0,0
26.5,0.723,0.731,0.739,11.7,0,0,0
28.5,0.714,0.722,0.728,13.5,0,0,0
32.5,0.695,0.704,0.71,15.7,0,0,0
36.5,0.679,0.687,0.693,18.2,0,0,0
40.5,0.66,0.671,0.677,21,0,0,0
44.5,0.646,0.655,0.661,24.4,0,0,0
48.5,0.629,0.639,0.646,28.2,0,0,0
52.5,0.614,0.625,0.631,32.7,0.144,0.128,0.145
56.5,0.599,0.61,0.617,37.8,0.704,0.716,0.699
60.5,0.585,0.596,0.603,43.8,1.75,1.78,1.7
68.5,0.557,0.569,0.576,50.7,3.22,3.18,3.05
76.5,0.531,0.543,0.551,58.8,4.93,4.72,4.62
84.5,0.507,0.519,0.527,68.1,6.67,6.22,6.23
92.5,0.484,0.496,0.505,78.8,8.24,7.53,7.73
101,0.462,0.474,0.483,91.3,9.44,8.54,8.95
109,0.441,0.454,0.463,106,10.1,9.18,9.78
117,0.422,0.435,0.443,122,10.3,9.41,10.1
125,0.404,0.417,0.425,142,9.9,9.24,9.9
141,0.369,0.383,0.391,164,9.01,8.69,9.17
157,0.338,0.352,0.36,190,7.76,7.83,7.98
173,0.309,0.324,0.333,220,6.27,6.72,6.47
189,0.284,0.299,0.307,255,4.72,5.47,4.81
205,0.261,0.276,0.284,295,3.26,4.19,3.2
221,0.239,0.254,0.262,342,2,2.96,1.81
237,0.221,0.236,0.243,396,1.03,1.89,0.793
253,0.204,0.218,0.226,459,0.404,1.04,0.204
285,0.174,0.187,0.195,531,0.0865,0.454,0
317,0.149,0.162,0.17,615,0,0.121,0
349,0.128,0.141,0.149,712,0,0,0
381,0.11,0.123,0.13,825,0,0,0
413,0.0956,0.107,0.114,955,0,0,0
445,0.0828,0.094,0.101,1.11E+03,0,0,0
477,0.0719,0.0819,0.09,1.28E+03,0,0,0
509,0.0631,0.0724,0.0804,1.48E+03,0,0,0
573,0.0488,0.0564,0.0636,1.72E+03,0,0,0
637,0.0376,0.0448,0.0508,1.99E+03,0,0,0
701,0.0297,0.0356,0.041,2.30E+03,0,0,0
765,0.0242,0.0285,0.0328,2.67E+03,0,0,0
829,0.02,0.0228,0.0274,3.09E+03,0,0,0.0837
893,0.0164,0.0189,0.0233,3.58E+03,0,0,0.27
957,0.0141,0.0164,0.0198,4.15E+03,0,0,0.527
1.02E+03,0.0126,0.0145,0.0176,4.80E+03,0,0,0.79
1.15E+03,0.0109,0.0105,0.0139,5.56E+03,0,0,0.985
1.28E+03,0.00849,0.0085,0.0126,6.44E+03,0,0,0
1.40E+03,0.00722,0.00826,0.0115,7.46E+03,0,0,0
1.53E+03,0.00694,0.00743,0.0101,8.63E+03,0,0,0
1.66E+03,0.00583,0.0062,0.00875,,,,
1.79E+03,0.00489,0.00633,0.00836,,,,
1.92E+03,0.00488,0.00691,0.00757,,,,
2.04E+03,0.00397,0.00735,0.00758,,,,
2.30E+03,0.00353,0.00648,0.00812,,,,
2.56E+03,0.00273,0.0054,0.00695,,,,
2.81E+03,0.00263,0.00307,0.00585,,,,
3.07E+03,0.0039,0.00342,0.00588,,,,
3.32E+03,0.00407,0.00262,0.00691,,,,
3.58E+03,0.00347,0.00288,0.00571,,,,
3.84E+03,0.00368,0.0034,0.00472,,,,
4.09E+03,0.00337,0.00264,0.00383,,,,
4.60E+03,0.00369,0.00268,0.00435,,,,
5.12E+03,0.00411,0.00428,0.00359,,,,
5.63E+03,0.00391,0.00583,0.00436,,,,
6.14E+03,0.00414,0.00708,0.00349,,,,
6.65E+03,0.00536,0.00358,0.00428,,,,
7.16E+03,0.00376,0.00465,0.00544,,,,
7.68E+03,0.00488,0.00341,0.00597,,,,
8.19E+03,0.00479,0.00362,0.00444,,,,
9.21E+03,0.00392,0.00372,0.0029,,,,
1.02E+04,0.00515,0.00454,0.00563,,,,
1.13E+04,0.00349,0.00504,0.00452,,,,
1.23E+04,0.00353,0.00323,0.00385,,,,
1.33E+04,0.00276,0.00307,0.00393,,,,
1.43E+04,0.00226,0.00307,0.00362,,,,
1.54E+04,0.00328,0.0033,0.00351,,,,
1.64E+04,0.00326,0.0038,0.00413,,,,
1.84E+04,0.00279,0.00324,0.00246,,,,
2.05E+04,0.00272,0.00403,0.00299,,,,
2.25E+04,0.00367,0.00381,0.00381,,,,
2.46E+04,0.00359,0.0034,0.00516,,,,
2.66E+04,0.00232,0.00354,0.00342,,,,
2.87E+04,0.00412,0.0045,0.00466,,,,
3.07E+04,0.00289,0.00266,0.00458,,,,
3.28E+04,0.00381,0.0034,0.00326,,,,
3.69E+04,0.00242,0.00387,0.00267,,,,
4.10E+04,0.0028,0.00332,0.00273,,,,
4.51E+04,0.00238,0.00302,0.00253,,,,
4.91E+04,0.00234,0.00309,0.00273,,,,
5.32E+04,0.003,0.0027,0.00282,,,,
5.73E+04,0.00223,0.00386,0.00266,,,,
6.14E+04,0.00259,0.00363,0.00317,,,,
6.55E+04,0.00224,0.00287,0.00271,,,,
7.37E+04,0.00268,0.00357,0.00367,,,,
8.19E+04,0.00308,0.00383,0.00323,,,,
9.01E+04,0.00287,0.00366,0.00253,,,,
9.83E+04,0.00276,0.00293,0.00232,,,,
1.06E+05,0.00351,0.00375,0.0026,,,,
1.15E+05,0.00338,0.0038,0.00276,,,,
1.23E+05,0.00251,0.00348,0.00343,,,,
1.31E+05,0.00298,0.00287,0.00274,,,,
1.47E+05,0.00315,0.00355,0.00268,,,,
1.64E+05,0.00247,0.00275,0.00253,,,,
1.80E+05,0.00265,0.00304,0.00283,,,,
1.97E+05,0.00277,0.00316,0.00229,,,,
2.13E+05,0.00335,0.00368,0.00228,,,,
2.29E+05,0.00286,0.00335,0.00215,,,,
2.46E+05,0.00378,0.00337,0.0027,,,,
2.62E+05,0.00276,0.00335,0.0024,,,,
2.95E+05,0.00283,0.00352,0.00239,,,,
3.28E+05,0.00292,0.00287,0.00245,,,,
3.60E+05,0.00337,0.00295,0.00242,,,,
