X Lag Time,Record 1: EVs_3e10_300rpm_20-00min_PM_No1_230828 1,Record 2: EVs_3e10_300rpm_20-00min_PM_No1_230828 2,Record 3: EVs_3e10_300rpm_20-00min_PM_No1_230828 3,X Intensity,Record 1: EVs_3e10_300rpm_20-00min_PM_No1_230828 1,Record 2: EVs_3e10_300rpm_20-00min_PM_No1_230828 2,Record 3: EVs_3e10_300rpm_20-00min_PM_No1_230828 3
0.5,0.862,0.852,0.841,0.4,0,0,0
1,0.868,0.858,0.849,0.463,0,0,0
1.5,0.868,0.856,0.846,0.536,0,0,0
2,0.865,0.854,0.844,0.621,0,0,0
2.5,0.864,0.853,0.843,0.719,0,0,0
3,0.863,0.852,0.842,0.833,0,0,0
3.5,0.862,0.85,0.841,0.965,0,0,0
4,0.86,0.85,0.84,1.12,0,0,0
4.5,0.86,0.849,0.839,1.29,0,0,0
5.5,0.858,0.846,0.837,1.5,0,0,0
6.5,0.855,0.845,0.834,1.74,0,0,0
7.5,0.853,0.842,0.832,2.01,0,0,0
8.5,0.851,0.84,0.829,2.33,0,0,0
9.5,0.849,0.838,0.828,2.7,0,0,0
10.5,0.846,0.836,0.825,3.12,0,0,0
11.5,0.845,0.834,0.824,3.62,0,0,0
12.5,0.842,0.832,0.821,4.19,0,0,0
14.5,0.838,0.828,0.817,4.85,0,0,0
16.5,0.834,0.823,0.812,5.61,0,0,0
18.5,0.829,0.819,0.808,6.5,0,0,0
20.5,0.825,0.815,0.804,7.53,0,0,0
22.5,0.821,0.812,0.8,8.72,0,0,0
24.5,0.817,0.808,0.795,10.1,0,0,0
26.5,0.813,0.803,0.792,11.7,0,0,0
28.5,0.809,0.8,0.788,13.5,0,0,0
32.5,0.801,0.792,0.78,15.7,0,0,0
36.5,0.793,0.785,0.772,18.2,0,0,0
40.5,0.786,0.778,0.764,21,0,0,0
44.5,0.778,0.771,0.757,24.4,0,0,0
48.5,0.771,0.764,0.749,28.2,0,0,0
52.5,0.764,0.756,0.742,32.7,0,0,0
56.5,0.757,0.75,0.735,37.8,0,0,0
60.5,0.75,0.743,0.728,43.8,0,0,0.415
68.5,0.736,0.73,0.714,50.7,0,0,1.23
76.5,0.723,0.717,0.7,58.8,0,0.309,2.06
84.5,0.71,0.704,0.687,68.1,0.0793,1.24,2.5
92.5,0.697,0.692,0.675,78.8,0.756,2.51,2.38
101,0.685,0.68,0.662,91.3,1.98,3.62,1.78
109,0.674,0.669,0.65,106,3.45,4.17,1.07
117,0.662,0.658,0.638,122,4.81,4.06,0.676
125,0.651,0.647,0.627,142,5.84,3.56,1.02
141,0.63,0.626,0.605,164,6.47,3.13,2.31
157,0.609,0.607,0.585,190,6.77,3.26,4.49
173,0.59,0.588,0.565,220,6.87,4.26,7.22
189,0.571,0.57,0.546,255,6.9,6.08,9.95
205,0.554,0.553,0.528,295,6.95,8.34,12
221,0.537,0.537,0.511,342,7.02,10.4,13
237,0.52,0.521,0.495,396,7.05,11.6,12.4
253,0.505,0.506,0.48,459,6.92,11.5,10.5
285,0.476,0.479,0.451,531,6.52,9.81,7.54
317,0.45,0.453,0.425,615,5.79,7.02,4.32
349,0.425,0.43,0.401,712,4.75,3.86,1.67
381,0.403,0.408,0.378,825,3.48,1.27,0.219
413,0.382,0.388,0.357,955,2.18,0,0
445,0.363,0.37,0.338,1.11E+03,1.05,0,0
477,0.345,0.352,0.321,1.28E+03,0.304,0,0
509,0.328,0.336,0.305,1.48E+03,0,0,0
573,0.298,0.307,0.275,1.72E+03,0,0,0
637,0.272,0.282,0.25,1.99E+03,0,0,0
701,0.25,0.26,0.228,2.30E+03,0,0,0
765,0.23,0.24,0.208,2.67E+03,0,0,0
829,0.213,0.224,0.19,3.09E+03,0,0,0
893,0.199,0.208,0.175,3.58E+03,0,0,0
957,0.186,0.195,0.161,4.15E+03,0.312,0,0
1.02E+03,0.174,0.183,0.149,4.80E+03,1.22,0,0.0706
1.15E+03,0.154,0.163,0.127,5.56E+03,2.54,0,1.14
1.28E+03,0.137,0.147,0.111,6.44E+03,0,0,0
1.40E+03,0.124,0.132,0.0981,7.46E+03,0,0,0
1.53E+03,0.112,0.12,0.0872,8.63E+03,0,0,0
1.66E+03,0.102,0.109,0.0775,,,,
1.79E+03,0.094,0.1,0.0689,,,,
1.92E+03,0.0864,0.0923,0.0624,,,,
2.04E+03,0.0807,0.0863,0.0567,,,,
2.30E+03,0.0725,0.0759,0.0464,,,,
2.56E+03,0.0666,0.0666,0.0378,,,,
2.81E+03,0.0612,0.0585,0.0328,,,,
3.07E+03,0.0578,0.0526,0.0299,,,,
3.32E+03,0.0546,0.0485,0.0273,,,,
3.58E+03,0.051,0.0456,0.0253,,,,
3.84E+03,0.047,0.0439,0.0235,,,,
4.09E+03,0.0446,0.0422,0.0225,,,,
4.60E+03,0.041,0.0396,0.0215,,,,
5.12E+03,0.0385,0.0405,0.0208,,,,
5.63E+03,0.0379,0.0405,0.0208,,,,
6.14E+03,0.0356,0.0401,0.0186,,,,
6.65E+03,0.0348,0.0368,0.0156,,,,
7.16E+03,0.0341,0.0345,0.0195,,,,
7.68E+03,0.0347,0.0345,0.0193,,,,
8.19E+03,0.0348,0.035,0.0172,,,,
9.21E+03,0.0353,0.0344,0.0173,,,,
1.02E+04,0.0309,0.0344,0.0201,,,,
1.13E+04,0.0286,0.0328,0.0229,,,,
1.23E+04,0.0283,0.031,0.0209,,,,
1.33E+04,0.0279,0.0289,0.0186,,,,
1.43E+04,0.0265,0.0289,0.0182,,,,
1.54E+04,0.0309,0.0313,0.0171,,,,
1.64E+04,0.0297,0.027,0.0153,,,,
1.84E+04,0.0269,0.0294,0.0142,,,,
2.05E+04,0.0272,0.0271,0.0144,,,,
2.25E+04,0.03,0.0302,0.013,,,,
2.46E+04,0.0312,0.0299,0.0145,,,,
2.66E+04,0.029,0.0276,0.0149,,,,
2.87E+04,0.0307,0.0278,0.0151,,,,
3.07E+04,0.0309,0.0277,0.0145,,,,
3.28E+04,0.0293,0.029,0.0142,,,,
3.69E+04,0.027,0.0316,0.0145,,,,
4.10E+04,0.0265,0.0284,0.0129,,,,
4.51E+04,0.0271,0.0253,0.0103,,,,
4.91E+04,0.0285,0.0218,0.0123,,,,
5.32E+04,0.0267,0.0243,0.0104,,,,
5.73E+04,0.0293,0.0243,0.0131,,,,
6.14E+04,0.0278,0.0237,0.00977,,,,
6.55E+04,0.0274,0.026,0.0108,,,,
7.37E+04,0.0261,0.0241,0.012,,,,
8.19E+04,0.0253,0.0203,0.0115,,,,
9.01E+04,0.0253,0.0208,0.0121,,,,
9.83E+04,0.0236,0.0208,0.0101,,,,
1.06E+05,0.0244,0.0192,0.0104,,,,
1.15E+05,0.025,0.0164,0.00843,,,,
1.23E+05,0.0253,0.0191,0.00875,,,,
1.31E+05,0.0247,0.0187,0.00886,,,,
1.47E+05,0.0233,0.0209,0.0082,,,,
1.64E+05,0.0237,0.0184,0.00892,,,,
1.80E+05,0.0207,0.0158,0.00691,,,,
1.97E+05,0.02,0.0189,0.00774,,,,
2.13E+05,0.0183,0.017,0.0105,,,,
2.29E+05,0.0194,0.0157,0.00768,,,,
2.46E+05,0.0205,0.0166,0.009,,,,
2.62E+05,0.0184,0.016,0.00826,,,,
2.95E+05,0.0175,0.0149,0.00743,,,,
3.28E+05,0.0184,0.0124,0.00827,,,,
3.60E+05,0.0162,0.0136,0.00727,,,,
3.93E+05,0.015,0.0118,0.00755,,,,
4.26E+05,0.0138,0.011,0.00738,,,,
4.59E+05,0.0131,0.0119,0.0081,,,,
4.92E+05,0.0123,0.0111,0.0077,,,,
5.24E+05,0.0135,0.00998,0.00852,,,,
5.90E+05,0.0136,0.0102,0.00757,,,,
6.55E+05,0.0155,0.0105,0.00576,,,,
7.21E+05,0.0146,0.0102,0.00536,,,,
7.86E+05,0.0134,0.0076,0.00464,,,,
8.52E+05,0.0144,0.00806,0.00504,,,,
9.18E+05,0.0134,0.00941,0.00494,,,,
9.83E+05,0.0128,0.00991,0.00361,,,,
1.05E+06,0.00994,0.00965,0.00302,,,,
1.18E+06,0.00658,0.00772,0.00254,,,,
1.31E+06,0.00547,0.00853,0.000808,,,,
1.44E+06,0.00523,0.00577,0.00148,,,,
1.57E+06,0.00639,0.00393,0.000987,,,,
1.70E+06,0.00545,0.0052,0.000858,,,,
1.84E+06,0.00518,0.00482,0.000169,,,,
1.97E+06,0.00437,0.00434,0,,,,
2.10E+06,0.0101,0.0047,0.000399,,,,
2.36E+06,0.00981,0.00482,0.000947,,,,
2.62E+06,0.00821,0.00558,0.00147,,,,
2.88E+06,0.00801,0.00438,0.000492,,,,
3.15E+06,0.00938,0.00535,0.00131,,,,
3.41E+06,0.00843,0.00526,0.00115,,,,
3.67E+06,0.00662,0.00251,0.000159,,,,
3.93E+06,0.00306,0.00405,0.00141,,,,
4.19E+06,0,0,0,,,,
4.72E+06,0,0,0,,,,
5.24E+06,0,0,0,,,,
5.77E+06,0,0,0,,,,
6.29E+06,0,0,0,,,,
6.82E+06,0,0,0,,,,
7.34E+06,0,0,0,,,,
7.86E+06,0,0,0,,,,
8.39E+06,0,0,0,,,,
9.44E+06,0,0,0,,,,
1.05E+07,0,0,0,,,,
1.15E+07,0,0,0,,,,
1.26E+07,0,0,0,,,,
1.36E+07,0,0,0,,,,
1.47E+07,0,0,0,,,,
1.57E+07,0,0,0,,,,
1.68E+07,0,0,0,,,,
1.89E+07,0,0,0,,,,
2.10E+07,0,0,0,,,,
2.31E+07,0,0,0,,,,
2.52E+07,0,0,0,,,,
2.73E+07,0,0,0,,,,
2.94E+07,0,0,0,,,,
3.15E+07,0,0,0,,,,
3.36E+07,0,0,0,,,,
3.77E+07,0,0,0,,,,
4.19E+07,0,0,0,,,,
4.61E+07,0,0,0,,,,
5.03E+07,0,0,0,,,,
5.45E+07,0,0,0,,,,
5.87E+07,0,0,0,,,,
