X Lag Time,Record 1: PBS_00mg_PS2_500ug_000rpm_00-00min_ST_No3_230919 1,Record 2: PBS_00mg_PS2_500ug_000rpm_00-00min_ST_No3_230919 2,Record 3: PBS_00mg_PS2_500ug_000rpm_00-00min_ST_No3_230919 3,X Intensity,Record 1: PBS_00mg_PS2_500ug_000rpm_00-00min_ST_No3_230919 1,Record 2: PBS_00mg_PS2_500ug_000rpm_00-00min_ST_No3_230919 2,Record 3: PBS_00mg_PS2_500ug_000rpm_00-00min_ST_No3_230919 3
0.5,0.519,0.519,0.513,0.4,0,0,0
1,0.513,0.507,0.499,0.463,0,0,0
1.5,0.494,0.486,0.482,0.536,0,0,0
2,0.484,0.472,0.467,0.621,0,0,0
2.5,0.466,0.462,0.456,0.719,0,0,0
3,0.452,0.451,0.443,0.833,0,0,0
3.5,0.443,0.437,0.433,0.965,0,0,0
4,0.427,0.425,0.418,1.12,0,0,0
4.5,0.42,0.415,0.41,1.29,0,0,0
5.5,0.399,0.393,0.39,1.5,0,0,0
6.5,0.381,0.373,0.367,1.74,0,0,0
7.5,0.36,0.355,0.351,2.01,0,0,0
8.5,0.344,0.338,0.334,2.33,0,0,0
9.5,0.328,0.323,0.317,2.7,0,0,0
10.5,0.311,0.306,0.302,3.12,0,0,0
11.5,0.296,0.293,0.29,3.62,0,0,0
12.5,0.284,0.279,0.276,4.19,0,0,0
14.5,0.258,0.254,0.25,4.85,0.537,0.707,0.696
16.5,0.237,0.232,0.227,5.61,2.47,2.73,2.81
18.5,0.218,0.214,0.209,6.5,5.54,5.79,5.96
20.5,0.2,0.196,0.19,7.53,8.91,9.12,9.25
22.5,0.184,0.18,0.175,8.72,11.6,11.8,11.8
24.5,0.17,0.166,0.162,10.1,13,13.1,12.9
26.5,0.156,0.152,0.15,11.7,12.6,12.7,12.3
28.5,0.145,0.142,0.139,13.5,10.7,10.7,10.3
32.5,0.125,0.123,0.119,15.7,7.72,7.72,7.36
36.5,0.109,0.106,0.104,18.2,4.54,4.49,4.3
40.5,0.0968,0.0933,0.0902,21,1.92,1.84,1.82
44.5,0.0851,0.083,0.0809,24.4,0.403,0.345,0.387
48.5,0.0759,0.0743,0.0721,28.2,0,0,0
52.5,0.0687,0.0663,0.0643,32.7,0,0,0
56.5,0.0636,0.0604,0.058,37.8,0,0,0
60.5,0.0576,0.0562,0.0526,43.8,0,0,0
68.5,0.0492,0.0472,0.0452,50.7,0,0,0
76.5,0.0428,0.0412,0.0389,58.8,0,0,0
84.5,0.0392,0.0368,0.0355,68.1,0,0,0
92.5,0.0362,0.0338,0.0314,78.8,0,0,0
101,0.0331,0.0312,0.0289,91.3,0,0,0
109,0.0318,0.0289,0.028,106,0,0,0
117,0.0299,0.0275,0.0262,122,0,0,0
125,0.0294,0.0263,0.0249,142,0,0,0
141,0.0276,0.0248,0.0238,164,0,0,0.103
157,0.0261,0.0237,0.0225,190,0.141,0.171,0.385
173,0.0247,0.0234,0.0217,220,0.47,0.55,0.819
189,0.0233,0.0225,0.0209,255,0.938,1.07,1.33
205,0.0231,0.0214,0.0202,295,1.46,1.62,1.82
221,0.0224,0.0206,0.0186,342,1.93,2.1,2.22
237,0.0221,0.0201,0.0182,396,2.29,2.41,2.45
253,0.0217,0.0191,0.018,459,2.47,2.51,2.5
285,0.0206,0.0177,0.0162,531,2.46,2.39,2.35
317,0.0194,0.0163,0.0156,615,2.27,2.09,2.05
349,0.0185,0.0162,0.0146,712,1.93,1.66,1.64
381,0.0172,0.0155,0.0136,825,1.52,1.18,1.19
413,0.0161,0.014,0.013,955,1.07,0.718,0.751
445,0.0154,0.0135,0.0117,1.11E+03,0.66,0.351,0.392
477,0.0154,0.0126,0.0107,1.28E+03,0.333,0.112,0.146
509,0.0144,0.0114,0.0107,1.48E+03,0.118,0.00834,0.0249
573,0.0128,0.0107,0.0097,1.72E+03,0.0171,0,0
637,0.0119,0.0091,0.00893,1.99E+03,0,0,0
701,0.011,0.00884,0.00772,2.30E+03,0,0,0
765,0.011,0.00769,0.00736,2.67E+03,0,0,0
829,0.0101,0.00672,0.0062,3.09E+03,0,0,0
893,0.0098,0.00607,0.00626,3.58E+03,0,0,0
957,0.00927,0.00541,0.00546,4.15E+03,0,0,0
1.02E+03,0.00863,0.00513,0.00494,4.80E+03,0,0,0
1.15E+03,0.0082,0.0048,0.0046,5.56E+03,0,0,0
1.28E+03,0.00705,0.00434,0.00422,6.44E+03,0,0,0
1.40E+03,0.00742,0.00393,0.00442,7.46E+03,0,0,0
1.53E+03,0.00692,0.00347,0.00382,8.63E+03,0,0,0
1.66E+03,0.00645,0.00322,0.00346,,,,
1.79E+03,0.00644,0.00317,0.00348,,,,
1.92E+03,0.00583,0.00291,0.00281,,,,
2.04E+03,0.0059,0.00337,0.00322,,,,
2.30E+03,0.00618,0.00353,0.00313,,,,
2.56E+03,0.00631,0.00326,0.00321,,,,
2.81E+03,0.00606,0.00345,0.00316,,,,
3.07E+03,0.00623,0.00378,0.00315,,,,
3.32E+03,0.00644,0.00299,0.00274,,,,
3.58E+03,0.00642,0.00304,0.00298,,,,
3.84E+03,0.00648,0.00315,0.00285,,,,
4.09E+03,0.00675,0.00296,0.00285,,,,
4.60E+03,0.00654,0.00264,0.0027,,,,
5.12E+03,0.00669,0.00281,0.00305,,,,
5.63E+03,0.00628,0.00314,0.0031,,,,
6.14E+03,0.00612,0.00325,0.0031,,,,
6.65E+03,0.00614,0.00328,0.00314,,,,
7.16E+03,0.00599,0.00336,0.0032,,,,
7.68E+03,0.00629,0.00351,0.00313,,,,
8.19E+03,0.00639,0.0033,0.00334,,,,
9.21E+03,0.00616,0.00303,0.00313,,,,
1.02E+04,0.006,0.00324,0.00308,,,,
1.13E+04,0.00621,0.00327,0.00304,,,,
1.23E+04,0.00642,0.00288,0.00308,,,,
1.33E+04,0.00614,0.0029,0.00298,,,,
1.43E+04,0.00621,0.00274,0.00317,,,,
1.54E+04,0.00618,0.00264,0.00317,,,,
1.64E+04,0.00622,0.00296,0.00309,,,,
1.84E+04,0.00607,0.00295,0.00286,,,,
2.05E+04,0.0059,0.00283,0.00291,,,,
2.25E+04,0.00582,0.0025,0.00311,,,,
2.46E+04,0.00628,0.00263,0.00315,,,,
2.66E+04,0.00596,0.00274,0.00296,,,,
2.87E+04,0.00616,0.00281,0.00292,,,,
3.07E+04,0.00602,0.00276,0.00305,,,,
3.28E+04,0.00604,0.00259,0.00297,,,,
3.69E+04,0.00593,0.00258,0.00292,,,,
4.10E+04,0.00611,0.00266,0.00301,,,,
4.51E+04,0.00597,0.00257,0.00297,,,,
4.91E+04,0.00611,0.00275,0.00285,,,,
5.32E+04,0.00612,0.00266,0.003,,,,
5.73E+04,0.00593,0.00268,0.00281,,,,
6.14E+04,0.00604,0.00254,0.00292,,,,
6.55E+04,0.00605,0.00247,0.00293,,,,
7.37E+04,0.00603,0.00236,0.00268,,,,
8.19E+04,0.00603,0.00239,0.00278,,,,
9.01E+04,0.00574,0.00218,0.00273,,,,
9.83E+04,0.00576,0.00223,0.00255,,,,
1.06E+05,0.00574,0.00215,0.00267,,,,
1.15E+05,0.00564,0.00202,0.00266,,,,
1.23E+05,0.00558,0.00194,0.00248,,,,
1.31E+05,0.00555,0.00201,0.0026,,,,
1.47E+05,0.00526,0.00184,0.00257,,,,
1.64E+05,0.00529,0.00179,0.00249,,,,
1.80E+05,0.00506,0.00165,0.00235,,,,
1.97E+05,0.00497,0.00152,0.00235,,,,
2.13E+05,0.00473,0.0014,0.00229,,,,
2.29E+05,0.00469,0.00139,0.00241,,,,
2.46E+05,0.00441,0.00131,0.00222,,,,
2.62E+05,0.00422,0.00138,0.00182,,,,
2.95E+05,0.00396,0.00124,0.00168,,,,
3.28E+05,0.00372,0.00129,0.00154,,,,
3.60E+05,0.00322,0.00106,0.0013,,,,
3.93E+05,0.00281,0.000933,0.00107,,,,
4.26E+05,0.00273,0.000852,0.000938,,,,
4.59E+05,0.00246,0.000734,0.00107,,,,
4.92E+05,0.00232,0.000676,0.000833,,,,
5.24E+05,0.00226,0.00039,0.000862,,,,
5.90E+05,0.00203,0.000255,0.000783,,,,
6.55E+05,0.00192,0.000283,0.000811,,,,
7.21E+05,0.00211,0.000222,0.000657,,,,
7.86E+05,0.00221,0.000165,0.000683,,,,
8.52E+05,0.00233,0.00013,0.000508,,,,
9.18E+05,0.00248,0.000118,0.000482,,,,
9.83E+05,0.00261,5.73E-05,0.000481,,,,
1.05E+06,0.0024,0.000177,0.000556,,,,
1.18E+06,0.00266,0.000373,0.000657,,,,
1.31E+06,0.00248,5.98E-05,0.00108,,,,
1.44E+06,0.00269,0.000101,0.0014,,,,
1.57E+06,0.00257,0.000206,0.00137,,,,
1.70E+06,0.0025,0.00034,0.00144,,,,
1.84E+06,0.00187,0.00024,0.00145,,,,
1.97E+06,0.00177,0.000219,0.00128,,,,
2.10E+06,0.00204,0.000261,0.000876,,,,
2.36E+06,0.00254,0.000596,0.000934,,,,
2.62E+06,0.0022,0.00115,0.000896,,,,
2.88E+06,0.00194,0.00132,0.000885,,,,
3.15E+06,0.00251,0.00417,0.00114,,,,
3.41E+06,0.00171,0.006,0.00066,,,,
3.67E+06,0.00108,0.00702,0.000106,,,,
3.93E+06,0.00168,0.0081,0.000142,,,,
4.19E+06,0,0,0,,,,
4.72E+06,0,0,0,,,,
5.24E+06,0,0,0,,,,
5.77E+06,0,0,0,,,,
6.29E+06,0,0,0,,,,
6.82E+06,0,0,0,,,,
7.34E+06,0,0,0,,,,
7.86E+06,0,0,0,,,,
8.39E+06,0,0,0,,,,
9.44E+06,0,0,0,,,,
1.05E+07,0,0,0,,,,
1.15E+07,0,0,0,,,,
1.26E+07,0,0,0,,,,
1.36E+07,0,0,0,,,,
1.47E+07,0,0,0,,,,
1.57E+07,0,0,0,,,,
1.68E+07,0,0,0,,,,
1.89E+07,0,0,0,,,,
2.10E+07,0,0,0,,,,
2.31E+07,0,0,0,,,,
2.52E+07,0,0,0,,,,
2.73E+07,0,0,0,,,,
2.94E+07,0,0,0,,,,
3.15E+07,0,0,0,,,,
3.36E+07,0,0,0,,,,
3.77E+07,0,0,0,,,,
4.19E+07,0,0,0,,,,
4.61E+07,0,0,0,,,,
5.03E+07,0,0,0,,,,
5.45E+07,0,0,0,,,,
5.87E+07,0,0,0,,,,
