X Lag Time,Record 1: EVs_3e10_PS2_500ug_300rpm_20-00min_ST_No2_230918 1,Record 2: EVs_3e10_PS2_500ug_300rpm_20-00min_ST_No2_230918 2,Record 3: EVs_3e10_PS2_500ug_300rpm_20-00min_ST_No2_230918 3,X Intensity,Record 1: EVs_3e10_PS2_500ug_300rpm_20-00min_ST_No2_230918 1,Record 2: EVs_3e10_PS2_500ug_300rpm_20-00min_ST_No2_230918 2,Record 3: EVs_3e10_PS2_500ug_300rpm_20-00min_ST_No2_230918 3
0.5,0.882,0.88,0.878,0.4,0,0,0
1,0.888,0.886,0.885,0.463,0,0,0
1.5,0.885,0.882,0.881,0.536,0,0,0
2,0.883,0.88,0.878,0.621,0,0,0
2.5,0.88,0.877,0.876,0.719,0,0,0
3,0.877,0.875,0.874,0.833,0,0,0
3.5,0.874,0.873,0.871,0.965,0,0,0
4,0.873,0.87,0.868,1.12,0,0,0
4.5,0.87,0.868,0.866,1.29,0,0,0
5.5,0.866,0.863,0.862,1.5,0,0,0
6.5,0.861,0.858,0.857,1.74,0,0,0
7.5,0.855,0.853,0.853,2.01,0,0,0
8.5,0.851,0.848,0.848,2.33,0,0,0
9.5,0.846,0.843,0.843,2.7,0,0,0
10.5,0.841,0.839,0.838,3.12,0,0,0
11.5,0.837,0.834,0.833,3.62,0,0,0
12.5,0.832,0.83,0.828,4.19,0,0,0
14.5,0.823,0.821,0.82,4.85,0,0,0
16.5,0.814,0.811,0.811,5.61,0,0,0
18.5,0.804,0.803,0.801,6.5,0,0,0
20.5,0.796,0.793,0.792,7.53,0,0,0
22.5,0.787,0.785,0.784,8.72,0,0,0
24.5,0.779,0.776,0.775,10.1,0,0,0
26.5,0.77,0.768,0.766,11.7,0,0,0
28.5,0.762,0.759,0.759,13.5,0,0,0
32.5,0.745,0.743,0.742,15.7,0,0,0
36.5,0.729,0.727,0.726,18.2,0,0,0
40.5,0.713,0.711,0.71,21,0,0,0
44.5,0.698,0.695,0.695,24.4,0,0,0
