X Lag Time,Record 1: EVs_3e10_000rpm_00-00min_NA_No2_230829 1,Record 2: EVs_3e10_000rpm_00-00min_NA_No2_230829 2,Record 3: EVs_3e10_000rpm_00-00min_NA_No2_230829 3,X Intensity,Record 1: EVs_3e10_000rpm_00-00min_NA_No2_230829 1,Record 2: EVs_3e10_000rpm_00-00min_NA_No2_230829 2,Record 3: EVs_3e10_000rpm_00-00min_NA_No2_230829 3
0.5,0.867,0.889,0.891,0.4,0,0,0
1,0.87,0.892,0.895,0.463,0,0,0
1.5,0.867,0.889,0.893,0.536,0,0,0
2,0.866,0.887,0.89,0.621,0,0,0
2.5,0.864,0.885,0.89,0.719,0,0,0
3,0.861,0.884,0.887,0.833,0,0,0
3.5,0.859,0.882,0.886,0.965,0,0,0
4,0.856,0.878,0.884,1.12,0,0,0
4.5,0.853,0.877,0.88,1.29,0,0,0
5.5,0.85,0.873,0.876,1.5,0,0,0
6.5,0.846,0.867,0.871,1.74,0,0,0
7.5,0.841,0.863,0.868,2.01,0,0,0
8.5,0.837,0.859,0.864,2.33,0,0,0
9.5,0.833,0.854,0.857,2.7,0,0,0
10.5,0.828,0.85,0.854,3.12,0,0,0
11.5,0.823,0.845,0.849,3.62,0,0,0
12.5,0.819,0.841,0.844,4.19,0,0,0
14.5,0.81,0.833,0.836,4.85,0,0,0
16.5,0.803,0.826,0.827,5.61,0,0,0
18.5,0.794,0.817,0.82,6.5,0,0,0
20.5,0.787,0.809,0.811,7.53,0,0,0
22.5,0.778,0.801,0.803,8.72,0,0,0
24.5,0.769,0.793,0.795,10.1,0,0,0
26.5,0.762,0.785,0.787,11.7,0,0,0
28.5,0.754,0.778,0.779,13.5,0,0,0
32.5,0.739,0.762,0.763,15.7,0,0,0
36.5,0.725,0.748,0.748,18.2,0,0,0
40.5,0.71,0.735,0.733,21,0,0,0.0909
44.5,0.696,0.721,0.719,24.4,0,0,0.454
48.5,0.682,0.707,0.705,28.2,0,0,0.7
52.5,0.668,0.693,0.691,32.7,0,0,0.6
56.5,0.656,0.681,0.678,37.8,0,0,0.264
60.5,0.643,0.669,0.665,43.8,0.12,0,0.03
68.5,0.618,0.643,0.64,50.7,0.837,0,0.276
76.5,0.595,0.621,0.616,58.8,2.22,0.188,1.25
84.5,0.572,0.598,0.593,68.1,4.1,1.86,2.98
92.5,0.551,0.577,0.57,78.8,6.16,5.09,5.28
101,0.53,0.557,0.55,91.3,8.1,9.19,7.78
109,0.51,0.537,0.529,106,9.63,13,10.1
117,0.491,0.519,0.51,122,10.6,15.6,11.7
125,0.473,0.501,0.492,142,10.8,16.2,12.4
141,0.439,0.467,0.457,164,10.5,14.7,12.1
157,0.408,0.436,0.426,190,9.5,11.4,10.9
173,0.379,0.408,0.397,220,8.14,7.28,8.81
189,0.353,0.382,0.37,255,6.53,3.46,6.38
205,0.328,0.358,0.345,295,4.87,0.913,3.96
221,0.305,0.336,0.323,342,3.31,0,1.94
237,0.285,0.315,0.301,396,2,0,0.597
253,0.266,0.296,0.282,459,1.01,0,0.0163
285,0.232,0.262,0.247,531,0.381,0,0
317,0.203,0.231,0.216,615,0.0749,0,0
349,0.177,0.206,0.191,712,0,0,0
381,0.156,0.183,0.169,825,0,0,0
413,0.138,0.163,0.149,955,0,0,0
445,0.121,0.147,0.133,1.11E+03,0,0,0
477,0.107,0.133,0.118,1.28E+03,0,0,0
509,0.0955,0.121,0.106,1.48E+03,0,0,0
573,0.0754,0.1,0.0849,1.72E+03,0,0,0
637,0.0601,0.0846,0.0688,1.99E+03,0,0,0
701,0.0484,0.0716,0.0559,2.30E+03,0.00485,0,0
765,0.0398,0.0608,0.0462,2.67E+03,0.0333,0,0
829,0.0324,0.0516,0.0392,3.09E+03,0.0884,0,0
893,0.0263,0.0445,0.0334,3.58E+03,0.162,0,0
957,0.0218,0.0386,0.0289,4.15E+03,0.24,0,0.118
1.02E+03,0.0179,0.0344,0.0254,4.80E+03,0.304,0.135,0.424
1.15E+03,0.0125,0.028,0.0194,5.56E+03,0.338,0.96,0.832
1.28E+03,0.00855,0.0256,0.0154,6.44E+03,0,0,0
1.40E+03,0.00692,0.0242,0.0121,7.46E+03,0,0,0
1.53E+03,0.0055,0.0229,0.00937,8.63E+03,0,0,0
1.66E+03,0.00446,0.0228,0.00905,,,,
1.79E+03,0.00435,0.022,0.00864,,,,
1.92E+03,0.00377,0.0211,0.00872,,,,
2.04E+03,0.00295,0.0204,0.00801,,,,
2.30E+03,0.002,0.0198,0.00666,,,,
2.56E+03,0.00147,0.0203,0.00582,,,,
2.81E+03,0.00139,0.0201,0.0056,,,,
3.07E+03,0.0022,0.0189,0.00437,,,,
3.32E+03,0.00123,0.0188,0.00531,,,,
3.58E+03,0.000362,0.0183,0.00432,,,,
3.84E+03,1.10E-05,0.0173,0.00398,,,,
4.09E+03,3.61E-05,0.017,0.00363,,,,
4.60E+03,0.00127,0.0166,0.00409,,,,
5.12E+03,0.00112,0.0148,0.00482,,,,
5.63E+03,0.00176,0.0145,0.00472,,,,
6.14E+03,0.00144,0.0147,0.00483,,,,
6.65E+03,0.000267,0.0145,0.00396,,,,
7.16E+03,0.000861,0.0166,0.00563,,,,
7.68E+03,0.00169,0.0161,0.00301,,,,
8.19E+03,0.00223,0.0163,0.00261,,,,
9.21E+03,0.00248,0.0136,0.00365,,,,
1.02E+04,0.00183,0.0145,0.00401,,,,
1.13E+04,0.000883,0.0146,0.00494,,,,
1.23E+04,0.0015,0.0143,0.00542,,,,
1.33E+04,0.000591,0.0144,0.00595,,,,
1.43E+04,0.000289,0.0142,0.00431,,,,
1.54E+04,0.0014,0.0148,0.00477,,,,
1.64E+04,0.00158,0.0146,0.00443,,,,
1.84E+04,0.00169,0.0151,0.00521,,,,
2.05E+04,0.00297,0.0155,0.00353,,,,
2.25E+04,0.00188,0.0118,0.00399,,,,
2.46E+04,0.00111,0.0132,0.00326,,,,
2.66E+04,0.00117,0.0125,0.00403,,,,
2.87E+04,0.0012,0.0121,0.00397,,,,
3.07E+04,0.000423,0.00921,0.00187,,,,
3.28E+04,0.00109,0.0127,0.00346,,,,
3.69E+04,0.00137,0.0101,0.0038,,,,
4.10E+04,0.00253,0.0113,0.00245,,,,
4.51E+04,0.00237,0.0113,0.00242,,,,
4.91E+04,0.000224,0.0099,0.00296,,,,
5.32E+04,0.000403,0.00908,0.00354,,,,
5.73E+04,0.000481,0.0122,0.00165,,,,
6.14E+04,0.00099,0.0119,0.00218,,,,
6.55E+04,0.000601,0.0118,0.00205,,,,
7.37E+04,0.000456,0.00888,0.00312,,,,
8.19E+04,0.00076,0.0103,0.00214,,,,
9.01E+04,0.000445,0.00935,0.00259,,,,
9.83E+04,0.000889,0.00892,0.00213,,,,
1.06E+05,0.000882,0.00856,0.00235,,,,
1.15E+05,0.000549,0.00804,0.00233,,,,
1.23E+05,5.62E-05,0.00845,0.00204,,,,
1.31E+05,9.02E-05,0.00851,0.00205,,,,
1.47E+05,0.000129,0.00871,0.00199,,,,
1.64E+05,0.000719,0.00707,0.00184,,,,
1.80E+05,0.000468,0.00704,0.00205,,,,
1.97E+05,0.000473,0.00821,0.0015,,,,
2.13E+05,0.000409,0.00757,0.000945,,,,
2.29E+05,0.00047,0.00579,0.00108,,,,
2.46E+05,0.000335,0.00635,0.0017,,,,
2.62E+05,0.000307,0.00737,0.00139,,,,
2.95E+05,0.000475,0.0059,0.00156,,,,
3.28E+05,0.00019,0.00445,0.00167,,,,
3.60E+05,0.000295,0.00408,0.00121,,,,
3.93E+05,0.000625,0.00372,0.00161,,,,
4.26E+05,0.000265,0.00342,0.00112,,,,
4.59E+05,0.000231,0.00465,0.00134,,,,
4.92E+05,0.000137,0.00356,0.00129,,,,
5.24E+05,7.15E-05,0.00307,0.00217,,,,
5.90E+05,0.000649,0.00176,0.002,,,,
6.55E+05,0.000208,0.00071,0.00159,,,,
7.21E+05,0.000304,0.00106,0.00156,,,,
7.86E+05,0.000476,0.00073,0.00221,,,,
8.52E+05,0.000715,0.000729,0.00296,,,,
9.18E+05,0.000339,0.000696,0.00184,,,,
9.83E+05,0.000418,0.000908,0.000374,,,,
1.05E+06,0.000958,0.000897,0.00225,,,,
1.18E+06,0.000647,0.000744,0.00288,,,,
1.31E+06,0.000532,0.00138,0.00311,,,,
1.44E+06,0.000375,0.000798,0.00289,,,,
1.57E+06,0.000741,0.00157,0.00283,,,,
1.70E+06,0.00113,0.00197,0.00325,,,,
1.84E+06,0.000704,0.00146,0.00303,,,,
1.97E+06,0.00113,0.000948,0.00325,,,,
2.10E+06,0.000755,0.000903,0.00117,,,,
2.36E+06,0.000279,0.000697,0.00252,,,,
2.62E+06,0.000364,0.000549,0.0037,,,,
2.88E+06,0.00101,8.70E-06,0.00364,,,,
