X Lag Time,Record 1: BVs_3e10_000rpm_00-00min_NA_No3_230906 1,Record 2: BVs_3e10_000rpm_00-00min_NA_No3_230906 2,Record 3: BVs_3e10_000rpm_00-00min_NA_No3_230906 3,X Intensity,Record 1: BVs_3e10_000rpm_00-00min_NA_No3_230906 1,Record 2: BVs_3e10_000rpm_00-00min_NA_No3_230906 2,Record 3: BVs_3e10_000rpm_00-00min_NA_No3_230906 3
0.5,0.89,0.888,0.874,0.4,0,0,0
1,0.895,0.896,0.881,0.463,0,0,0
1.5,0.893,0.893,0.878,0.536,0,0,0
2,0.891,0.893,0.876,0.621,0,0,0
2.5,0.89,0.889,0.874,0.719,0,0,0
3,0.887,0.887,0.873,0.833,0,0,0
3.5,0.889,0.885,0.873,0.965,0,0,0
4,0.885,0.883,0.871,1.12,0,0,0
4.5,0.883,0.882,0.869,1.29,0,0,0
5.5,0.88,0.879,0.866,1.5,0,0,0
6.5,0.876,0.876,0.862,1.74,0,0,0
7.5,0.873,0.871,0.859,2.01,0,0,0
8.5,0.869,0.867,0.855,2.33,0,0,0
9.5,0.866,0.864,0.851,2.7,0,0,0
10.5,0.863,0.863,0.847,3.12,0,0,0
11.5,0.859,0.859,0.844,3.62,0,0,0
12.5,0.855,0.855,0.841,4.19,0,0,0
14.5,0.849,0.848,0.835,4.85,0,0,0
16.5,0.843,0.841,0.828,5.61,0,0,0
18.5,0.837,0.835,0.822,6.5,0,0,0
20.5,0.83,0.827,0.815,7.53,0,0,0
22.5,0.822,0.821,0.807,8.72,0,0,0
24.5,0.817,0.815,0.802,10.1,0,0,0
26.5,0.81,0.809,0.795,11.7,0,0,0
28.5,0.804,0.802,0.789,13.5,0,0,0
32.5,0.791,0.789,0.777,15.7,0,0,0
36.5,0.779,0.777,0.764,18.2,0,0,0
40.5,0.767,0.766,0.752,21,0,0,0
44.5,0.756,0.754,0.742,24.4,0,0,0
48.5,0.744,0.742,0.73,28.2,0,0,0
52.5,0.733,0.73,0.718,32.7,0,0,0
56.5,0.722,0.719,0.707,37.8,0,0,0
60.5,0.712,0.709,0.696,43.8,0,0,0
68.5,0.69,0.687,0.675,50.7,0,0,0
76.5,0.669,0.666,0.655,58.8,0,0,0
84.5,0.649,0.646,0.635,68.1,0,0.0928,0.238
92.5,0.63,0.627,0.617,78.8,0.408,1.45,1.59
101,0.611,0.608,0.598,91.3,2.87,4.06,4.03
109,0.594,0.59,0.58,106,6.91,7.31,7.07
117,0.576,0.573,0.563,122,11.2,10.4,10
125,0.559,0.556,0.546,142,14.5,12.7,12.3
141,0.527,0.524,0.515,164,15.9,13.7,13.4
157,0.496,0.493,0.485,190,15.2,13.4,13.3
173,0.468,0.465,0.457,220,12.7,11.8,12
189,0.441,0.439,0.431,255,9.11,9.4,9.76
205,0.416,0.414,0.406,295,5.39,6.62,7.09
221,0.393,0.39,0.383,342,2.37,3.96,4.44
237,0.372,0.369,0.362,396,0.568,1.85,2.24
253,0.352,0.349,0.342,459,0,0.527,0.758
285,0.314,0.311,0.305,531,0,0,0.0801
317,0.281,0.279,0.273,615,0,0,0
349,0.251,0.25,0.245,712,0,0,0
381,0.225,0.224,0.22,825,0,0,0
413,0.202,0.201,0.198,955,0,0,0
445,0.182,0.181,0.178,1.11E+03,0,0,0
477,0.164,0.163,0.161,1.28E+03,0,0,0
509,0.149,0.147,0.145,1.48E+03,0,0,0
573,0.122,0.121,0.118,1.72E+03,0,0,0
637,0.101,0.1,0.0973,1.99E+03,0,0,0
701,0.0836,0.0832,0.0801,2.30E+03,0,0,0
765,0.0697,0.07,0.0665,2.67E+03,0,0,0
829,0.0587,0.0593,0.0552,3.09E+03,0,0.0757,0
893,0.0497,0.0503,0.0463,3.58E+03,0.151,0.26,0.0804
957,0.0427,0.043,0.0389,4.15E+03,0.478,0.523,0.277
1.02E+03,0.0371,0.0375,0.0335,4.80E+03,0.898,0.798,0.546
1.15E+03,0.0291,0.0279,0.0249,5.56E+03,1.28,1.01,0.803
1.28E+03,0.0243,0.0213,0.02,6.44E+03,0,0,0
1.40E+03,0.0208,0.017,0.0173,7.46E+03,0,0,0
1.53E+03,0.0173,0.0138,0.0137,8.63E+03,0,0,0
1.66E+03,0.0146,0.0113,0.012,,,,
1.79E+03,0.0126,0.00935,0.0111,,,,
1.92E+03,0.0102,0.00647,0.00902,,,,
2.04E+03,0.00833,0.00376,0.00788,,,,
2.30E+03,0.00618,0.00237,0.00546,,,,
2.56E+03,0.00431,0.00313,0.00365,,,,
2.81E+03,0.00253,0.00327,0.00349,,,,
3.07E+03,0.00107,0.00532,0.00258,,,,
3.32E+03,0.000686,0.0065,0.00168,,,,
3.58E+03,0.000166,0.00533,0.00159,,,,
3.84E+03,0.00154,0.00314,0.00181,,,,
4.09E+03,0.00137,0.00198,0.00217,,,,
4.60E+03,0.00137,0.000305,0.00176,,,,
5.12E+03,0,0.000967,0.00263,,,,
5.63E+03,0,0.00233,0.00228,,,,
6.14E+03,0.0016,0.000781,0.001,,,,
6.65E+03,0.00231,0.0015,0.000472,,,,
7.16E+03,0.0015,0.0026,0.0011,,,,
7.68E+03,0.000773,0.0019,0.00131,,,,
8.19E+03,0.00136,0.00146,0.0012,,,,
9.21E+03,0.00291,0.00302,0.00196,,,,
1.02E+04,0.00219,0.00197,0.00216,,,,
1.13E+04,0.000822,0.0014,0.00334,,,,
1.23E+04,0.00188,0.00308,0.00355,,,,
1.33E+04,0.00174,0.00145,0.00228,,,,
1.43E+04,0.00231,0.0012,0.0022,,,,
1.54E+04,0.00329,0.00197,0.00313,,,,
1.64E+04,0.00145,0.00289,0.00227,,,,
1.84E+04,0.000774,0.00207,0.00209,,,,
2.05E+04,0.000478,0.000558,0.000894,,,,
2.25E+04,0,0.00211,0.000787,,,,
2.46E+04,0.00056,0.000449,0.000286,,,,
2.66E+04,0.00296,0.00109,0.00185,,,,
2.87E+04,0.00212,0.00208,0.00158,,,,
3.07E+04,8.20E-05,0.00233,0.00243,,,,
3.28E+04,0.00177,0.00183,0.0012,,,,
3.69E+04,0.000703,0.00234,0.00172,,,,
4.10E+04,0.00157,0.00115,0.00111,,,,
4.51E+04,0.0014,0.00161,0.00116,,,,
4.91E+04,0.00169,0.000535,0.000468,,,,
5.32E+04,0.000794,0.000947,0.000696,,,,
5.73E+04,0.00242,0.00222,0.00126,,,,
6.14E+04,0.000611,0.00199,9.99E-05,,,,
6.55E+04,0.000478,0.00123,0.000113,,,,
7.37E+04,0.00051,0.00127,0.000709,,,,
8.19E+04,0.00085,0.00096,0.00171,,,,
9.01E+04,0.000865,0.00137,0.00111,,,,
9.83E+04,0.00121,0.00102,0.000465,,,,
1.06E+05,0.000554,0.00119,0.000333,,,,
1.15E+05,0.00105,0.000422,0.00154,,,,
1.23E+05,0.000702,0.00146,0.0011,,,,
1.31E+05,0.00112,0.00071,0.000917,,,,
1.47E+05,0.000385,0.000656,0.000425,,,,
1.64E+05,0.00028,0.000642,0.000784,,,,
1.80E+05,0.000407,0.00132,0.000228,,,,
1.97E+05,0.000457,0.000832,0.00063,,,,
2.13E+05,0.000827,0.000156,0.00093,,,,
2.29E+05,0.00133,0.000706,0.000281,,,,
2.46E+05,0.000172,0.00047,0.000466,,,,
2.62E+05,0.00049,0.000605,0.000227,,,,
2.95E+05,0.000463,0.000288,0.000391,,,,
3.28E+05,0.000915,0.00109,0.000294,,,,
3.60E+05,0.000871,0.000771,0.000387,,,,
3.93E+05,0.00044,0.000759,0.000293,,,,
4.26E+05,0.000695,0.00052,0.000692,,,,
4.59E+05,0.00148,0.000489,0.00038,,,,
4.92E+05,0.000425,0.000577,0.000158,,,,
5.24E+05,0.000323,0.000797,0.000305,,,,
5.90E+05,0.000596,0.000754,0.000237,,,,
6.55E+05,0.000269,0.00057,0.0013,,,,
7.21E+05,0.00036,0.000757,0.000288,,,,
7.86E+05,0.000318,0.000808,0.000561,,,,
8.52E+05,0.000613,0.00139,0.000948,,,,
9.18E+05,0.000458,0.0013,0.000688,,,,
9.83E+05,0.000828,0.000799,0.000395,,,,
1.05E+06,0.000898,0.000583,0.000531,,,,
1.18E+06,0.00152,0.00119,0.000831,,,,
1.31E+06,0.00171,0.000513,0.000841,,,,
1.44E+06,0.00187,0.000343,0.00065,,,,
1.57E+06,0.00218,0.000926,0.00134,,,,
1.70E+06,0.00194,0.000669,0.000557,,,,
1.84E+06,0.00209,0.000766,0.000719,,,,
1.97E+06,0.00229,0.000565,0.000393,,,,
2.10E+06,0.00194,0.000238,0.00221,,,,
2.36E+06,0.00343,0.00062,0.00123,,,,
2.62E+06,0.00263,0.000584,0.00248,,,,
2.88E+06,0.00285,0.000968,0.00104,,,,
3.15E+06,0.0028,0.000337,0.0018,,,,
3.41E+06,0.00345,0.00145,0.0014,,,,
3.67E+06,0.00365,0.00106,0.00194,,,,
3.93E+06,0.0051,0.000576,0.00139,,,,
4.19E+06,0,0,0,,,,
4.72E+06,0,0,0,,,,
5.24E+06,0,0,0,,,,
5.77E+06,0,0,0,,,,
6.29E+06,0,0,0,,,,
6.82E+06,0,0,0,,,,
7.34E+06,0,0,0,,,,
7.86E+06,0,0,0,,,,
8.39E+06,0,0,0,,,,
9.44E+06,0,0,0,,,,
1.05E+07,0,0,0,,,,
1.15E+07,0,0,0,,,,
1.26E+07,0,0,0,,,,
1.36E+07,0,0,0,,,,
1.47E+07,0,0,0,,,,
1.57E+07,0,0,0,,,,
1.68E+07,0,0,0,,,,
1.89E+07,0,0,0,,,,
2.10E+07,0,0,0,,,,
2.31E+07,0,0,0,,,,
2.52E+07,0,0,0,,,,
2.73E+07,0,0,0,,,,
2.94E+07,0,0,0,,,,
3.15E+07,0,0,0,,,,
3.36E+07,0,0,0,,,,
3.77E+07,0,0,0,,,,
4.19E+07,0,0,0,,,,
4.61E+07,0,0,0,,,,
5.03E+07,0,0,0,,,,
5.45E+07,0,0,0,,,,
5.87E+07,0,0,0,,,,
