X Lag Time,Record 1: EVs_3e10_PS2_050ug_000rpm_00-00min_NA_No1_230921 1,Record 2: EVs_3e10_PS2_050ug_000rpm_00-00min_NA_No1_230921 2,Record 3: EVs_3e10_PS2_050ug_000rpm_00-00min_NA_No1_230921 3,X Intensity,Record 1: EVs_3e10_PS2_050ug_000rpm_00-00min_NA_No1_230921 1,Record 2: EVs_3e10_PS2_050ug_000rpm_00-00min_NA_No1_230921 2,Record 3: EVs_3e10_PS2_050ug_000rpm_00-00min_NA_No1_230921 3
0.5,0.865,0.861,0.867,0.4,0,0,0
1,0.87,0.868,0.872,0.463,0,0,0
1.5,0.866,0.864,0.872,0.536,0,0,0
2,0.864,0.861,0.867,0.621,0,0,0
2.5,0.865,0.858,0.866,0.719,0,0,0
3,0.861,0.857,0.864,0.833,0,0,0
3.5,0.859,0.856,0.864,0.965,0,0,0
4,0.856,0.855,0.861,1.12,0,0,0
4.5,0.853,0.851,0.858,1.29,0,0,0
5.5,0.851,0.846,0.853,1.5,0,0,0
6.5,0.846,0.844,0.85,1.74,0,0,0
7.5,0.842,0.838,0.846,2.01,0,0,0
8.5,0.838,0.836,0.842,2.33,0,0,0
9.5,0.833,0.831,0.836,2.7,0,0,0
10.5,0.831,0.827,0.835,3.12,0,0,0
11.5,0.827,0.823,0.83,3.62,0,0,0
12.5,0.823,0.82,0.826,4.19,0,0,0
14.5,0.815,0.811,0.817,4.85,0,0,0
16.5,0.807,0.803,0.81,5.61,0,0,0
18.5,0.799,0.795,0.802,6.5,0,0,0
20.5,0.792,0.787,0.795,7.53,0,0,0
22.5,0.785,0.781,0.787,8.72,0,0,0
24.5,0.777,0.774,0.78,10.1,0,0,0
26.5,0.77,0.767,0.774,11.7,0,0,0
28.5,0.763,0.759,0.766,13.5,0,0,0
32.5,0.75,0.745,0.753,15.7,0,0,0
36.5,0.736,0.732,0.739,18.2,0,0,0
40.5,0.723,0.718,0.726,21,0,0,0.104
44.5,0.71,0.706,0.712,24.4,0,0,0.54
48.5,0.698,0.693,0.699,28.2,0,0,1.01
52.5,0.685,0.681,0.688,32.7,0.0634,0,1.23
56.5,0.673,0.668,0.676,37.8,0.31,0,1.11
60.5,0.662,0.657,0.663,43.8,0.768,0,0.789
68.5,0.64,0.635,0.641,50.7,1.41,0.475,0.549
76.5,0.618,0.613,0.619,58.8,2.19,1.56,0.664
84.5,0.598,0.592,0.598,68.1,3.05,3.11,1.32
92.5,0.579,0.573,0.579,78.8,3.98,4.86,2.55
101,0.559,0.554,0.56,91.3,4.92,6.53,4.24
109,0.542,0.535,0.542,106,5.86,7.88,6.16
117,0.525,0.519,0.524,122,6.75,8.77,8.02
125,0.508,0.502,0.508,142,7.54,9.17,9.54
141,0.477,0.471,0.476,164,8.16,9.08,10.5
157,0.448,0.441,0.447,190,8.53,8.6,10.7
173,0.421,0.414,0.42,220,8.59,7.82,10.2
189,0.397,0.389,0.395,255,8.31,6.85,9.1
205,0.374,0.366,0.372,295,7.66,5.8,7.47
221,0.353,0.343,0.351,342,6.7,4.75,5.61
237,0.333,0.323,0.331,396,5.5,3.77,3.75
253,0.314,0.305,0.313,459,4.17,2.9,2.14
285,0.28,0.271,0.28,531,2.85,2.15,0.945
317,0.251,0.242,0.25,615,1.68,1.55,0.249
349,0.226,0.217,0.224,712,0.78,1.08,0
381,0.203,0.195,0.201,825,0.222,0.733,0
413,0.183,0.175,0.181,955,0,0.488,0
445,0.165,0.157,0.163,1.11E+03,0,0.326,0
477,0.149,0.142,0.147,1.28E+03,0,0.229,0
