X Lag Time,Record 1: EVs_3e10_PS2_500ug_000rpm_00-00min_NA_No4_230918 1,Record 2: EVs_3e10_PS2_500ug_000rpm_00-00min_NA_No4_230918 2,Record 3: EVs_3e10_PS2_500ug_000rpm_00-00min_NA_No4_230918 3,X Intensity,Record 1: EVs_3e10_PS2_500ug_000rpm_00-00min_NA_No4_230918 1,Record 2: EVs_3e10_PS2_500ug_000rpm_00-00min_NA_No4_230918 2,Record 3: EVs_3e10_PS2_500ug_000rpm_00-00min_NA_No4_230918 3
0.5,0.865,0.861,0.86,0.4,0,0,0
1,0.873,0.864,0.863,0.463,0,0,0
1.5,0.868,0.861,0.861,0.536,0,0,0
2,0.865,0.858,0.859,0.621,0,0,0
2.5,0.863,0.854,0.856,0.719,0,0,0
3,0.86,0.852,0.85,0.833,0,0,0
3.5,0.857,0.85,0.85,0.965,0,0,0
4,0.855,0.849,0.849,1.12,0,0,0
4.5,0.851,0.844,0.845,1.29,0,0,0
5.5,0.842,0.838,0.837,1.5,0,0,0
6.5,0.838,0.834,0.831,1.74,0,0,0
7.5,0.834,0.827,0.826,2.01,0,0,0
8.5,0.826,0.821,0.819,2.33,0,0,0
9.5,0.821,0.816,0.814,2.7,0,0,0
10.5,0.815,0.811,0.809,3.12,0,0,0
11.5,0.811,0.806,0.803,3.62,0,0,0
12.5,0.805,0.8,0.798,4.19,0,0,0
14.5,0.795,0.789,0.788,4.85,0,0,0
16.5,0.785,0.78,0.777,5.61,0,0,0
18.5,0.775,0.769,0.768,6.5,0,0,0
20.5,0.766,0.76,0.76,7.53,0,0,0
22.5,0.756,0.751,0.75,8.72,0,0,0
24.5,0.747,0.741,0.741,10.1,0,0,0
26.5,0.739,0.734,0.732,11.7,0,0,0
28.5,0.73,0.724,0.723,13.5,0,0,0.0266
32.5,0.713,0.709,0.707,15.7,0,0,0.232
36.5,0.697,0.691,0.691,18.2,0,0,0.557
40.5,0.681,0.675,0.676,21,0,0,0.857
44.5,0.667,0.661,0.661,24.4,0,0,0.991
48.5,0.653,0.648,0.647,28.2,0,0,0.903
52.5,0.639,0.634,0.633,32.7,0,0,0.643
56.5,0.625,0.62,0.621,37.8,0.188,0,0.36
60.5,0.613,0.608,0.608,43.8,0.735,0,0.251
68.5,0.589,0.584,0.583,50.7,1.65,0.473,0.502
76.5,0.565,0.561,0.56,58.8,2.86,1.81,1.24
84.5,0.543,0.538,0.539,68.1,4.23,3.86,2.47
92.5,0.523,0.518,0.518,78.8,5.66,6.2,4.13
101,0.503,0.498,0.498,91.3,7,8.4,6.02
109,0.484,0.479,0.479,106,8.15,10.1,7.9
117,0.466,0.462,0.462,122,8.99,11.1,9.5
125,0.449,0.444,0.445,142,9.47,11.3,10.6
141,0.416,0.412,0.414,164,9.53,10.7,11
157,0.387,0.382,0.384,190,9.15,9.56,10.6
173,0.36,0.355,0.358,220,8.37,8.02,9.6
189,0.335,0.331,0.333,255,7.27,6.29,7.99
205,0.312,0.308,0.311,295,5.93,4.57,6.05
221,0.291,0.287,0.29,342,4.5,3.01,4.06
237,0.272,0.267,0.271,396,3.11,1.75,2.3
253,0.254,0.249,0.254,459,1.89,0.84,0.984
285,0.222,0.218,0.223,531,0.945,0.288,0.236
317,0.195,0.19,0.196,615,0.336,0.0436,0
349,0.171,0.167,0.172,712,0.0508,0,0
381,0.151,0.147,0.151,825,0,0,0
413,0.133,0.129,0.133,955,0,0,0
445,0.118,0.114,0.118,1.11E+03,0,0,0
477,0.104,0.101,0.104,1.28E+03,0,0,0
509,0.0935,0.0901,0.0927,1.48E+03,0,0,0
573,0.0751,0.0716,0.0736,1.72E+03,0,0,0
637,0.0602,0.0571,0.0584,1.99E+03,0,0.0127,0
701,0.0476,0.046,0.0466,2.30E+03,0,0.0495,0
765,0.0383,0.037,0.0374,2.67E+03,0,0.11,0
829,0.0312,0.0304,0.03,3.09E+03,0,0.188,0
893,0.0251,0.0249,0.0238,3.58E+03,0,0.27,0
957,0.0202,0.02,0.0192,4.15E+03,0,0.341,0
1.02E+03,0.0159,0.0161,0.0156,4.80E+03,0,0.388,0
1.15E+03,0.0105,0.0101,0.0106,5.56E+03,0,0.399,0
1.28E+03,0.00782,0.00686,0.00755,6.44E+03,0,0,0
1.40E+03,0.00609,0.00502,0.00604,7.46E+03,0,0,0
1.53E+03,0.00479,0.00529,0.00404,8.63E+03,0,0,0
1.66E+03,0.00429,0.00416,0.0034,,,,
1.79E+03,0.0043,0.0035,0.00207,,,,
1.92E+03,0.00432,0.00335,0.00129,,,,
2.04E+03,0.00317,0.00241,0.000792,,,,
2.30E+03,0.00195,0.00165,0.000711,,,,
2.56E+03,0.00215,0.00158,0.0014,,,,
2.81E+03,0.00333,0.000357,0.00149,,,,
3.07E+03,0.0043,0.00127,0.00205,,,,
3.32E+03,0.00328,0.00101,0.00278,,,,
3.58E+03,0.00365,0.00174,0.0033,,,,
3.84E+03,0.00418,0.00186,0.00167,,,,
4.09E+03,0.00524,0.00139,0.00121,,,,
4.60E+03,0.00264,0.00295,0.00148,,,,
5.12E+03,0.00156,0.00378,0.00181,,,,
5.63E+03,0.000827,0.00395,0.00152,,,,
6.14E+03,0.000944,0.00342,0.0011,,,,
6.65E+03,0.00212,0.00202,0.00131,,,,
7.16E+03,0.00124,0.00132,0.00159,,,,
7.68E+03,0.0016,0.000998,0.00226,,,,
8.19E+03,0.000785,0.00199,0.00205,,,,
9.21E+03,0.00131,0.00128,0.00297,,,,
1.02E+04,0.0016,0.00123,0.00234,,,,
1.13E+04,0.00212,0.00192,0.00123,,,,
1.23E+04,0.0021,0.00171,0.00158,,,,
1.33E+04,0.00267,0.00131,0.000881,,,,
1.43E+04,0.00276,0.0023,0.000667,,,,
1.54E+04,0.00284,0.000376,0.000816,,,,
1.64E+04,0.00276,0.00088,0.000676,,,,
1.84E+04,0.00243,0.00076,0.00125,,,,
2.05E+04,0.000547,0.00164,0.00132,,,,
2.25E+04,0.00101,0.000659,0.00065,,,,
2.46E+04,0.00134,0.00148,0.00267,,,,
2.66E+04,0.00237,0.000726,0.000805,,,,
2.87E+04,0.00176,0.000895,0.000664,,,,
3.07E+04,0.00109,0.000635,0.00178,,,,
3.28E+04,0.00118,0.00154,0.000565,,,,
3.69E+04,0.000687,0.000199,0.00108,,,,
4.10E+04,0.0026,0.000416,0.000531,,,,
4.51E+04,0.00231,0.000795,0.00112,,,,
4.91E+04,0.000926,0.000485,0.000679,,,,
5.32E+04,0.0015,0.000101,0.00125,,,,
5.73E+04,0.00156,0.000483,0.000506,,,,
6.14E+04,0.00178,0.000694,0.00061,,,,
6.55E+04,0.000554,0.000344,0.000418,,,,
7.37E+04,0.00181,0.000573,0.000673,,,,
8.19E+04,0.00136,0.00106,0.000962,,,,
9.01E+04,0.00144,0.000806,0.000495,,,,
9.83E+04,0.000949,0.000682,0.00113,,,,
1.06E+05,0.00119,0.000828,0.000364,,,,
1.15E+05,0.000958,0.000472,0.00134,,,,
1.23E+05,0.00105,0.000702,0.000444,,,,
1.31E+05,0.00143,0.000196,0.000359,,,,
1.47E+05,0.00116,0.000153,0.000347,,,,
1.64E+05,0.00142,0.000348,0.000297,,,,
1.80E+05,0.00125,0.000491,0.00025,,,,
1.97E+05,0.000835,0.000494,0.000619,,,,
2.13E+05,0.000622,0.000489,0.000407,,,,
2.29E+05,0.000931,0.000427,0.000152,,,,
2.46E+05,0.000477,0.000452,0.00075,,,,
2.62E+05,0.000265,0.00105,0.000498,,,,
2.95E+05,0.000919,0.000386,0.000343,,,,
3.28E+05,0.000829,0.00032,0.000825,,,,
3.60E+05,0.0011,0.000583,0.000758,,,,
3.93E+05,0.000903,0.000618,0.000646,,,,
4.26E+05,0.000974,0.000543,0.000266,,,,
4.59E+05,0.00089,0.000656,0.000791,,,,
4.92E+05,0.000969,0.000334,0.000309,,,,
5.24E+05,0.00133,0.000178,0.000779,,,,
5.90E+05,0.00118,0.000468,0.000367,,,,
6.55E+05,0.00114,0.000207,0.000445,,,,
7.21E+05,0.000416,0.000464,0.000109,,,,
7.86E+05,0.00112,0.000575,5.75E-05,,,,
8.52E+05,0.00102,0.000627,0.000394,,,,
9.18E+05,0.000956,0.000412,2.00E-05,,,,
9.83E+05,0.00131,5.07E-05,8.31E-05,,,,
1.05E+06,0.000767,0.000881,0.000737,,,,
1.18E+06,0.000872,0.000278,0.000386,,,,
1.31E+06,0.00116,0.000331,0.000551,,,,
1.44E+06,0.00132,0.000117,0.00108,,,,
1.57E+06,0.00168,0.00104,0.000564,,,,
1.70E+06,0.00107,0.000518,0.000638,,,,
1.84E+06,0.000959,0.000778,0.000665,,,,
1.97E+06,0.0013,0.000677,0.000636,,,,
2.10E+06,0.000535,0.000179,0.000655,,,,
2.36E+06,0.00211,0.000204,0.000493,,,,
2.62E+06,0.00193,0.000535,0.000989,,,,
2.88E+06,0.000453,0.000276,0.00017,,,,
3.15E+06,0.00223,0.000135,0.000324,,,,
3.41E+06,0.000528,0.000349,0.000503,,,,
3.67E+06,0.00167,0.000171,0.000675,,,,
3.93E+06,0.00137,0.000254,0.000771,,,,
4.19E+06,0,0,0,,,,
4.72E+06,0,0,0,,,,
5.24E+06,0,0,0,,,,
5.77E+06,0,0,0,,,,
6.29E+06,0,0,0,,,,
6.82E+06,0,0,0,,,,
7.34E+06,0,0,0,,,,
7.86E+06,0,0,0,,,,
8.39E+06,0,0,0,,,,
9.44E+06,0,0,0,,,,
1.05E+07,0,0,0,,,,
1.15E+07,0,0,0,,,,
1.26E+07,0,0,0,,,,
1.36E+07,0,0,0,,,,
1.47E+07,0,0,0,,,,
1.57E+07,0,0,0,,,,
1.68E+07,0,0,0,,,,
1.89E+07,0,0,0,,,,
2.10E+07,0,0,0,,,,
2.31E+07,0,0,0,,,,
2.52E+07,0,0,0,,,,
2.73E+07,0,0,0,,,,
2.94E+07,0,0,0,,,,
3.15E+07,0,0,0,,,,
3.36E+07,0,0,0,,,,
3.77E+07,0,0,0,,,,
4.19E+07,0,0,0,,,,
4.61E+07,0,0,0,,,,
5.03E+07,0,0,0,,,,
5.45E+07,0,0,0,,,,
5.87E+07,0,0,0,,,,
