X Lag Time,Record 1: PBS_00mg_PS2_500ug_300rpm_20-00min_ST_No1_230920 1,Record 2: PBS_00mg_PS2_500ug_300rpm_20-00min_ST_No1_230920 2,Record 3: PBS_00mg_PS2_500ug_300rpm_20-00min_ST_No1_230920 3,X Intensity,Record 1: PBS_00mg_PS2_500ug_300rpm_20-00min_ST_No1_230920 1,Record 2: PBS_00mg_PS2_500ug_300rpm_20-00min_ST_No1_230920 2,Record 3: PBS_00mg_PS2_500ug_300rpm_20-00min_ST_No1_230920 3
0.5,0.935,0.928,0.927,0.4,0,0,0
1,0.94,0.933,0.935,0.463,0,0,0
1.5,0.936,0.933,0.933,0.536,0,0,0
2,0.935,0.93,0.932,0.621,0,0,0
2.5,0.931,0.925,0.927,0.719,0,0,0
3,0.929,0.927,0.925,0.833,0,0,0
3.5,0.929,0.921,0.923,0.965,0,0,0
4,0.925,0.918,0.923,1.12,0,0,0
4.5,0.923,0.916,0.918,1.29,0,0,0
5.5,0.917,0.912,0.913,1.5,0,0,0
6.5,0.912,0.906,0.908,1.74,0,0,0
7.5,0.908,0.902,0.905,2.01,0,0,0
8.5,0.901,0.897,0.899,2.33,0,0,0
9.5,0.899,0.892,0.893,2.7,0,0,0
10.5,0.895,0.888,0.891,3.12,0,0,0
11.5,0.891,0.882,0.885,3.62,0,0,0
12.5,0.884,0.878,0.88,4.19,0,0,0
14.5,0.874,0.869,0.871,4.85,0,0,0
16.5,0.865,0.86,0.862,5.61,0,0,0
18.5,0.856,0.851,0.851,6.5,0,0,0
20.5,0.846,0.841,0.844,7.53,0,0,0
22.5,0.838,0.832,0.834,8.72,0,0,0
24.5,0.829,0.823,0.829,10.1,0,0,0
26.5,0.821,0.815,0.819,11.7,0,0,0
28.5,0.812,0.807,0.809,13.5,0,0,0
32.5,0.794,0.79,0.792,15.7,0,0,0
36.5,0.778,0.773,0.777,18.2,0,0,0
40.5,0.763,0.758,0.762,21,0,0,0
44.5,0.747,0.742,0.744,24.4,0,0.112,0
48.5,0.732,0.726,0.73,28.2,0,0.473,0
52.5,0.717,0.713,0.714,32.7,0,0.749,0
56.5,0.702,0.696,0.701,37.8,0.258,0.781,0.0139
60.5,0.688,0.682,0.686,43.8,1.13,0.707,0.289
68.5,0.661,0.655,0.659,50.7,2.37,0.842,0.988
76.5,0.635,0.629,0.633,58.8,3.65,1.49,2.17
84.5,0.611,0.605,0.608,68.1,4.82,2.81,3.8
92.5,0.587,0.581,0.584,78.8,5.86,4.73,5.72
101,0.563,0.558,0.562,91.3,6.8,7.01,7.71
109,0.541,0.537,0.541,106,7.69,9.26,9.5
117,0.521,0.516,0.519,122,8.5,11.1,10.8
125,0.501,0.497,0.5,142,9.14,12.1,11.5
141,0.464,0.46,0.463,164,9.47,12.1,11.4
157,0.43,0.426,0.429,190,9.37,11.2,10.6
173,0.399,0.394,0.398,220,8.74,9.38,9.02
189,0.37,0.366,0.368,255,7.61,7.06,7.03
205,0.344,0.34,0.342,295,6.07,4.61,4.87
221,0.32,0.315,0.318,342,4.32,2.46,2.87
237,0.298,0.293,0.295,396,2.62,0.92,1.3
253,0.278,0.273,0.275,459,1.23,0.143,0.345
285,0.242,0.236,0.238,531,0.34,0,0
317,0.212,0.206,0.207,615,0,0,0
349,0.186,0.179,0.181,712,0,0,0
381,0.164,0.156,0.158,825,0,0,0
413,0.144,0.136,0.137,955,0,0,0
445,0.127,0.119,0.12,1.11E+03,0,0,0
477,0.112,0.104,0.105,1.28E+03,0,0,0
509,0.0994,0.0909,0.0923,1.48E+03,0,0,0
573,0.0771,0.0701,0.0711,1.72E+03,0,0,0
637,0.0601,0.0549,0.0557,1.99E+03,0,0,0
701,0.0475,0.0427,0.0441,2.30E+03,0,0,0
765,0.0372,0.0339,0.0347,2.67E+03,0,0,0
829,0.0293,0.0266,0.027,3.09E+03,0,0,0
893,0.0226,0.0216,0.0206,3.58E+03,0,0,0
957,0.0179,0.0176,0.0155,4.15E+03,0,0,0
1.02E+03,0.0151,0.0149,0.0128,4.80E+03,0,0,0
1.15E+03,0.0101,0.0114,0.00899,5.56E+03,0,0,0
1.28E+03,0.00807,0.00885,0.00613,6.44E+03,0,0,0
1.40E+03,0.00744,0.00653,0.00511,7.46E+03,0,0,0
1.53E+03,0.00615,0.00485,0.00453,8.63E+03,0,0,0
1.66E+03,0.00463,0.00473,0.00329,,,,
1.79E+03,0.00353,0.00451,0.00202,,,,
1.92E+03,0.00269,0.00391,0.00215,,,,
2.04E+03,0.00256,0.00366,0.00238,,,,
2.30E+03,0.00174,0.00376,0.00183,,,,
2.56E+03,0.00163,0.00349,0.00222,,,,
2.81E+03,0.00159,0.00366,0.00198,,,,
3.07E+03,0.0011,0.00315,0.0028,,,,
3.32E+03,0.00111,0.00277,0.00243,,,,
3.58E+03,0.0014,0.00174,0.00183,,,,
3.84E+03,0.00145,0.00284,0.00232,,,,
4.09E+03,0.000481,0.0022,0.00216,,,,
4.60E+03,5.07E-06,0.00167,0.00229,,,,
5.12E+03,0.000125,0.00146,0.00127,,,,
5.63E+03,0.000867,0.00215,0.00231,,,,
6.14E+03,0.000497,0.00152,0.00309,,,,
6.65E+03,0.00107,0.000366,0.00327,,,,
7.16E+03,0.00142,0.00303,0.00218,,,,
7.68E+03,0.000923,0.00273,0.00174,,,,
8.19E+03,0.000242,0.00149,0.000443,,,,
9.21E+03,0.0019,0.000691,0.000749,,,,
1.02E+04,0.00238,0.000894,0.00133,,,,
1.13E+04,0.00203,0.00107,0.00162,,,,
1.23E+04,0.00153,0.0023,0.000553,,,,
1.33E+04,0.000499,0.00221,0.000434,,,,
1.43E+04,0.000388,0.00158,0.002,,,,
1.54E+04,0.00133,0.000365,0.00125,,,,
1.64E+04,0.00107,0.000833,0.000833,,,,
1.84E+04,0.00119,0.000403,0.000693,,,,
2.05E+04,0.00289,0.00169,0.00132,,,,
2.25E+04,0.00138,0.000833,0.00144,,,,
2.46E+04,0.000311,0.00162,0.000777,,,,
2.66E+04,7.82E-05,0.000971,0.00178,,,,
2.87E+04,0.000455,0.00115,0.00116,,,,
3.07E+04,0.00119,0.00193,0.00159,,,,
3.28E+04,0.000685,0.000291,0.00166,,,,
3.69E+04,0.000865,0.000883,0.00149,,,,
4.10E+04,0.00068,0.000667,0.00163,,,,
4.51E+04,0.000798,0.00122,0.0019,,,,
4.91E+04,0.00075,0.0015,0.000897,,,,
5.32E+04,0.00108,0.00134,0.00134,,,,
5.73E+04,0.000873,0.00151,0.00218,,,,
6.14E+04,0.000789,0.00173,0.000918,,,,
6.55E+04,0.0005,0.000552,0.00119,,,,
7.37E+04,0.000835,0.000337,0.00136,,,,
8.19E+04,0.0011,0.000376,0.00106,,,,
9.01E+04,0.000682,0.000517,0.000811,,,,
9.83E+04,0.00049,0.000935,0.00116,,,,
1.06E+05,0.000688,0.0014,0.00104,,,,
1.15E+05,0.00081,0.000393,0.000934,,,,
1.23E+05,0.000755,0.000393,0.000864,,,,
1.31E+05,0.00106,0.000625,0.000688,,,,
1.47E+05,0.000781,0.000464,0.000621,,,,
1.64E+05,0.00102,0.000535,0.00112,,,,
1.80E+05,0.000561,0.000685,0.000483,,,,
1.97E+05,0.00093,0.00125,0.000728,,,,
2.13E+05,0.000802,0.000226,0.000381,,,,
2.29E+05,0.000553,0.000755,0.00107,,,,
2.46E+05,0.000844,0.000594,0.000989,,,,
2.62E+05,0.00047,0.00031,0.000785,,,,
2.95E+05,0.000514,0.000121,0.000597,,,,
3.28E+05,0.000322,0.000463,0.000394,,,,
3.60E+05,0.0004,0.000455,0.0005,,,,
3.93E+05,0.000625,0.000552,0.000443,,,,
4.26E+05,0.000113,0.000382,0.000356,,,,
4.59E+05,0.000531,0.000626,0.000493,,,,
4.92E+05,0.000661,0.000164,0.00083,,,,
5.24E+05,0.000406,0.000513,0.000488,,,,
5.90E+05,0.000378,0.000479,0.000194,,,,
6.55E+05,0.000758,0.000478,0.00061,,,,
7.21E+05,0.000505,0.000702,0.000357,,,,
7.86E+05,0.000907,0.000702,0.000404,,,,
8.52E+05,0.000578,0.000347,0.000423,,,,
9.18E+05,0.000931,0.000513,0.000421,,,,
9.83E+05,0.000632,0.000571,0.000384,,,,
1.05E+06,0.000799,0.000493,0.000286,,,,
1.18E+06,0.000243,0.000486,0.000387,,,,
1.31E+06,0.000666,0.000731,0.000268,,,,
1.44E+06,0.000645,0.000996,0.000475,,,,
1.57E+06,0.000242,0.000423,0.00109,,,,
1.70E+06,0.000437,0.000716,0.000415,,,,
1.84E+06,0.000239,0.000803,0.000868,,,,
1.97E+06,0.000462,0.00118,0.000536,,,,
2.10E+06,0.000848,0.000261,0.000881,,,,
2.36E+06,0.00126,0.000549,0.000404,,,,
2.62E+06,0.0006,0.000407,0.000588,,,,
2.88E+06,0.00104,0.000101,0.000187,,,,
3.15E+06,0.00163,0,0.000328,,,,
3.41E+06,0.000878,0.000325,0.00107,,,,
3.67E+06,0.000807,0.000297,0.000738,,,,
3.93E+06,0.000612,0.000129,0.000616,,,,
4.19E+06,0,0,0,,,,
4.72E+06,0,0,0,,,,
5.24E+06,0,0,0,,,,
5.77E+06,0,0,0,,,,
6.29E+06,0,0,0,,,,
6.82E+06,0,0,0,,,,
7.34E+06,0,0,0,,,,
7.86E+06,0,0,0,,,,
8.39E+06,0,0,0,,,,
9.44E+06,0,0,0,,,,
1.05E+07,0,0,0,,,,
1.15E+07,0,0,0,,,,
1.26E+07,0,0,0,,,,
1.36E+07,0,0,0,,,,
1.47E+07,0,0,0,,,,
1.57E+07,0,0,0,,,,
1.68E+07,0,0,0,,,,
1.89E+07,0,0,0,,,,
2.10E+07,0,0,0,,,,
2.31E+07,0,0,0,,,,
2.52E+07,0,0,0,,,,
2.73E+07,0,0,0,,,,
2.94E+07,0,0,0,,,,
3.15E+07,0,0,0,,,,
3.36E+07,0,0,0,,,,
3.77E+07,0,0,0,,,,
4.19E+07,0,0,0,,,,
4.61E+07,0,0,0,,,,
5.03E+07,0,0,0,,,,
5.45E+07,0,0,0,,,,
5.87E+07,0,0,0,,,,
