X Lag Time,Record 1: PBS_00mg_PO1_050ug_000rpm_00-00min_NA_No1_230925 1,Record 2: PBS_00mg_PO1_050ug_000rpm_00-00min_NA_No1_230925 2,Record 3: PBS_00mg_PO1_050ug_000rpm_00-00min_NA_No1_230925 3,X Intensity,Record 1: PBS_00mg_PO1_050ug_000rpm_00-00min_NA_No1_230925 1,Record 2: PBS_00mg_PO1_050ug_000rpm_00-00min_NA_No1_230925 2,Record 3: PBS_00mg_PO1_050ug_000rpm_00-00min_NA_No1_230925 3
0.5,0.196,0.188,0.174,0.4,0,0,0
1,0.184,0.17,0.167,0.463,0,0,0
1.5,0.177,0.167,0.156,0.536,0,0,0
2,0.165,0.154,0.148,0.621,0,0,0
2.5,0.156,0.147,0.146,0.719,0,0,0
3,0.148,0.147,0.135,0.833,0,0,0
3.5,0.142,0.137,0.135,0.965,0,0,0
4,0.141,0.134,0.129,1.12,0,0,0
4.5,0.135,0.131,0.123,1.29,0,0,0.0832
5.5,0.123,0.121,0.114,1.5,0,0,0.258
6.5,0.117,0.118,0.108,1.74,0,0,0.414
7.5,0.112,0.105,0.1,2.01,0,0,0.489
8.5,0.103,0.1,0.095,2.33,0,0,0.519
9.5,0.098,0.0914,0.0879,2.7,0,0,0.624
10.5,0.0903,0.0865,0.0811,3.12,0,0,0.952
11.5,0.0853,0.0824,0.0767,3.62,0,0,1.62
12.5,0.081,0.0772,0.0725,4.19,0,0.0782,2.67
14.5,0.0726,0.0702,0.0639,4.85,0.299,1.69,4.06
16.5,0.061,0.0624,0.0554,5.61,2.24,4.77,5.66
18.5,0.0556,0.0534,0.0486,6.5,5.66,8.49,7.28
20.5,0.0492,0.0486,0.0452,7.53,9.64,11.9,8.7
22.5,0.0435,0.0392,0.0406,8.72,13.1,14.1,9.73
24.5,0.0393,0.0389,0.0347,10.1,15.2,14.7,10.2
26.5,0.0365,0.0355,0.0302,11.7,15.5,13.6,10.1
28.5,0.033,0.0321,0.0265,13.5,14,11.2,9.41
32.5,0.0246,0.0258,0.0223,15.7,11.1,8,8.19
36.5,0.0217,0.0197,0.0178,18.2,7.5,4.79,6.62
40.5,0.0185,0.0184,0.0143,21,4.07,2.17,4.89
44.5,0.0135,0.0154,0.0111,24.4,1.51,0.566,3.21
48.5,0.0123,0.0121,0.00955,28.2,0.2,0,1.79
52.5,0.00975,0.0119,0.00849,32.7,0,0,0.767
56.5,0.00952,0.0103,0.00656,37.8,0,0,0.189
60.5,0.00899,0.00875,0.00574,43.8,0,0,0
68.5,0.00843,0.00822,0.0039,50.7,0,0,0
76.5,0.00448,0.0064,0.00337,58.8,0,0,0
84.5,0.00601,0.00626,0.00374,68.1,0,0,0
92.5,0.00598,0.00603,0.00258,78.8,0,0,0
101,0.00568,0.0053,0.00241,91.3,0,0,0
109,0.00442,0.00483,0.00268,106,0,0,0
117,0.00541,0.00499,0.00355,122,0,0,0
125,0.005,0.00472,0.00189,142,0,0,0
141,0.00498,0.00456,0.002,164,0,0,0
157,0.00406,0.00453,0.00201,190,0,0,0
173,0.00361,0.00434,0.00175,220,0,0,0
189,0.0046,0.00429,0.00247,255,0,0,0
205,0.00421,0.00439,0.00235,295,0,0,0
221,0.00379,0.00412,0.00176,342,0,0,0
237,0.00375,0.00443,0.00171,396,0,0,0
253,0.00463,0.00378,0.00115,459,0,0,0
285,0.00364,0.00317,0.00148,531,0,0,0
317,0.00398,0.00337,0.00179,615,0,0,0
349,0.00373,0.00322,0.00181,712,0,0,0
381,0.00399,0.00315,0.00118,825,0,0,0
413,0.00367,0.00338,0.00146,955,0,0,0
445,0.00366,0.00274,0.00122,1.11E+03,0,0,0
477,0.00347,0.00316,0.000955,1.28E+03,0,0,0
509,0.00345,0.00299,0.00118,1.48E+03,0,0,0
573,0.00337,0.00308,0.00122,1.72E+03,0,0,0
637,0.00313,0.00258,0.00109,1.99E+03,0,0.0286,0
701,0.003,0.00274,0.00101,2.30E+03,0,0.113,0.0132
765,0.00286,0.00261,0.00105,2.67E+03,0,0.255,0.055
829,0.00316,0.0022,0.00105,3.09E+03,0,0.436,0.126
893,0.00299,0.0026,0.000927,3.58E+03,0,0.626,0.215
957,0.00326,0.00298,0.000852,4.15E+03,0,0.793,0.305
1.02E+03,0.00308,0.0027,0.000891,4.80E+03,0,0.903,0.378
1.15E+03,0.00291,0.00256,0.000913,5.56E+03,0,0.928,0.414
