X Lag Time,Record 1: EVs_3e10_000rpm_00-00min_NA_No2_230905 1,Record 2: EVs_3e10_000rpm_00-00min_NA_No2_230905 2,Record 3: EVs_3e10_000rpm_00-00min_NA_No2_230905 3,X Intensity,Record 1: EVs_3e10_000rpm_00-00min_NA_No2_230905 1,Record 2: EVs_3e10_000rpm_00-00min_NA_No2_230905 2,Record 3: EVs_3e10_000rpm_00-00min_NA_No2_230905 3
0.5,0.898,0.903,0.901,0.4,0,0,0
1,0.905,0.906,0.908,0.463,0,0,0
1.5,0.9,0.904,0.902,0.536,0,0,0
2,0.899,0.9,0.901,0.621,0,0,0
2.5,0.899,0.9,0.898,0.719,0,0,0
3,0.896,0.899,0.896,0.833,0,0,0
3.5,0.894,0.894,0.895,0.965,0,0,0
4,0.891,0.892,0.891,1.12,0,0,0
4.5,0.889,0.891,0.889,1.29,0,0,0
5.5,0.884,0.885,0.883,1.5,0,0,0
6.5,0.88,0.882,0.879,1.74,0,0,0
7.5,0.875,0.876,0.874,2.01,0,0,0
8.5,0.869,0.872,0.87,2.33,0,0,0
9.5,0.865,0.866,0.865,2.7,0,0,0
10.5,0.861,0.862,0.86,3.12,0,0,0
11.5,0.859,0.859,0.856,3.62,0,0,0
12.5,0.853,0.853,0.852,4.19,0,0,0
14.5,0.843,0.845,0.843,4.85,0,0,0
16.5,0.835,0.835,0.834,5.61,0,0,0
18.5,0.827,0.826,0.826,6.5,0,0,0
20.5,0.818,0.818,0.817,7.53,0,0,0
22.5,0.809,0.81,0.81,8.72,0,0,0
24.5,0.801,0.8,0.801,10.1,0,0,0
26.5,0.794,0.793,0.792,11.7,0,0,0
28.5,0.786,0.784,0.784,13.5,0,0,0
32.5,0.77,0.768,0.768,15.7,0,0,0
36.5,0.755,0.753,0.753,18.2,0,0,0.00174
40.5,0.741,0.737,0.739,21,0,0,0.234
44.5,0.726,0.723,0.724,24.4,0,0.314,0.494
48.5,0.711,0.708,0.709,28.2,0,0.738,0.578
52.5,0.698,0.694,0.695,32.7,0.179,0.918,0.463
56.5,0.683,0.681,0.683,37.8,0.639,0.787,0.299
60.5,0.671,0.667,0.669,43.8,1.3,0.567,0.329
68.5,0.645,0.641,0.643,50.7,2.07,0.611,0.782
76.5,0.62,0.616,0.618,58.8,2.93,1.22,1.78
84.5,0.597,0.592,0.595,68.1,3.89,2.52,3.31
92.5,0.575,0.57,0.573,78.8,4.96,4.42,5.23
101,0.554,0.548,0.551,91.3,6.12,6.67,7.26
109,0.533,0.527,0.531,106,7.28,8.89,9.13
117,0.513,0.508,0.512,122,8.33,10.7,10.5
125,0.495,0.489,0.493,142,9.13,11.8,11.3
141,0.46,0.454,0.458,164,9.54,11.9,11.3
157,0.428,0.422,0.426,190,9.47,11.1,10.5
173,0.398,0.392,0.397,220,8.9,9.56,9.02
189,0.371,0.365,0.37,255,7.85,7.43,7.13
205,0.346,0.339,0.345,295,6.44,5.12,5.08
221,0.323,0.316,0.322,342,4.84,2.99,3.14
237,0.302,0.295,0.301,396,3.25,1.34,1.57
253,0.282,0.275,0.282,459,1.85,0.352,0.532
285,0.247,0.239,0.247,531,0.814,0,0.0565
317,0.218,0.209,0.217,615,0.209,0,0
349,0.192,0.183,0.191,712,0,0,0
381,0.17,0.161,0.168,825,0,0,0
413,0.15,0.141,0.148,955,0,0,0
445,0.133,0.124,0.132,1.11E+03,0,0,0
477,0.118,0.11,0.117,1.28E+03,0,0,0
509,0.106,0.0976,0.105,1.48E+03,0,0,0
573,0.0845,0.077,0.0838,1.72E+03,0,0,0
637,0.0679,0.0603,0.0685,1.99E+03,0,0,0
701,0.0545,0.047,0.0568,2.30E+03,0,0,0
765,0.0434,0.0376,0.0476,2.67E+03,0,0,0
