X Lag Time,Record 1: EVs_3e10_300rpm_40-00min_PM_No1_230905 1,Record 2: EVs_3e10_300rpm_40-00min_PM_No1_230905 2,Record 3: EVs_3e10_300rpm_40-00min_PM_No1_230905 3,X Intensity,Record 1: EVs_3e10_300rpm_40-00min_PM_No1_230905 1,Record 2: EVs_3e10_300rpm_40-00min_PM_No1_230905 2,Record 3: EVs_3e10_300rpm_40-00min_PM_No1_230905 3
0.5,0.899,0.909,0.91,0.4,0,0,0
1,0.907,0.915,0.916,0.463,0,0,0
1.5,0.906,0.912,0.918,0.536,0,0,0
2,0.904,0.914,0.914,0.621,0,0,0
2.5,0.902,0.907,0.911,0.719,0,0,0
3,0.9,0.911,0.911,0.833,0,0,0
3.5,0.9,0.907,0.915,0.965,0,0,0
4,0.899,0.91,0.911,1.12,0,0,0
4.5,0.898,0.908,0.91,1.29,0,0,0
5.5,0.897,0.905,0.905,1.5,0,0,0
6.5,0.894,0.901,0.904,1.74,0,0,0
7.5,0.893,0.901,0.903,2.01,0,0,0
8.5,0.889,0.897,0.899,2.33,0,0,0
9.5,0.887,0.898,0.896,2.7,0,0,0
10.5,0.886,0.893,0.896,3.12,0,0,0
11.5,0.883,0.889,0.892,3.62,0,0,0
12.5,0.88,0.888,0.891,4.19,0,0,0
14.5,0.876,0.885,0.887,4.85,0,0,0
16.5,0.871,0.88,0.883,5.61,0,0,0
18.5,0.868,0.875,0.878,6.5,0,0,0
20.5,0.864,0.871,0.873,7.53,0,0,0
22.5,0.858,0.867,0.869,8.72,0,0,0
24.5,0.856,0.863,0.864,10.1,0,0,0
26.5,0.85,0.858,0.861,11.7,0.121,0,0
28.5,0.847,0.856,0.857,13.5,0.264,0,0
32.5,0.84,0.848,0.849,15.7,0.31,0,0
36.5,0.832,0.838,0.842,18.2,0.245,0,0
40.5,0.825,0.832,0.834,21,0.134,0,0
44.5,0.817,0.825,0.826,24.4,0.0523,0,0
48.5,0.809,0.816,0.818,28.2,0.0436,0,0
52.5,0.801,0.809,0.811,32.7,0.1,0,0
56.5,0.796,0.803,0.804,37.8,0.18,0,0
60.5,0.788,0.795,0.797,43.8,0.236,0,0
68.5,0.774,0.781,0.783,50.7,0.241,0,0
76.5,0.762,0.769,0.77,58.8,0.205,0,0
84.5,0.749,0.754,0.756,68.1,0.174,0,0
92.5,0.737,0.742,0.744,78.8,0.214,0,0
101,0.725,0.73,0.732,91.3,0.396,0,0
109,0.713,0.718,0.72,106,0.775,0,0.353
117,0.701,0.706,0.709,122,1.38,0,1.34
125,0.69,0.694,0.697,142,2.22,0.455,2.79
141,0.669,0.672,0.676,164,3.25,1.57,4.41
157,0.648,0.651,0.655,190,4.42,3.34,5.95
173,0.628,0.631,0.635,220,5.65,5.58,7.24
189,0.609,0.611,0.616,255,6.82,7.95,8.22
205,0.591,0.593,0.597,295,7.84,10.1,8.86
221,0.573,0.575,0.58,342,8.59,11.6,9.17
237,0.556,0.558,0.562,396,9.01,12.4,9.15
253,0.54,0.541,0.546,459,9.03,12.1,8.81
285,0.51,0.51,0.516,531,8.64,11,8.15
317,0.481,0.481,0.486,615,7.87,9.12,7.18
349,0.455,0.454,0.459,712,6.77,6.82,5.98
381,0.429,0.429,0.434,825,5.47,4.46,4.62
413,0.406,0.405,0.41,955,4.07,2.39,3.25
445,0.384,0.384,0.388,1.11E+03,2.74,0.92,2
477,0.364,0.363,0.368,1.28E+03,1.59,0.161,1.01
509,0.345,0.344,0.348,1.48E+03,0.729,0,0.351
573,0.311,0.309,0.313,1.72E+03,0.205,0,0.045
637,0.28,0.278,0.282,1.99E+03,0,0,0
701,0.253,0.251,0.255,2.30E+03,0,0,0
765,0.228,0.225,0.231,2.67E+03,0,0,0
829,0.207,0.203,0.21,3.09E+03,0,0,0
893,0.188,0.184,0.191,3.58E+03,0,0,0.00967
957,0.17,0.167,0.174,4.15E+03,0,0,0.128
1.02E+03,0.155,0.152,0.159,4.80E+03,0,0,0.354
1.15E+03,0.129,0.125,0.134,5.56E+03,0,0,0.62
1.28E+03,0.108,0.103,0.113,6.44E+03,0,0,0
1.40E+03,0.0917,0.0856,0.0972,7.46E+03,0,0,0
1.53E+03,0.0782,0.071,0.0841,8.63E+03,0,0,0
1.66E+03,0.0666,0.0584,0.0727,,,,
1.79E+03,0.0564,0.0488,0.0624,,,,
1.92E+03,0.0481,0.0413,0.0535,,,,
2.04E+03,0.0413,0.0359,0.0459,,,,
2.30E+03,0.03,0.0276,0.0337,,,,
2.56E+03,0.0212,0.021,0.0253,,,,
2.81E+03,0.0153,0.0154,0.0188,,,,
3.07E+03,0.0124,0.012,0.0145,,,,
3.32E+03,0.00973,0.00923,0.0116,,,,
3.58E+03,0.00699,0.00693,0.0114,,,,
3.84E+03,0.00575,0.00699,0.011,,,,
4.09E+03,0.00549,0.00698,0.0099,,,,
4.60E+03,0.00486,0.0072,0.00903,,,,
5.12E+03,0.00435,0.00702,0.00912,,,,
5.63E+03,0.00479,0.00551,0.00848,,,,
6.14E+03,0.00352,0.00549,0.00845,,,,
6.65E+03,0.00294,0.00379,0.00974,,,,
7.16E+03,0.00283,0.00273,0.00887,,,,
7.68E+03,0.00385,0.00377,0.00816,,,,
8.19E+03,0.0046,0.00295,0.0087,,,,
9.21E+03,0.00207,0.00346,0.0109,,,,
1.02E+04,0.00232,0.00194,0.00964,,,,
1.13E+04,0.0025,0.00266,0.01,,,,
1.23E+04,0.00434,0.00655,0.0113,,,,
1.33E+04,0.00209,0.00708,0.0129,,,,
1.43E+04,0.000817,0.00364,0.00795,,,,
1.54E+04,0.00174,0.00681,0.00853,,,,
1.64E+04,0.00188,0.00356,0.00864,,,,
1.84E+04,0.00297,0.00338,0.00704,,,,
2.05E+04,0.00118,0.00509,0.00824,,,,
2.25E+04,0.000135,0.00493,0.00844,,,,
2.46E+04,0.00064,0.00897,0.0104,,,,
2.66E+04,0.00119,0.0053,0.00504,,,,
2.87E+04,0.00172,0.00586,0.00645,,,,
3.07E+04,0.00121,0.00432,0.00698,,,,
3.28E+04,0.00234,0.00589,0.00596,,,,
3.69E+04,0.00115,0.00365,0.00736,,,,
4.10E+04,0.000446,0.00316,0.0101,,,,
4.51E+04,8.37E-05,0.00392,0.00763,,,,
4.91E+04,0.00143,0.005,0.00802,,,,
5.32E+04,0.00144,0.00541,0.00598,,,,
5.73E+04,0.00147,0.00371,0.0066,,,,
6.14E+04,0.000484,0.00559,0.00778,,,,
6.55E+04,0.000942,0.00236,0.0084,,,,
7.37E+04,0.00161,0.00405,0.00735,,,,
8.19E+04,0.0024,0.00237,0.00829,,,,
9.01E+04,0.00185,0.00355,0.00725,,,,
9.83E+04,0.00252,0.00281,0.00658,,,,
1.06E+05,0.00208,0.00363,0.00899,,,,
1.15E+05,0.000807,0.00264,0.00647,,,,
1.23E+05,0.00136,0.00282,0.00488,,,,
1.31E+05,0.002,0.00326,0.00443,,,,
1.47E+05,0.000977,0.00283,0.0072,,,,
1.64E+05,0.00228,0.00294,0.00552,,,,
1.80E+05,0.00134,0.0038,0.0059,,,,
1.97E+05,0.000566,0.00314,0.00666,,,,
