X Lag Time,Record 1: H2O_00mg_300rpm_20-00min_ST_No1_230922 1,Record 2: H2O_00mg_300rpm_20-00min_ST_No1_230922 2,Record 3: H2O_00mg_300rpm_20-00min_ST_No1_230922 3,X Intensity,Record 1: H2O_00mg_300rpm_20-00min_ST_No1_230922 1,Record 2: H2O_00mg_300rpm_20-00min_ST_No1_230922 2,Record 3: H2O_00mg_300rpm_20-00min_ST_No1_230922 3
0.5,0.323,0.189,0.241,0.4,0,0,0
1,0.326,0.188,0.239,0.463,0,0,0
1.5,0.324,0.19,0.241,0.536,0,0,0
2,0.32,0.188,0.239,0.621,0,0,0
2.5,0.326,0.19,0.243,0.719,0,0,0
3,0.32,0.186,0.243,0.833,0,0,0
3.5,0.32,0.181,0.246,0.965,0,0,0
4,0.317,0.184,0.24,1.12,0,0,0
4.5,0.317,0.184,0.24,1.29,0,0,0
5.5,0.318,0.183,0.238,1.5,0,0,0
6.5,0.318,0.186,0.243,1.74,0,0,0
7.5,0.32,0.18,0.237,2.01,0,0,0
8.5,0.316,0.183,0.24,2.33,0,0,0
9.5,0.318,0.187,0.237,2.7,0,0,0
10.5,0.315,0.185,0.238,3.12,0,0,0
11.5,0.314,0.183,0.231,3.62,0,0,0
12.5,0.312,0.179,0.23,4.19,0,0,0
14.5,0.31,0.179,0.233,4.85,0,0,0
16.5,0.306,0.176,0.23,5.61,0,0,0
18.5,0.305,0.176,0.227,6.5,0,0,0
20.5,0.307,0.173,0.229,7.53,0,0,0
22.5,0.302,0.169,0.227,8.72,0,0,0
24.5,0.3,0.172,0.221,10.1,0,0,0
26.5,0.297,0.171,0.224,11.7,0,0,0
28.5,0.296,0.167,0.221,13.5,0,0,0
32.5,0.293,0.167,0.217,15.7,0,0,0
36.5,0.288,0.164,0.213,18.2,0,0,0
40.5,0.283,0.161,0.21,21,0,0,0
44.5,0.281,0.156,0.209,24.4,0,0,0
48.5,0.276,0.153,0.204,28.2,0,0,0
52.5,0.272,0.15,0.198,32.7,0,0,0
56.5,0.269,0.148,0.197,37.8,0,0,0
60.5,0.265,0.146,0.196,43.8,0,0,0
