Use	Position	Mean Int.	Av. No of Particles	Conc. (p./mL)	Orig. Conc. (p./cm^3)	No. of Traces	X50 (nm)	Peak ø (nm)	Span	Drift (mum/s)	Removal
X	0,10	6,8	52,0	2,4E+7	8,1E+8	47	133,9	143,8	1,1	10,1	
X	0,15	6,6	66,0	3,1E+7	1,0E+9	73	122,9	133,9	1,1	13,6	
	0,20	6,6	68,5	3,2E+7	1,1E+9	61	153,2	161,1	1,1	15,5	GRUBBS_SIZE
X	0,30	7,2	59,0	2,8E+7	9,2E+8	58	138,0	144,1	1,2	16,6	
X	0,40	6,8	46,0	2,2E+7	7,1E+8	43	150,0	144,8	1,3	14,4	
X	0,50	6,9	57,0	2,7E+7	8,8E+8	57	137,6	142,8	1,0	12,1	
X	0,60	7,1	63,0	3,0E+7	9,8E+8	67	125,4	132,1	1,2	10,0	
X	0,70	7,0	55,5	2,6E+7	8,6E+8	52	130,4	136,4	1,3	7,6	
X	0,80	7,1	49,5	2,3E+7	7,7E+8	47	134,2	142,6	1,7	5,8	
X	0,85	7,3	49,5	2,3E+7	7,7E+8	46	145,0	143,7	1,8	4,5	
	0,90	7,9	38,0	1,8E+7	5,9E+8	31	144,4	154,3	0,9	3,5	GRUBBS_MI
	Mean	7,0	55,3	2,6E+7	8,6E+8	54,4	135,3	140,5	1,3	10,5	
	St.Dev.	0,2	6,7	3,1E+6	1,0E+8	10,2	8,7	4,9	0,3	4,0	
	Rel.St.Dev.	3,0	12,1	12,1	12,1	18,8	6,4	3,5	20,2	38,4	
