T[°C]	Scattering [mAU]	S.D.
20.00061	84.93774	6.395125
20.05472	84.93822	6.52616
20.10883	84.76956	6.124794
20.16294	84.82916	6.137001
20.21704	85.0608	6.22184
20.27115	84.93119	6.03762
20.32526	84.77257	6.076021
20.37937	84.73492	6.014337
20.43348	84.65218	6.140945
20.48759	84.82683	6.242806
20.54169	84.8099	6.427319
20.5958	84.9146	6.468191
20.64991	84.43358	6.472475
20.70402	84.83045	6.703585
20.75813	84.59621	6.343681
20.81223	84.82512	6.380317
20.86634	84.71598	6.477344
20.92045	84.69478	6.220037
20.97456	84.73501	6.181751
21.02867	84.67103	5.872094
21.08278	84.55733	6.075445
21.13688	84.69566	5.965072
21.19099	84.46982	6.14031
21.2451	84.70487	6.202263
21.29921	84.70817	6.198782
21.35332	84.61563	6.219468
21.40742	84.8511	6.285393
21.46153	84.73859	6.461906
21.51564	84.64685	6.546786
21.56975	84.85922	6.54144
21.62386	84.56786	6.59927
21.67797	84.81683	6.612779
21.73207	84.78979	6.614947
21.78618	84.88526	6.561722
21.84029	84.7523	6.463148
21.8944	84.66721	6.302105
21.94851	84.53804	6.507275
22.00262	84.58773	6.327789
22.05672	84.3958	6.566822
22.11083	84.57817	6.546281
22.16494	84.63004	6.354284
22.21905	84.66174	6.490044
22.27316	84.83301	6.421248
22.32726	84.78892	6.472601
22.38137	84.64936	6.495838
22.43548	84.77341	6.473207
22.48959	84.66417	6.71304
22.5437	84.71636	6.599812
22.59781	84.73739	6.946147
22.65191	84.76341	6.746156
22.70602	84.64071	6.700339
22.76013	84.62512	6.740082
22.81424	84.50327	6.495684
22.86835	84.56185	6.489697
22.92245	84.64807	6.53938
22.97656	84.67132	6.526877
23.03067	84.86231	6.326227
23.08478	84.85569	6.457602
23.13889	84.58088	6.304281
23.193	84.79291	6.271668
23.2471	84.46958	6.14952
23.30121	84.6291	5.982829
23.35532	84.67805	6.168252
23.40943	84.7039	6.087901
23.46354	84.83128	6.334289
23.51765	84.74627	6.390606
23.57175	84.72985	6.673103
23.62586	84.68251	6.51657
23.67997	84.58842	6.512255
23.73408	84.50979	6.267927
23.78819	84.25864	6.188484
23.84229	84.38758	6.153028
23.8964	84.58364	6.173993
23.95051	84.52396	6.299372
24.00462	84.79008	6.35511
24.05873	84.67219	6.226913
24.11284	84.4587	6.254067
24.16694	84.5731	6.221772
24.22105	84.20528	5.951327
24.27516	84.45734	6.018568
24.32927	84.216	6.048402
24.38338	84.38957	6.063797
24.43748	84.6757	6.334391
24.49159	84.66995	6.448973
24.5457	84.62141	6.431348
24.59981	84.51822	6.537075
24.65392	84.2801	6.558199
24.70803	84.34615	6.541406
24.76213	84.52774	6.626201
24.81624	84.46523	6.587497
24.87035	84.64293	6.680441
24.92446	84.55748	6.236802
