T[°C]	330nm [counts / mm]	S.D.
30.01063	4335.964	9.802692
30.06474	4328.285	12.55638
30.11885	4327.188	12.93505
30.17296	4325.714	7.469057
30.22706	4320.85	12.23314
30.28117	4316.531	18.21438
30.33528	4311.364	17.59596
30.38939	4307.573	10.81094
30.4435	4303.848	13.41259
30.4976	4299.549	10.24821
30.55171	4297.186	14.75686
30.60582	4292.729	10.0303
30.65993	4287.703	9.519589
30.71404	4285.479	8.27314
30.76815	4285.004	11.16216
30.82225	4284.044	12.97679
30.87636	4281.384	17.36478
30.93047	4276.608	8.518187
30.98458	4276.753	12.5944
31.03869	4272.957	13.15234
31.09279	4267.745	11.94103
31.1469	4258.38	17.06185
31.20101	4257.19	17.39863
31.25512	4258.62	13.20641
31.30923	4254.866	9.664317
31.36334	4242.38	11.2077
31.41744	4243.125	13.00953
31.47155	4235.804	12.76491
31.52566	4233.691	14.6575
31.57977	4231.65	11.6567
31.63388	4230.342	17.54135
31.68799	4224.248	16.48617
31.74209	4224.163	13.12837
31.7962	4226.972	18.85614
31.85031	4222.572	9.831828
31.90442	4211.658	17.07508
31.95853	4209.798	18.39831
32.01263	4205.409	10.93196
32.06674	4207.064	13.35236
32.12085	4203.236	18.61796
32.17496	4199.737	17.68487
32.22907	4195.176	15.64505
32.28318	4191.79	10.38356
32.33728	4189.378	10.07848
32.39139	4188.221	16.83816
32.4455	4180.827	14.54203
32.49961	4177.215	17.15907
32.55372	4179.813	19.41557
32.60783	4171.377	16.46606
32.66193	4165.736	19.9012
32.71604	4166.558	13.72606
32.77015	4159.744	14.05101
32.82426	4158.347	12.91608
32.87836	4158.955	12.45499
32.93248	4155.977	7.531916
32.98658	4149.66	8.143288
33.04069	4146.178	17.1871
33.0948	4146.557	21.2337
33.14891	4137.934	9.263069
33.20301	4138.557	13.99022
33.25712	4133.43	13.19763
33.31123	4129.601	10.31055
33.36534	4124.429	13.11405
33.41945	4124.701	8.245084
33.47356	4121.163	10.6632
33.52766	4120.558	10.69137
33.58177	4116.814	5.269057
33.63588	4115.072	10.18137
33.68999	4102.045	10.56468
33.7441	4100.246	13.87616
33.79821	4102.381	16.49754
33.85231	4100.145	19.62243
33.90642	4088.213	7.594183
33.96053	4088.652	5.889622
34.01464	4085.957	6.518868
34.06875	4083.008	4.781675
34.12286	4078.393	10.91127
34.17696	4075.299	6.631841
34.23107	4077.264	12.53228
34.28518	4072.523	12.0903
34.33929	4065.954	17.81054
34.39339	4067.691	15.29574
34.44751	4057.275	8.912694
34.50161	4056.643	9.429208
34.55572	4057.455	15.19571
34.60983	4050.401	11.46698
34.66394	4045.637	8.848646
34.71804	4047.741	14.67817
34.77215	4041.472	10.94926
34.82626	4039.886	8.235526
34.88037	4030.399	18.60085
34.93448	4027.308	15.03628
34.98859	4029.832	11.37957
35.04269	4026.57	14.65212
35.0968	4027.115	18.97055
35.15091	4021.578	14.94656
35.20502	4022.199	8.265079
35.25913	4018.727	6.796253
35.31324	4015.081	15.79884
35.36734	4011.941	13.31436
35.42145	3999.676	17.62422
35.47556	4000.061	16.23531
35.52967	3997.662	11.91025
35.58378	3995.787	15.22141
35.63789	3984.652	8.372195
35.69199	3988.981	13.39509
35.7461	3984.454	11.68525
35.80021	3982.274	12.49514
35.85432	3976.057	18.36368
35.90842	3969.957	16.02334
35.96254	3969.773	8.399674
36.01664	3969.7	11.63003
36.07075	3964.309	12.47829
36.12486	3961.031	11.06116
36.17897	3959.655	14.98834
36.23307	3957.973	14.38535
36.28718	3952.305	10.42176
36.34129	3949.448	9.019856
36.3954	3947.042	8.425462
36.44951	3943.67	11.46847
36.50362	3940.214	14.56543
36.55772	3936.373	12.42389
36.61183	3933.339	11.09415
36.66594	3932.057	14.026
36.72005	3931.025	9.287077
36.77416	3928.06	12.31761
36.82827	3924.223	14.84474
36.88237	3922.32	9.922651
36.93648	3919.451	16.14727
36.99059	3914.119	10.0857
37.0447	3912.048	15.06533
37.09881	3906.971	5.223098
37.15292	3906.972	12.00946
37.20702	3900.186	5.896936
37.26113	3898.295	10.93615
37.31524	3891.292	13.88579
37.36935	3890.856	13.80177
37.42345	3886.982	12.11072
37.47757	3882.876	13.27463
37.53167	3878.619	10.92993
37.58578	3874.908	11.73845
37.63989	3878.391	12.18445
37.694	3876.859	14.47879
37.7481	3873.921	8.344244
37.80221	3873.834	11.06168
37.85632	3862.701	18.16142
37.91043	3860.137	15.97942
37.96454	3856.559	12.52862
38.01865	3852.48	11.41274
38.07275	3848.728	6.97091
38.12686	3850.946	12.18111
38.18097	3845.351	7.338949
38.23508	3845.892	9.897005
38.28919	3835.609	17.9511
38.3433	3835.68	16.45663
38.3974	3833.108	12.53684
38.45151	3831.292	13.33128
38.50562	3824.271	12.41209
38.55973	3821.863	13.22955
38.61384	3823.701	14.98749
38.66795	3821.55	8.946149
38.72205	3808.821	27.33969
38.77616	3808.86	20.99696
38.83027	3804.576	15.04984
38.88438	3804.8	11.31057
38.93848	3799.085	15.55126
38.9926	3799.484	8.735741
39.0467	3793.598	10.74988
39.10081	3790.01	10.58778
39.15492	3785.585	12.61872
39.20903	3785.813	14.16221
39.26313	3785.152	15.22288
39.31724	3783.058	20.54797
39.37135	3770.89	11.5442
39.42546	3772.376	13.7668
39.47957	3769.381	19.15666
39.53368	3769.498	15.33768
39.58778	3762.243	11.48243
39.64189	3762.959	15.25039
39.696	3763.063	14.23631
39.75011	3757.23	14.09876
39.80422	3751.412	8.535157
39.85833	3748.272	12.57783
39.91243	3747.667	13.46127
39.96654	3740.56	12.07199
40.02065	3733.414	17.50009
40.07476	3735.363	15.50947
40.12887	3736.552	7.894485
40.18298	3733.115	12.31215
40.23708	3739.198	12.92643
40.29119	3727.153	6.227609
40.3453	3729.222	6.849398
40.39941	3720.017	9.896407
40.45351	3721.581	12.64541
40.50763	3713.895	14.95342
40.56173	3708.357	15.96028
40.61584	3703.636	15.7287
40.66995	3703.658	14.08818
40.72406	3696.939	9.333166
40.77816	3699.229	12.68465
40.83227	3692.707	7.79439
40.88638	3691.926	8.809143
40.94049	3687.375	17.11092
40.9946	3684.962	18.2072
41.04871	3680.2	10.83491
41.10281	3679.85	11.18696
41.15692	3675.813	9.584661
41.21103	3678.744	10.13075
41.26514	3676.705	11.21142
41.31925	3673.097	12.21304
41.37336	3667.304	12.17721
41.42746	3666.382	7.315426
41.48157	3661.761	16.73342
41.53568	3659.048	16.12469
41.58979	3654.863	13.98975
41.64389	3654.288	11.12824
41.69801	3646.147	15.09159
41.75211	3644.752	16.6394
41.80622	3641.832	18.41295
41.86033	3638.502	19.2444
41.91444	3629.854	10.39086
41.96854	3633.765	12.35641
42.02265	3631.444	15.40293
42.07676	3629.179	12.53691
42.13087	3623.415	25.62752
42.18498	3621.851	18.31093
42.23909	3623.549	14.56327
42.29319	3617.266	12.71044
42.3473	3611.52	9.421391
42.40141	3608.044	11.48926
42.45552	3606.504	9.331016
42.50963	3607.774	13.64455
42.56374	3603.351	11.83853
42.61784	3601.07	13.67009
42.67195	3594.65	17.94147
42.72606	3593.104	17.37369
42.78017	3590.58	14.80836
42.83428	3581.549	14.01696
42.88839	3579.363	10.97755
42.94249	3578.524	7.339857
42.9966	3578.05	9.70779
43.05071	3575.181	11.96027
43.10482	3570.376	10.7449
43.15892	3568.135	16.09664
43.21304	3567.703	14.36881
43.26714	3568.232	14.88834
43.32125	3567.645	21.02106
43.37536	3557.866	9.837264
43.42947	3553.914	11.258
43.48357	3550.658	7.798698
43.53768	3552.74	7.128217
43.59179	3542.882	12.49885
43.6459	3540.741	11.63178
43.70001	3541.09	14.25956
43.75412	3540.383	15.41297
43.80822	3535.01	14.59009
43.86233	3532.485	16.60696
43.91644	3529.208	14.81841
43.97055	3525.282	15.82072
44.02466	3526.149	13.51982
44.07877	3521.72	15.30806
44.13287	3513.42	13.86845
44.18698	3510.606	14.16343
44.24109	3511.329	10.3151
44.2952	3510.81	13.18272
44.34931	3501.823	8.393782
44.40342	3505.168	12.96986
44.45752	3493.8	12.95085
44.51163	3492.71	11.35184
44.56574	3492.905	12.08345
44.61985	3490.035	13.48314
44.67395	3486.884	8.344134
44.72807	3489.419	11.28854
44.78217	3479.566	17.95192
44.83628	3480.861	15.13946
44.89039	3477.064	21.01131
44.9445	3476.051	17.04038
44.9986	3465.045	15.0908
45.05271	3461.791	16.3609
45.10682	3465.866	11.93227
45.16093	3465.047	16.43899
45.21504	3462.07	16.38893
45.26915	3460.245	19.16322
45.32325	3446.671	11.63482
45.37736	3452.781	15.73241
45.43147	3448.004	13.5387
45.48558	3446.201	11.91594
45.53969	3443.892	17.57247
45.5938	3439.781	13.99223
45.6479	3437.381	18.75357
45.70201	3435.159	16.81581
45.75612	3434.979	13.7228
45.81023	3431.315	11.66587
45.86434	3423.73	12.97414
45.91845	3426.059	12.40129
45.97255	3418.338	16.14659
46.02666	3418.723	16.89536
46.08077	3415.112	8.794295
46.13488	3415.398	7.596231
46.18898	3408.789	9.451255
46.2431	3407.917	8.145224
46.2972	3401.827	16.99558
46.35131	3400.253	17.95967
46.40542	3393.466	9.358363
46.45953	3395.976	15.78311
46.51363	3394.396	12.63129
46.56774	3392.611	13.14124
46.62185	3389.226	16.24438
46.67596	3386.392	15.68172
46.73007	3388.655	15.29098
46.78418	3379.992	13.61492
46.83828	3371.662	20.9499
46.89239	3372.139	18.21507
46.9465	3371.868	17.47065
47.00061	3365.323	13.22978
47.05472	3360.472	13.10305
47.10883	3361.497	16.42871
47.16293	3354.385	17.77325
47.21704	3358.141	13.02551
47.27115	3353.688	14.6313
47.32526	3355.842	9.6188
47.37937	3345.86	12.05496
47.43348	3347.98	10.65678
47.48758	3345.823	7.284208
47.54169	3341.556	5.199806
47.5958	3336.463	10.74395
47.64991	3335.326	10.1335
47.70401	3334.363	10.72908
47.75813	3331.388	15.821
47.81223	3325.051	18.18495
47.86634	3320.818	18.73902
47.92045	3321.569	17.1006
47.97456	3320.356	14.55492
48.02866	3320.191	13.48036
48.08277	3310.251	12.98652
48.13688	3305.713	14.35139
48.19099	3305.063	14.93819
48.2451	3306.703	15.80225
48.29921	3301.648	12.49671
48.35331	3296.949	11.21445
48.40742	3297.686	16.2592
48.46153	3291.013	19.88279
48.51564	3293.46	12.90066
48.56975	3294.896	15.86774
48.62386	3288.413	15.58527
48.67796	3290.507	17.80656
48.73207	3279.632	15.45567
48.78618	3279.791	16.86849
48.84029	3279.4	17.05601
48.8944	3276.516	16.12742
48.94851	3268.228	12.32174
49.00261	3271.597	11.23008
49.05672	3263.104	18.28533
49.11083	3263.075	18.01284
49.16494	3256.854	16.06855
49.21904	3257.528	13.92006
49.27316	3251.382	16.12725
49.32726	3248.612	18.11003
49.38137	3245.972	19.55248
49.43548	3241.376	14.48599
49.48959	3245.457	10.29665
49.54369	3244.731	8.999417
49.5978	3238.288	13.69378
49.65191	3235.367	16.99091
49.70602	3230.801	12.25025
49.76013	3230.745	10.36964
49.81424	3222.803	13.28358
49.86834	3222.446	14.45332
49.92245	3222.14	13.7458
49.97656	3220.649	14.45202
50.03067	3218.505	15.70007
50.08478	3218.257	16.27849
50.13889	3206.606	17.08656
50.19299	3208.14	20.15717
50.2471	3205.62	13.84463
50.30121	3202.43	13.26392
50.35532	3204.912	14.00875
50.40943	3206.207	10.10422
50.46354	3192.333	15.46973
50.51764	3193.02	14.32656
50.57175	3189.693	10.42926
50.62586	3188.012	12.12883
50.67997	3183.171	14.65734
50.73407	3183.744	16.9749
50.78819	3180.766	14.12553
50.84229	3178.792	18.3711
50.8964	3176.032	16.70695
50.95051	3177.068	15.15936
51.00462	3165.664	18.16503
51.05872	3168.336	15.79838
51.11283	3165.26	17.98867
51.16694	3163.87	13.43763
51.22105	3159.23	13.7977
51.27516	3155.416	12.82427
51.32927	3151.25	13.76624
51.38337	3148.981	13.39461
51.43748	3144.701	14.62755
51.49159	3144.141	13.63137
51.5457	3140.171	5.043204
51.59981	3138.954	7.62024
51.65392	3134.57	15.0974
51.70802	3135.813	14.07967
51.76213	3127.177	13.19036
51.81624	3127.472	14.66119
51.87035	3126.003	12.30055
51.92446	3122.858	14.40431
51.97857	3121.224	16.48209
52.03267	3121.298	12.35789
52.08678	3119.263	16.50585
52.14089	3116.676	17.99563
52.195	3108.029	15.23388
52.2491	3107.056	11.96276
52.30322	3107.884	10.26365
52.35732	3100.408	15.73525
52.41143	3101.497	21.31497
52.46554	3096.163	9.747713
52.51965	3095.881	12.18017
52.57375	3092.955	13.79776
52.62786	3094.419	15.0144
52.68197	3086.811	13.35188
52.73608	3089.52	14.36321
52.79019	3081.537	13.24765
52.8443	3081.649	12.29844
52.8984	3075.66	13.45554
52.95251	3072.515	13.04304
53.00662	3070.07	14.56693
53.06073	3070.901	14.92378
53.11484	3068.602	19.79132
53.16895	3068.125	19.89138
53.22305	3056.539	14.22831
53.27716	3059.046	14.08573
53.33127	3058.915	12.34912
53.38538	3058.486	12.90963
53.43949	3054.063	16.16526
53.4936	3049.87	16.59611
53.5477	3046.308	9.66267
53.60181	3046.922	12.52759
53.65592	3037.188	17.73474
53.71003	3041.037	18.15202
53.76413	3034.767	18.11574
53.81824	3033.5	15.71724
53.87235	3028.749	12.92044
53.92646	3026.803	17.55799
53.98057	3025.399	16.086
54.03468	3023.808	13.31279
54.08878	3020.552	13.54626
54.14289	3021.018	16.88321
54.197	3020.072	18.10634
54.25111	3012.61	13.66842
54.30522	3011.651	12.03522
54.35933	3010.485	9.928821
54.41343	3006.427	10.90747
54.46754	3003.329	12.47115
54.52165	2998.324	13.56073
54.57576	2998.279	12.88163
54.62987	2997.657	10.68917
54.68398	2995.515	9.848025
54.73808	2995.926	12.58068
54.79219	2990.57	12.14716
54.8463	2990.264	12.56894
54.90041	2986.103	11.56794
54.95452	2986.411	11.92063
55.00863	2979.573	11.17141
55.06273	2976.495	15.72315
55.11684	2971.432	14.88109
55.17095	2978.246	15.94121
55.22506	2970.277	15.01466
55.27916	2970.556	16.01435
55.33327	2962.808	6.384569
55.38738	2964.192	10.63841
55.44149	2958.452	12.01867
55.4956	2954.527	9.918466
55.54971	2953.609	11.57338
55.60381	2955.63	10.85692
55.65792	2949.349	13.46648
55.71203	2948.141	14.56869
55.76614	2944.046	16.53281
55.82025	2945.901	13.34693
55.87436	2936.671	9.870712
55.92846	2937.32	12.30636
55.98257	2937.605	11.50478
56.03668	2935.323	12.94714
56.09079	2930.659	10.29685
56.1449	2929.497	11.10991
56.19901	2927.624	13.64558
56.25311	2926.087	16.20699
56.30722	2917.853	15.98897
56.36133	2917.785	13.39063
56.41544	2912.712	12.51282
56.46955	2911.696	11.9881
56.52365	2912.242	11.62433
56.57776	2908.902	13.19916
56.63187	2906.29	19.75171
56.68598	2901.504	10.49815
56.74009	2900.604	10.55922
56.79419	2898.505	16.39922
56.8483	2895.667	12.36532
56.90241	2893.369	15.6182
56.95652	2894.735	13.3695
57.01063	2890.246	15.1992
57.06474	2889.687	15.75203
57.11884	2886.318	11.06001
57.17295	2885.864	8.207026
57.22706	2880.919	15.72956
57.28117	2877.947	13.147
57.33528	2874.278	10.59116
57.38939	2876.439	12.61806
57.44349	2868.989	16.24918
57.4976	2870.123	12.48379
57.55171	2863.026	8.45043
57.60582	2866.272	11.61788
57.65993	2860.03	13.164
57.71404	2859.384	13.58975
57.76814	2855.943	12.58693
57.82225	2856.85	11.7945
57.87636	2850.752	8.561902
57.93047	2850.053	10.44326
57.98458	2845.932	13.22668
58.03868	2845.403	12.20675
58.09279	2843.428	17.79141
58.1469	2840.323	12.53888
58.20101	2834.221	17.08524
58.25512	2835.672	15.99021
58.30922	2830.409	16.67432
58.36333	2829.78	14.08551
58.41744	2827.811	12.88859
58.47155	2827.79	15.15899
58.52566	2821.633	10.69823
58.57977	2824.612	12.23467
58.63387	2815.564	12.38456
58.68798	2817.2	11.31839
58.74209	2813.104	9.562712
58.7962	2810.268	11.62359
58.85031	2809.948	5.023755
58.90442	2810.355	10.27562
58.95852	2808.583	14.07477
59.01263	2807.081	11.56863
59.06674	2801.61	10.40481
59.12085	2795.975	9.091259
59.17496	2793.271	11.92936
59.22906	2789.399	11.38078
59.28317	2788.652	7.175222
59.33728	2788.496	8.041253
59.39139	2789.375	9.843568
59.4455	2781.804	11.78013
59.49961	2778.014	9.097673
59.55371	2779.379	11.92036
59.60782	2777.63	13.4495
59.66193	2773.097	12.64628
59.71604	2774.506	15.90831
59.77015	2769.018	11.67583
59.82425	2768.213	13.51134
59.87836	2764.636	7.419825
59.93247	2765.953	11.21901
59.98658	2760.634	11.3509
60.04069	2762.223	7.7876
60.0948	2753.916	14.21269
60.1489	2760.93	16.01804
60.20301	2752.029	13.7293
60.25712	2752.55	14.15354
60.31123	2745.104	12.98355
60.36534	2748.661	16.40857
60.41945	2743.199	13.15914
60.47355	2738.603	11.52023
60.52766	2734.351	10.3998
60.58177	2731.622	12.85099
60.63588	2733.646	11.69051
60.68999	2731.331	12.43346
60.74409	2731.571	13.16745
60.7982	2731.409	16.90638
60.85231	2724.851	11.83591
60.90642	2726.826	10.96731
60.96053	2721.756	14.1236
61.01464	2717.537	13.30998
61.06874	2711.75	12.54244
61.12285	2712.245	13.04781
61.17696	2714.118	14.56618
61.23107	2713.303	15.27571
61.28518	2705.403	12.33971
61.33928	2706.982	12.69204
61.39339	2700.904	8.662246
61.4475	2699.948	11.95716
61.50161	2699.599	9.311551
61.55572	2695.464	12.98417
