T[°C]	Scattering [mAU]	S.D.
35.06331	92.3136	
35.16658	92.20207	
35.17341	92.2904	
35.2737	92.20435	
35.28019	92.20453	
35.38492	92.43243	
35.39103	92.31917	
35.4931	92.5787	
35.49937	92.35809	
35.60196	92.49649	
35.60859	92.50403	
35.71255	92.32099	
35.71899	92.4652	
35.82247	92.63327	
35.8287	92.64175	
35.9304	92.85484	
35.93689	92.47511	
36.03987	92.66906	
36.04892	92.1574	
36.15016	91.99483	
36.15649	92.38903	
36.2589	91.81106	
36.26555	92.21469	
36.36952	92.26481	
36.3757	92.2637	
36.47911	92.46558	
36.48536	92.22614	
36.58712	92.35088	
36.59526	92.00566	
36.69686	92.13049	
36.70312	92.43848	
36.80532	92.10186	
36.81171	91.94561	
36.9157	92.29269	
36.92195	91.97989	
37.02566	92.31554	
37.03246	92.47507	
37.13558	92.08228	
37.14354	92.41071	
37.24456	92.38204	
37.25103	92.05059	
37.35445	91.93593	
37.36129	91.93373	
37.46401	92.19347	
37.47203	91.93941	
37.57263	92.10644	
37.57854	92.28857	
37.6822	92.23071	
37.68852	92.29897	
37.79155	92.29647	
37.79788	92.32803	
37.90327	92.48134	
37.91005	92.18464	
38.01178	92.09052	
38.01822	92.63339	
38.12022	92.47458	
38.12625	92.23467	
38.22813	92.7089	
38.23423	91.90749	
38.33882	92.76155	
38.34542	92.02365	
38.44899	92.04578	
38.45663	92.19067	
38.5575	91.81499	
38.56405	92.16759	
38.66564	92.33768	
38.67472	92.06358	
38.77655	92.37466	
38.78301	92.025	
38.8869	92.1838	
38.89325	92.39613	
38.99433	92.20253	
39.00058	92.11736	
39.10539	92.09655	
39.11264	92.28447	
39.21333	92.62231	
39.21955	92.254	
39.3226	92.51675	
39.32886	92.09566	
39.43316	91.9136	
39.43974	92.09754	
39.54205	91.78245	
39.54802	92.07635	
39.65081	92.41644	
39.6596	92.03345	
39.76187	92.15226	
39.76942	91.94291	
39.86918	91.70665	
39.87764	91.96703	
39.98033	91.86366	
39.9867	92.03687	
40.09103	91.93388	
40.09757	91.99293	
40.19643	91.8935	
40.20257	92.02115	
40.3079	92.1255	
40.31544	92.18061	
40.41879	92.20493	
40.42519	92.00584	
40.52671	92.02895	
40.53308	91.96146	
40.63742	92.44718	
40.64369	91.6713	
40.748	91.95307	
40.75422	91.5715	
40.85458	91.35477	
40.86214	91.75787	
40.96585	91.96541	
40.9722	91.77895	
41.077	92.45663	
41.08336	91.97722	
41.18437	92.07543	
41.19034	92.04021	
41.29268	92.20568	
41.30205	92.20722	
41.40179	92.12119	
41.40808	91.73443	
41.51209	92.14762	
41.51846	92.08167	
41.62188	92.02325	
41.62802	92.11548	
41.73347	92.04867	
41.74217	91.87269	
41.84542	92.01084	
41.85192	91.80685	
41.95247	92.10988	
41.95881	91.85216	
42.06102	91.87112	
42.06704	91.88959	
42.17325	91.69882	
42.17957	91.95663	
42.28285	91.97	
42.28877	91.95808	
42.39124	92.04334	
42.39766	92.05743	
42.50149	92.39866	
42.50797	91.99734	
42.60936	92.30199	
42.61572	91.94246	
42.71949	91.56875	
42.72849	91.88403	
42.82858	91.59649	
42.83482	91.81992	
42.93812	92.07575	
42.94446	91.83449	
43.04681	91.87079	
43.05302	91.58644	
43.16063	91.65086	
43.16698	91.92078	
43.26991	91.73486	
43.27606	91.78822	
43.38053	91.6685	
43.38655	91.5089	
43.4881	91.65917	
43.49434	91.71714	
43.59873	91.76182	
43.60566	91.88471	
43.70991	91.96677	
43.71627	91.70705	
43.81753	91.64216	
43.82377	91.2752	
43.9278	91.69327	
43.93402	91.59295	
44.03621	91.7586	
44.04347	91.46616	
44.14777	91.45763	
44.154	91.66333	
44.25606	91.5632	
44.26243	91.70634	
44.3655	91.77367	
44.37181	91.86251	
44.47655	91.94612	
44.48304	91.70079	
44.58404	91.68288	
44.59047	92.04695	
44.69267	91.91093	
44.69883	91.99745	
44.80343	91.91779	
44.8098	91.69682	
44.91326	91.58106	
44.91953	91.81466	
45.02085	91.59185	
45.02732	91.57644	
45.13126	91.59155	
45.13769	91.71133	
45.24021	91.85494	
45.2466	91.62991	
45.3503	91.7236	
45.35658	91.56519	
45.46048	91.69559	
45.46722	91.72657	
45.56851	91.56387	
45.57489	91.65209	
45.67902	91.84737	
45.68522	91.6242	
45.78694	91.70797	
45.79317	91.63009	
45.89719	91.84776	
45.90356	91.94336	
46.00651	91.82867	
46.01274	91.70044	
46.11618	91.50588	
46.12249	91.43259	
46.22507	91.57127	
46.23145	91.40209	
46.33399	91.59108	
46.34006	91.33936	
46.4425	91.48276	
46.44915	91.45553	
46.5526	91.43245	
46.55888	91.47413	
46.6618	91.36838	
46.6681	91.41305	
46.77044	91.5537	
46.77672	91.42316	
46.88229	91.4392	
46.88882	91.6475	
46.99109	91.37567	
46.99758	91.72595	
47.09917	91.59891	
47.10585	91.3079	
47.21095	91.65501	
47.2179	91.32345	
47.31848	91.40501	
47.32475	91.30386	
47.4287	91.24928	
47.43457	91.62771	
47.53791	91.55502	
47.54414	91.66073	
47.64849	91.63352	
47.65479	91.48156	
47.75634	91.69014	
47.76453	91.38155	
47.86691	91.67982	
47.8736	91.70109	
47.97612	91.58075	
47.98299	91.78338	
48.08949	91.69106	
48.09567	91.39791	
48.19811	91.88728	
48.20443	91.73642	
48.30764	91.56113	
48.31608	91.46327	
48.41537	91.4055	
48.42154	91.57664	
48.52621	91.43118	
48.5326	91.41273	
48.63745	91.38998	
48.64349	91.35175	
48.74493	91.47666	
48.75393	91.41993	
48.85351	91.5551	
48.86214	91.43256	
48.96494	91.55798	
48.97119	91.47079	
49.07312	91.60818	
49.07975	91.30622	
49.18347	91.65587	
49.18973	91.58147	
49.29319	91.66521	
49.29948	91.72988	
49.40099	91.28803	
49.40726	91.39008	
49.51216	91.17047	
49.51901	91.16219	
49.62022	91.32848	
49.62646	91.19485	
49.72904	91.23946	
49.73539	90.95013	
49.83965	91.19695	
49.846	91.23257	
49.94767	91.03639	
49.9556	91.43249	
50.0604	91.22271	
50.06679	91.43684	
50.16889	91.43806	
50.17495	91.09992	
50.279	91.64487	
50.28525	91.22327	
50.38766	91.15047	
50.39421	91.25775	
50.49605	90.68086	
50.50408	90.9079	
50.60682	90.93061	
50.61336	90.85263	
50.71687	91.33129	
50.72337	90.9407	
50.82537	91.04577	
50.83164	90.99068	
50.93309	91.02099	
50.93967	91.38534	
51.04303	91.4038	
51.05056	91.521	
51.1546	91.32851	
51.16131	91.17043	
51.26574	91.2935	
51.27203	91.36687	
51.37173	91.10197	
51.37759	91.6155	
51.48315	91.2873	
51.48932	91.2506	
51.59137	91.37124	
51.59798	91.06065	
51.70277	91.30434	
51.70983	91.18834	
51.81139	91.29349	
51.81774	91.03195	
51.92087	91.23902	
51.92743	91.07107	
52.02933	91.29379	
52.03551	91.14546	
52.14136	91.26575	
52.14771	91.42544	
52.24963	91.23952	
52.25617	91.44768	
52.36021	91.32774	
52.36647	91.11181	
52.46816	91.32452	
52.47425	91.21571	
52.5785	91.05136	
52.58485	91.17252	
52.68998	91.2473	
52.6963	91.20056	
52.79706	91.25982	
52.80299	91.09231	
52.9047	90.92915	
52.9112	91.20432	
53.01601	91.14429	
53.02198	91.35017	
53.12556	91.24909	
53.13209	91.13927	
53.23411	91.24923	
53.24037	90.93169	
53.34348	91.13637	
53.3498	90.79411	
53.45304	91.16932	
53.45921	91.01775	
53.56508	90.621	
53.57127	90.72111	
53.67357	91.18442	
53.6805	90.77958	
53.78239	90.96681	
53.78866	90.91016	
53.89127	91.0826	
53.89749	90.87708	
54.00204	91.12117	
54.00862	91.097	
54.11057	90.92387	
54.1168	90.91743	
54.22009	91.46635	
54.22655	90.85849	
54.33146	91.24743	
54.33769	90.96069	
54.4398	90.70997	
54.44613	90.79799	
54.5504	90.73533	
54.55677	90.63239	
54.65925	90.82655	
54.66587	90.91897	
54.76965	91.27269	
54.77565	90.61474	
54.88161	91.09666	
54.88843	90.95364	
54.9889	90.99079	
54.99519	91.24235	
55.09805	91.4681	
55.10435	90.98824	
55.2107	91.16551	
55.21762	91.14587	
55.31758	90.98032	
55.32383	91.27783	
55.42609	90.70577	
55.43223	91.0604	
55.53763	90.74534	
55.5442	90.8968	
55.64537	90.98371	
55.65151	90.76887	
55.75674	90.95428	
55.76316	90.89915	
55.86706	90.82958	
55.87363	90.9598	
55.9741	90.978	
55.98048	91.12678	
56.0848	91.09227	
56.09321	90.93423	
56.19439	91.10921	
56.20116	91.10354	
56.30402	91.11787	
56.31065	91.06871	
56.41342	91.0324	
56.42006	90.96815	
56.52501	91.02292	
56.53192	90.92155	
56.63253	90.75649	
56.63841	90.7643	
56.7402	90.62666	
56.74677	90.48653	
56.85172	90.67309	
56.85825	90.82023	
56.96151	90.64663	
56.96753	90.5774	
57.06962	90.45549	
57.07568	90.58264	
57.1802	90.71894	
57.18703	90.54485	
57.29081	90.97868	
57.29678	90.92559	
57.39974	90.96935	
57.40605	90.95357	
57.50881	90.98121	
57.51541	90.71508	
57.61844	90.6011	
57.62468	90.55943	
57.72922	90.73774	
57.73563	90.60215	
57.83832	90.8081	
57.84462	90.4512	
57.95118	90.6339	
57.95774	90.92633	
58.05956	90.79063	
58.06577	90.77754	
58.16993	90.91051	
58.17635	90.65585	
58.2804	90.90865	
58.2873	90.7888	
58.38873	90.82996	
58.39556	90.8843	
58.4992	90.88813	
58.50795	90.61829	
58.60857	90.87919	
58.61491	90.54819	
58.7192	90.81696	
58.72548	90.57922	
58.82698	90.7647	
58.83319	90.89162	
58.93755	90.64325	
58.94427	91.04102	
59.04876	90.77789	
59.05481	90.78368	
59.15713	90.90831	
59.16363	90.87804	
59.26516	91.00341	
59.27419	90.75616	
59.37935	91.03024	
59.38779	90.80954	
59.48804	90.66261	
59.49458	90.42736	
59.59958	90.71283	
59.6074	90.49429	
59.70903	90.77167	
59.71489	90.58783	
59.81884	90.65137	
59.82494	90.48941	
59.92717	90.6284	
59.93341	90.57515	
60.03908	90.63155	
60.04675	90.51952	
60.1466	90.6401	
60.1552	90.56151	
60.2552	90.64619	
60.26123	90.84195	
60.36502	90.4361	
60.37173	90.53111	
60.476	90.73337	
60.48225	90.48333	
60.58441	90.24551	
60.59088	90.29842	
60.69428	90.34967	
60.70094	90.33301	
60.80597	90.36451	
60.81225	90.28954	
60.91219	90.46749	
60.92354	90.41543	
61.02628	90.55307	
61.03549	90.47022	
61.14081	90.12842	
61.14933	90.38091	
61.24918	90.64497	
61.25813	90.5993	
61.3609	90.90261	
61.36699	90.43343	
61.46651	90.66247	
61.47599	90.45683	
61.57821	90.2419	
61.58477	90.51707	
61.68836	90.39926	
61.69582	90.41344	
61.79533	90.40593	
61.80252	90.53738	
61.90762	90.68223	
61.91629	90.22587	
62.01534	90.72612	
62.02148	90.38505	
62.1258	90.71717	
62.1322	90.32774	
62.2357	90.51442	
62.2417	90.37757	
62.34404	90.55766	
62.35028	90.28761	
62.45466	90.36716	
62.46134	90.17718	
62.56371	90.20302	
62.57258	90.57638	
62.67817	90.22008	
62.68601	90.38912	
62.78474	90.38425	
62.79345	90.48985	
62.89539	90.58944	
62.90171	90.36385	
63.00452	90.61098	
63.01108	90.41	
63.11549	90.25518	
63.12182	90.3714	
63.22499	90.32355	
63.23127	90.72785	
63.33327	90.15221	
63.33965	90.5508	
63.4444	90.08556	
63.45077	90.23339	
63.55235	90.38776	
63.55843	90.27706	
63.66169	90.23573	
63.66805	90.37869	
63.7715	90.35461	
63.77813	90.25644	
63.88216	90.46437	
63.88857	90.47305	
63.99068	90.33914	
63.99713	90.41285	
64.10076	90.26402	
64.10699	90.23432	
64.21112	90.45918	
64.21837	90.46475	
64.32076	89.98939	
64.327	90.17693	
64.43008	89.98312	
64.43668	89.81029	
64.54227	90.08029	
64.55125	90.04198	
64.6524	90.22427	
64.65885	89.99712	
64.76387	90.30052	
64.77023	90.20568	
64.87227	89.97051	
64.87868	90.28419	
64.98303	90.14323	
64.98923	89.91432	
65.09226	90.12009	
65.09853	89.97746	
65.20074	90.05544	
65.20773	90.07257	
65.31037	89.83735	
65.3167	90.05316	
65.42118	89.98031	
65.42738	90.29569	
65.52878	89.89676	
65.53565	90.02908	
65.63897	90.38432	
65.64606	89.96412	
65.74915	90.63977	
65.75531	89.96994	
65.85713	90.07241	
65.86356	90.31462	
65.97002	90.11573	
65.9765	90.56277	
66.07945	90.42562	
66.08556	90.15855	
66.18789	90.06406	
66.19424	89.85255	
66.29704	90.20224	
66.3035	90.00751	
66.40665	89.8774	
66.41471	90.18546	
66.51727	90.15678	
66.52366	90.13309	
66.62955	90.23293	
66.63596	90.08505	
66.73926	90.28589	
66.74546	90.23098	
66.84811	90.1571	
66.85429	90.46844	
66.95828	90.26624	
66.96455	90.26373	
67.06894	90.16409	
67.07563	90.03864	
67.17754	89.92023	
67.18385	89.96398	
67.28625	90.30101	
67.29237	89.96207	
67.39368	90.3381	
67.40067	90.06853	
67.50631	90.3703	
67.5124	90.21879	
67.61387	90.04514	
67.62006	90.19976	
67.72446	89.9993	
67.7308	90.34969	
67.83491	89.97714	
67.84187	90.0811	
67.94449	89.81355	
67.95116	89.83328	
68.05319	89.98093	
68.05935	89.85883	
68.16116	90.01818	
68.16766	89.95364	
68.27207	90.00195	
68.28059	90.09452	
68.3819	90.00534	
68.38863	90.09692	
68.48936	90.16988	
68.49571	89.93006	
68.59969	90.17393	
68.6058	89.95276	
68.71101	90.31537	
68.719	90.13689	
68.82126	89.82466	
68.82764	90.16426	
68.93039	89.93973	
68.93716	90.146	
69.03778	90.26846	
69.0489	90.19048	
69.1489	90.21857	
69.15475	90.27052	
69.25781	90.828	
69.26426	90.54604	
69.36841	90.8618	
69.37676	91.0419	
69.47626	91.3294	
69.48534	91.29476	
69.58916	91.27525	
69.59551	91.39692	
69.69527	91.6232	
69.7013	91.58667	
69.80479	91.87567	
69.81136	91.80782	
69.9157	92.03654	
69.92605	91.75665	
70.02487	92.11573	
70.03121	91.70187	
70.13461	92.31321	
70.14324	92.57458	
70.24447	92.02255	
70.25156	92.38648	
70.35518	92.54824	
70.3611	92.1861	
70.46131	92.40465	
70.46769	92.30196	
70.57327	92.5013	
70.58047	92.53781	
70.68228	92.32505	
70.68858	92.54421	
70.79179	92.61991	
70.79794	92.66525	
70.90142	93.05128	
70.90972	92.91325	
71.01016	93.21397	
71.01644	93.12657	
71.12443	93.39021	
71.13068	93.23676	
71.23452	93.64474	
71.24191	93.67244	
71.34539	93.56184	
71.35207	93.76891	
71.45236	93.86671	
71.4585	94.11446	
71.56289	94.50249	
71.57153	94.6368	
71.67258	95.23119	
71.67934	95.27677	
71.78462	96.0303	
71.79089	96.1876	
71.8912	97.27029	
71.90369	97.68702	
72.00404	99.08076	
72.01039	99.84077	
72.11671	101.9728	
72.12301	102.8325	
72.22697	105.8972	
72.23434	106.5576	
72.33478	110.7843	
72.341	111.5328	
72.44508	116.8864	
72.45134	117.5742	
72.55485	123.0515	
72.56316	124.3558	
72.66512	129.2735	
72.67141	130.3363	
72.77363	135.2185	
72.77969	135.7353	
72.88234	139.5324	
72.89043	140.1626	
72.99199	143.4772	
72.99812	143.7587	
73.10175	146.1828	
73.11118	146.6752	
73.21116	148.5108	
73.21777	149.1194	
73.31936	151.092	
73.32542	151.2502	
73.42779	152.6472	
73.43463	152.7428	
73.53856	154.1717	
73.54482	154.2279	
73.64927	155.4778	
73.65529	155.4658	
73.75906	156.3455	
73.76859	156.3758	
73.872	157.3936	
73.87826	157.5743	
73.98175	157.7106	
73.98788	157.9462	
74.09233	158.5424	
74.1011	158.7438	
74.20659	159.0417	
74.21281	159.1021	
74.31971	159.2608	
74.32637	159.6256	
74.42925	159.7984	
74.43573	160.0419	
74.53654	160.3788	
74.54274	160.3391	
74.64738	160.8785	
74.65347	160.7699	
74.75903	161.1599	
74.76548	161.3224	
74.86827	161.0549	
74.87508	161.3553	
74.97934	161.3177	
74.98545	161.3693	
75.08965	161.7107	
75.09701	161.8443	
75.20159	162.0055	
75.20797	162.0322	
75.31241	162.424	
75.31868	162.4815	
75.42575	162.602	
75.43207	162.7389	
75.53397	162.8607	
75.54058	163.1759	
75.64275	163.337	
75.64872	163.2687	
75.75467	163.0159	
75.76102	163.352	
75.86698	163.5666	
75.87354	163.4811	
75.97554	163.5142	
75.98466	163.6949	
76.08887	163.681	
76.0955	163.9745	
76.19927	163.935	
76.20538	164.0289	
76.31303	164.1144	
76.31948	164.1477	
76.42247	164.3007	
76.42986	164.4261	
76.53344	164.2725	
76.53976	164.1887	
76.64545	164.1846	
76.6517	164.1579	
76.75931	164.3107	
76.76541	164.2944	
76.8675	164.3666	
76.87385	164.4768	
76.97833	164.5837	
