Project Name,ECD 1_2:Concentration,ECD 2_5:Concentration,ECD 5_10:Concentration,ECD 10_25:Concentration,ECD 25_70:Concentration,ECD ge70:Concentration,MFD ge70:Concentration,MFD ge125:Concentration
2023_07_25_Bot_ETH_53-Run028,656,371,47,22,6.7,0.0,2.3,2.3
2023_07_25_Bot_ETH_53-Run039,698,283,31,11,4.5,0.0,2.3,0.0
