Project Name,ECD 1_2:Concentration,ECD 2_5:Concentration,ECD 5_10:Concentration,ECD 10_25:Concentration,ECD 25_70:Concentration,ECD ge70:Concentration,MFD ge70:Concentration,MFD ge125:Concentration
2023_07_25_Bot_ETH_50-Run025,38,9.0,2.3,0.0,0.0,0.0,0.0,0.0
2023_07_25_Bot_ETH_50-Run036,290,34,2.3,0.0,0.0,0.0,0.0,0.0
