RAW,ECD 1_2:Concentration,ECD 2_5:Concentration,ECD 5_10:Concentration,ECD 10_25:Concentration,ECD 25_70:Concentration,ECD ge70:Concentration,MFD ge70:Concentration,MFD ge125:Concentration
MQH20 200r 10m D3,999.95,289.87,11.24,2.25,0,0,0,0
MQH20 200r 10m D3,954.48,233.57,6.74,2.25,0,0,0,0
