Project Name,ECD 1_2:Concentration,ECD 2_5:Concentration,ECD 5_10:Concentration,ECD 10_25:Concentration,ECD 25_70:Concentration,ECD ge70:Concentration,MFD ge70:Concentration,MFD ge125:Concentration
2023_07_25_Bot_ETH_54-Run029,94,74,13,6.7,0.0,0.0,0.0,0.0
2023_07_25_Bot_ETH_54-Run040,301,128,45,29,2.3,0.0,2.3,0.0
