RAW,ECD 1_2:Concentration,ECD 2_5:Concentration,ECD 5_10:Concentration,ECD 10_25:Concentration,ECD 25_70:Concentration,ECD ge70:Concentration,MFD ge70:Concentration,MFD ge125:Concentration
MQH20 200r 10m A1,1336.98,507.28,20.29,13.53,2.25,2.25,4.51,2.25
MQH20 200r 10m A1,1228.07,466.44,36.05,4.51,2.25,0,2.25,0
