Project Name,ECD 1_2:Concentration,ECD 2_5:Concentration,ECD 5_10:Concentration,ECD 10_25:Concentration,ECD 25_70:Concentration,ECD ge70:Concentration,MFD ge70:Concentration,MFD ge125:Concentration
2023_07_25_Bot_ETH_59-Run034,618,9.0,2.3,0.0,0.0,0.0,0.0,0.0
2023_07_25_Bot_ETH_59-Run045,434,155,43,6.7,0.0,0.0,0.0,0.0
