RAW,ECD 1_2:Concentration,ECD 2_5:Concentration,ECD 5_10:Concentration,ECD 10_25:Concentration,ECD 25_70:Concentration,ECD ge70:Concentration,MFD ge70:Concentration,MFD ge125:Concentration
MQH20 B,65.24,22.5,6.75,0,0,0,0,0
MQH20 B,33.69,24.7,2.25,0,0,0,0,0
