RAW,ECD 1_2:Concentration,ECD 2_5:Concentration,ECD 5_10:Concentration,ECD 10_25:Concentration,ECD 25_70:Concentration,ECD ge70:Concentration,MFD ge70:Concentration,MFD ge125:Concentration
MQH20 200r 10m C1,7709.11,1874.94,121.55,2.25,0,0,0,0
MQH20 200r 10m C1,7060.91,1590.05,76.36,0,0,0,0,0
