T[°C]	350nm [counts / mm]	S.D.
29.98115	2472.818	62.50342
30.0351	2467.386	65.01754
30.08905	2469.25	64.08165
30.143	2466.266	59.8993
30.19695	2461.784	59.04701
30.2509	2462.158	64.769
30.30485	2457.817	62.91079
30.3588	2451.447	65.85124
30.41275	2454.175	65.42912
30.4667	2456.903	65.6736
30.52065	2452.067	66.70822
30.5746	2448.274	62.18881
30.62855	2446.002	59.20588
30.6825	2441.648	58.54686
30.73645	2440.501	61.08884
30.7904	2441.567	63.54724
30.84435	2441.844	63.13172
30.8983	2439.797	63.01697
30.95225	2434.764	62.33158
31.0062	2433.768	64.16747
31.06015	2431.421	66.36996
31.1141	2428.63	64.68842
31.16805	2426.661	59.85234
31.222	2424.358	60.47804
31.27595	2421.875	61.01597
31.3299	2422.38	59.09829
31.38384	2417.682	52.85213
31.4378	2416.655	55.89926
31.49174	2409.331	58.81584
31.54569	2407.687	61.63671
31.59964	2408.641	59.78902
31.65359	2408.026	57.08512
31.70754	2404.329	55.02967
31.76149	2406.518	59.34431
31.81544	2402.341	58.51576
31.86939	2401.762	67.1855
31.92334	2397.763	60.1325
31.97729	2398.691	59.30281
32.03124	2393.177	61.49764
32.08519	2391.585	63.19355
32.13914	2390.272	60.59233
32.19309	2390.816	66.37841
32.24704	2386.251	58.02618
32.30099	2385.406	58.01483
32.35494	2380.225	53.43687
32.40889	2380.72	57.11665
32.46284	2375.823	60.47768
32.51679	2376.2	57.87125
32.57074	2377.188	55.67791
32.62469	2373.355	54.54699
32.67864	2367.453	60.82935
32.73259	2365.415	57.30623
32.78654	2364.946	60.15535
32.84049	2363.247	58.46218
32.89444	2361.606	58.53056
32.94839	2364.711	55.64856
33.00234	2354.105	60.97959
33.05629	2356.415	60.99366
33.11024	2352.59	57.5729
33.16419	2353.508	59.71064
33.21814	2354.551	55.69816
33.27209	2348.823	54.96357
33.32604	2346.909	56.35263
33.37999	2344.857	57.63458
33.43394	2341.521	55.12012
33.48789	2339.455	56.53435
33.54184	2334.25	64.61951
33.59579	2333.639	60.5033
33.64974	2334.519	60.37498
33.70369	2332.558	58.93441
33.75764	2328.81	59.97382
33.81159	2328.151	60.38628
33.86554	2325.708	63.17686
33.91949	2323.792	61.40435
33.97343	2318.169	64.65604
34.02739	2316.404	62.81847
34.08134	2317.632	62.99007
34.13528	2313.128	62.51262
34.18924	2309.336	54.95346
34.24319	2309.606	57.20502
34.29713	2310.474	56.30557
34.35109	2306.812	57.22596
34.40503	2303.606	60.69081
34.45898	2302.474	59.05592
34.51294	2301.345	55.85335
34.56688	2301.573	56.52308
34.62083	2296.86	57.62418
34.67479	2292.79	57.24287
34.72873	2293.144	58.66759
34.78268	2294.068	57.73691
34.83663	2293.894	56.60155
34.89058	2288.157	58.64328
34.94453	2285.771	56.55547
34.99848	2282.64	53.32927
35.05243	2281.838	52.83795
35.10638	2280.229	57.86685
35.16033	2278.219	58.81387
35.21428	2277.75	56.30742
35.26823	2276.284	55.82731
35.32218	2272.025	54.11304
35.37613	2272.176	52.79185
35.43008	2271.623	53.9158
35.48403	2271.012	57.3819
35.53798	2261.717	55.68167
35.59193	2260.848	57.22203
35.64588	2262.527	57.0703
35.69983	2259.333	57.01217
35.75378	2258.181	55.45008
35.80773	2258.381	57.36388
35.86168	2251.707	54.31772
35.91563	2253.564	52.86411
35.96958	2250.663	58.74598
36.02353	2250.87	59.36776
36.07748	2246.734	59.91965
36.13143	2244.157	58.83119
36.18538	2241.133	55.25948
36.23933	2239.637	53.93399
36.29328	2234.781	58.0463
36.34723	2233.993	55.51013
36.40118	2227.783	57.32952
36.45513	2229.605	56.17707
36.50908	2226.414	56.1909
36.56303	2227.058	56.86081
36.61698	2225.46	54.32578
36.67093	2221.904	51.56396
36.72488	2217.68	53.56912
36.77883	2220.001	54.26398
36.83278	2217.814	51.84378
36.88673	2219.467	55.20586
36.94068	2214.612	54.80764
36.99463	2213.992	56.44366
37.04858	2211.05	58.30838
37.10253	2209.651	58.10153
37.15648	2205.929	55.00891
37.21043	2203.124	52.4986
37.26437	2201.147	58.49942
37.31833	2201.395	53.46825
37.37228	2196.954	54.82856
37.42622	2194.937	54.74266
37.48018	2194.738	55.27985
37.53412	2191.939	53.33149
37.58807	2187.064	53.21954
37.64202	2186.955	56.12372
37.69597	2184.678	56.70788
37.74992	2186.11	52.36271
37.80387	2182.303	52.43781
37.85782	2182.11	55.20032
37.91177	2178.537	56.32845
37.96572	2176.926	58.113
38.01967	2174.534	59.79952
38.07362	2175.47	59.07672
38.12757	2170.529	58.6522
38.18152	2170.919	55.87411
38.23547	2167.452	52.81336
38.28942	2164.979	53.00853
38.34337	2163.306	54.05502
38.39732	2162.539	52.8268
38.45127	2160.444	51.92628
38.50522	2156.739	52.95517
38.55917	2157.081	52.11574
38.61312	2153.486	52.76217
38.66707	2150.878	53.17479
38.72102	2149.981	51.36339
38.77497	2150.625	52.51126
38.82892	2147.838	53.91313
38.88287	2144.857	54.86937
38.93682	2145.261	54.03559
38.99077	2142.958	54.71241
39.04472	2139.144	54.32851
39.09867	2135.205	51.19211
39.15262	2133.039	54.16346
39.20657	2136.939	50.34691
39.26052	2130.724	50.99038
39.31447	2133.415	50.6561
39.36842	2127.695	48.90095
39.42237	2130.438	46.27442
39.47632	2121.675	56.20395
39.53027	2121.967	52.09576
39.58422	2119.869	51.29631
39.63817	2118.098	50.92645
39.69212	2113.66	50.24011
39.74607	2111.74	52.54786
39.80002	2110.284	49.82867
39.85397	2113.141	49.59412
39.90792	2106.571	51.17076
39.96186	2104.883	51.35453
40.01582	2101.676	51.90173
40.06977	2105.47	51.31193
40.12371	2100.859	52.68856
40.17767	2100.764	51.19878
40.23162	2097.083	54.54171
40.28556	2099.373	54.75162
40.33952	2093.113	53.86656
40.39346	2095.014	54.70849
40.44741	2091.433	52.05283
40.50137	2092.734	53.67096
40.55531	2085.778	55.10506
40.60926	2086.51	50.8512
40.66322	2083.575	49.78331
40.71716	2082.783	51.897
40.77111	2077.792	49.91392
40.82506	2077.466	51.0196
40.87901	2072.011	54.20672
40.93296	2070.906	53.22658
40.98691	2065.693	52.59961
41.04086	2066.742	50.16866
41.09481	2065.213	49.94055
41.14876	2065.664	47.77067
41.20271	2062.705	50.18934
41.25666	2061.356	50.9222
41.31061	2056.138	53.94763
41.36456	2058.168	52.28566
41.41851	2055.352	48.2827
41.47246	2054.187	49.00423
41.52641	2051.2	50.7059
41.58036	2049.613	51.39441
41.63431	2047.024	49.62005
41.68826	2046.458	46.49015
41.74221	2045.744	46.32667
41.79616	2044.635	47.52582
41.85011	2042.503	46.93039
41.90406	2040.198	47.09295
41.95801	2039.241	49.53354
42.01196	2035.501	49.40494
42.06591	2034.329	48.62435
42.11986	2031.386	50.94381
42.17381	2031.66	52.05777
42.22776	2029.948	51.93864
42.28171	2031.283	55.08171
42.33566	2026.415	50.44923
42.38961	2023.186	50.72839
42.44356	2020.835	50.08985
42.49751	2021.601	48.75704
42.55146	2018.132	53.60483
42.60541	2019.835	54.3875
42.65936	2013.963	45.6769
42.71331	2013.183	48.10438
42.76726	2009.003	52.46491
42.82121	2009.315	50.9249
