X Lag Time,Record 1: JJ1_01mg_PS8_500ug_200rpm_10-00min_ST_No1 1,Record 2: JJ1_01mg_PS8_500ug_200rpm_10-00min_ST_No1 2,Record 3: JJ1_01mg_PS8_500ug_200rpm_10-00min_ST_No1 3,X Intensity,Record 1: JJ1_01mg_PS8_500ug_200rpm_10-00min_ST_No1 1,Record 2: JJ1_01mg_PS8_500ug_200rpm_10-00min_ST_No1 2,Record 3: JJ1_01mg_PS8_500ug_200rpm_10-00min_ST_No1 3
0.5,0.833,0.84,0.829,0.4,0,0,0
1,0.813,0.821,0.814,0.463,0,0,0
1.5,0.799,0.807,0.79,0.536,0,0,0
2,0.781,0.788,0.777,0.621,0,0,0
2.5,0.765,0.773,0.757,0.719,0,0,0
3,0.748,0.76,0.75,0.833,0,0,0
3.5,0.732,0.743,0.734,0.965,0,0,0
4,0.724,0.729,0.719,1.12,0,0,0
4.5,0.708,0.718,0.706,1.29,0,0,0
5.5,0.682,0.692,0.68,1.5,0,0,0
6.5,0.66,0.672,0.662,1.74,0,0,0
7.5,0.638,0.654,0.639,2.01,0,0,0
8.5,0.617,0.634,0.62,2.33,0,0,0
9.5,0.597,0.617,0.599,2.7,0,0,0
10.5,0.58,0.599,0.582,3.12,0,0,0
11.5,0.559,0.58,0.567,3.62,0,0,0
12.5,0.546,0.567,0.551,4.19,0,0,0
14.5,0.516,0.536,0.521,4.85,0,0,0
16.5,0.487,0.509,0.492,5.61,0,0,0
18.5,0.461,0.484,0.466,6.5,0,0,0
20.5,0.437,0.459,0.443,7.53,0.685,0.771,0.749
22.5,0.417,0.438,0.421,8.72,3.11,3.3,3.27
24.5,0.393,0.416,0.4,10.1,6.58,6.86,6.82
26.5,0.375,0.398,0.382,11.7,9.79,10.1,10
28.5,0.358,0.381,0.365,13.5,11.6,11.7,11.7
32.5,0.324,0.349,0.332,15.7,11.5,11.1,11.4
36.5,0.296,0.322,0.304,18.2,9.57,8.68,9.24
40.5,0.273,0.298,0.28,21,6.55,5.29,6.08
44.5,0.251,0.276,0.259,24.4,3.42,2.19,2.98
48.5,0.231,0.257,0.241,28.2,1.08,0.359,0.828
52.5,0.215,0.24,0.224,32.7,0.00404,0,0
56.5,0.2,0.225,0.209,37.8,0,0,0
60.5,0.188,0.211,0.197,43.8,0,0,0
68.5,0.167,0.19,0.173,50.7,0,0,0
76.5,0.149,0.172,0.157,58.8,0,0,0
84.5,0.133,0.157,0.143,68.1,0,0,0
92.5,0.121,0.146,0.132,78.8,0,0,0
101,0.112,0.136,0.122,91.3,0.287,0,0.0592
109,0.105,0.127,0.114,106,0.994,0.112,0.524
117,0.0978,0.12,0.108,122,2.02,0.724,1.4
125,0.0919,0.114,0.101,142,3.14,1.8,2.51
141,0.0815,0.104,0.0911,164,4.13,3.09,3.61
157,0.0748,0.0966,0.0839,190,4.79,4.3,4.47
173,0.0695,0.0912,0.0773,220,4.99,5.16,4.94
189,0.0627,0.0864,0.0727,255,4.73,5.52,4.95
