X Lag Time,Record 4: JJ1_01mg_PO1_050ug_200rpm_10-00min_ST_No1_230613 1,Record 5: JJ1_01mg_PO1_050ug_200rpm_10-00min_ST_No1_230613 2,Record 6: JJ1_01mg_PO1_050ug_200rpm_10-00min_ST_No1_230613 3,X Intensity,Record 4: JJ1_01mg_PO1_050ug_200rpm_10-00min_ST_No1_230613 1,Record 5: JJ1_01mg_PO1_050ug_200rpm_10-00min_ST_No1_230613 2,Record 6: JJ1_01mg_PO1_050ug_200rpm_10-00min_ST_No1_230613 3
0.5,0.817,0.81,0.792,0.4,0,0,0
1,0.793,0.791,0.775,0.463,0,0,0
1.5,0.777,0.77,0.755,0.536,0,0,0
2,0.755,0.756,0.737,0.621,0,0,0
2.5,0.739,0.741,0.722,0.719,0,0,0
3,0.729,0.725,0.711,0.833,0,0,0
3.5,0.715,0.713,0.694,0.965,0,0,0
4,0.697,0.695,0.681,1.12,0,0,0
4.5,0.687,0.683,0.672,1.29,0,0,0
5.5,0.661,0.656,0.648,1.5,0,0,0
6.5,0.64,0.635,0.627,1.74,0,0,0
7.5,0.621,0.617,0.605,2.01,0,0,0
8.5,0.603,0.596,0.586,2.33,0,0,0
9.5,0.586,0.581,0.571,2.7,0,0,0
10.5,0.565,0.564,0.553,3.12,0,0,0
11.5,0.552,0.545,0.538,3.62,0,0,0
12.5,0.537,0.529,0.524,4.19,0,0,0
14.5,0.511,0.501,0.496,4.85,0,0,0
16.5,0.482,0.474,0.47,5.61,0,0,0
18.5,0.457,0.448,0.445,6.5,0,0,0
20.5,0.436,0.427,0.422,7.53,0.135,0.531,0.635
22.5,0.414,0.405,0.403,8.72,2.84,3.22,3.47
24.5,0.394,0.386,0.383,10.1,7.26,7.21,7.54
26.5,0.376,0.365,0.366,11.7,11.3,10.8,11.1
28.5,0.358,0.35,0.348,13.5,13.2,12.6,12.6
32.5,0.33,0.32,0.319,15.7,12.1,11.9,11.5
36.5,0.301,0.293,0.292,18.2,8.77,9.13,8.41
40.5,0.28,0.268,0.27,21,4.57,5.4,4.57
44.5,0.258,0.248,0.249,24.4,1.3,2.09,1.44
48.5,0.24,0.23,0.231,28.2,0,0.246,0
52.5,0.224,0.216,0.216,32.7,0,0,0
56.5,0.21,0.201,0.203,37.8,0,0,0
60.5,0.199,0.189,0.191,43.8,0,0,0
68.5,0.177,0.169,0.172,50.7,0,0,0
76.5,0.161,0.153,0.156,58.8,0,0,0
84.5,0.146,0.14,0.143,68.1,0,0,0
92.5,0.136,0.129,0.132,78.8,0,0,0
101,0.128,0.12,0.124,91.3,0,0,0
109,0.12,0.113,0.116,106,0,0,0
117,0.114,0.106,0.111,122,0,0.054,0
125,0.109,0.102,0.106,142,0.466,0.617,0.591
141,0.0997,0.0919,0.0958,164,1.62,1.68,1.82
