X Lag Time,Record 1: JJ1_01mg_PO1_100ug_200rpm_10-00min_ST_No3_230621 1,Record 2: JJ1_01mg_PO1_100ug_200rpm_10-00min_ST_No3_230621 2,Record 3: JJ1_01mg_PO1_100ug_200rpm_10-00min_ST_No3_230621 3,X Intensity,Record 1: JJ1_01mg_PO1_100ug_200rpm_10-00min_ST_No3_230621 1,Record 2: JJ1_01mg_PO1_100ug_200rpm_10-00min_ST_No3_230621 2,Record 3: JJ1_01mg_PO1_100ug_200rpm_10-00min_ST_No3_230621 3
0.5,0.777,0.785,0.793,0.4,0,0,0
1,0.757,0.761,0.77,0.463,0,0,0
1.5,0.735,0.739,0.748,0.536,0,0,0
2,0.723,0.723,0.736,0.621,0,0,0
2.5,0.707,0.708,0.715,0.719,0,0,0
3,0.691,0.692,0.704,0.833,0,0,0
3.5,0.678,0.679,0.689,0.965,0,0,0
4,0.666,0.665,0.677,1.12,0,0,0
4.5,0.654,0.652,0.664,1.29,0,0,0
5.5,0.63,0.627,0.642,1.5,0,0,0
6.5,0.609,0.607,0.619,1.74,0,0,0
7.5,0.587,0.584,0.597,2.01,0,0,0
8.5,0.568,0.566,0.583,2.33,0,0,0
9.5,0.552,0.549,0.565,2.7,0,0,0
10.5,0.532,0.533,0.547,3.12,0,0,0
11.5,0.519,0.515,0.531,3.62,0,0,0
12.5,0.504,0.501,0.517,4.19,0,0,0
14.5,0.474,0.472,0.488,4.85,0,0,0
16.5,0.45,0.446,0.462,5.61,0,0,0
18.5,0.425,0.421,0.437,6.5,0,0,0
20.5,0.405,0.399,0.414,7.53,0.166,0.387,1.12
22.5,0.384,0.379,0.393,8.72,2.55,3.09,4.05
24.5,0.366,0.358,0.376,10.1,6.56,7.33,7.84
26.5,0.349,0.342,0.357,11.7,10.5,11.3,11
28.5,0.333,0.325,0.342,13.5,12.7,13.3,12.3
32.5,0.301,0.295,0.313,15.7,12.4,12.5,11.2
36.5,0.276,0.27,0.287,18.2,9.79,9.5,8.3
40.5,0.254,0.246,0.264,21,5.93,5.39,4.6
44.5,0.235,0.227,0.244,24.4,2.36,1.82,1.51
48.5,0.218,0.211,0.226,28.2,0.313,0.00142,0
52.5,0.202,0.195,0.214,32.7,0,0,0
56.5,0.189,0.183,0.2,37.8,0,0,0
60.5,0.178,0.171,0.188,43.8,0,0,0
68.5,0.157,0.151,0.168,50.7,0,0,0
76.5,0.142,0.136,0.152,58.8,0,0,0
84.5,0.129,0.124,0.139,68.1,0,0,0
92.5,0.119,0.114,0.129,78.8,0,0,0
101,0.11,0.105,0.121,91.3,0,0,0
109,0.102,0.0977,0.113,106,0,0,0
117,0.0963,0.0914,0.108,122,0.129,0,0
125,0.092,0.0872,0.103,142,0.83,0.353,0.377
141,0.0848,0.0803,0.0953,164,2.05,1.29,1.35
157,0.0777,0.0747,0.0896,190,3.47,2.63,2.75
173,0.0733,0.0698,0.0843,220,4.73,4.01,4.2
189,0.07,0.0666,0.0804,255,5.52,5.07,5.33
205,0.0656,0.0639,0.0763,295,5.66,5.56,5.88
221,0.0619,0.062,0.0731,342,5.14,5.36,5.73
237,0.0609,0.0586,0.0698,396,4.11,4.55,4.95
253,0.0571,0.055,0.0663,459,2.81,3.35,3.72
285,0.0502,0.0492,0.0622,531,1.54,2.04,2.34
317,0.0456,0.0456,0.0579,615,0.583,0.932,1.13
349,0.0409,0.042,0.0527,712,0.0826,0.235,0.319
381,0.0388,0.0386,0.0491,825,0,0,0
413,0.035,0.0365,0.0465,955,0,0,0
445,0.0324,0.0331,0.0433,1.11E+03,0,0,0
477,0.031,0.0296,0.04,1.28E+03,0,0,0
509,0.0281,0.0273,0.0377,1.48E+03,0,0,0
573,0.0239,0.0242,0.0326,1.72E+03,0,0,0
637,0.0187,0.0201,0.0279,1.99E+03,0,0,0
701,0.0173,0.0172,0.0247,2.30E+03,0,0,0
765,0.0141,0.0133,0.0206,2.67E+03,0,0,0
829,0.0122,0.0108,0.0175,3.09E+03,0,0,0
893,0.0103,0.00839,0.0164,3.58E+03,0,0,0
957,0.00828,0.00743,0.0162,4.15E+03,0,0,0
1.02E+03,0.00796,0.00699,0.014,4.80E+03,0,0,0
1.15E+03,0.00477,0.00483,0.0109,5.56E+03,0,0,0
1.28E+03,0.00509,0.00436,0.00874,6.44E+03,0,0,0
1.40E+03,0.00386,0.00344,0.0072,7.46E+03,0,0,0
1.53E+03,0.00426,0.00192,0.00676,8.63E+03,0,0,0
1.66E+03,0.00327,0.00156,0.00607,,,,
1.79E+03,0.00333,0.00136,0.00518,,,,
1.92E+03,0.00204,0.00194,0.00489,,,,
2.04E+03,0.00178,0.00201,0.00501,,,,
2.30E+03,0.00207,0.00177,0.00559,,,,
2.56E+03,0.0018,0.000398,0.00534,,,,
2.81E+03,0.0015,0.000894,0.00402,,,,
3.07E+03,0.00169,0.00247,0.00369,,,,
3.32E+03,0.00133,0.00164,0.00265,,,,
3.58E+03,0.00125,0.0016,0.00289,,,,
3.84E+03,0.00108,0.00212,0.00309,,,,
4.09E+03,0.000894,0.00146,0.00335,,,,
4.60E+03,0.00138,0.00168,0.00366,,,,
5.12E+03,0.000835,0.00178,0.0047,,,,
5.63E+03,0.00148,0.00106,0.00328,,,,
6.14E+03,0.0014,0.00143,0.00315,,,,
6.65E+03,0.00201,0.000879,0.00368,,,,
7.16E+03,0.00138,0.00103,0.00454,,,,
7.68E+03,0.000134,0.00141,0.00338,,,,
8.19E+03,0.00102,0.00149,0.00316,,,,
9.21E+03,0.00168,0.000966,0.0026,,,,
1.02E+04,0.000919,0.00198,0.00367,,,,
1.13E+04,0.000709,0.00132,0.00429,,,,
1.23E+04,0.0013,0.00115,0.00357,,,,
1.33E+04,0.00121,0.00125,0.00397,,,,
1.43E+04,0.00163,0.00202,0.00399,,,,
1.54E+04,0.00163,0.00156,0.00405,,,,
1.64E+04,0.00158,0.000808,0.00447,,,,
1.84E+04,0.0014,0.000298,0.00449,,,,
2.05E+04,0.00124,0.000702,0.00463,,,,
2.25E+04,0.00176,0.0011,0.005,,,,
2.46E+04,0.00126,0.000991,0.00322,,,,
2.66E+04,0.00103,0.000558,0.00399,,,,
2.87E+04,0.00132,0.000712,0.00425,,,,
3.07E+04,0.00173,0.00125,0.00396,,,,
3.28E+04,0.00184,0.00103,0.0034,,,,
3.69E+04,0.000924,0.000776,0.00356,,,,
4.10E+04,0.000918,0.00144,0.00472,,,,
4.51E+04,0.00149,0.00117,0.00446,,,,
4.91E+04,0.00222,0.00114,0.0042,,,,
5.32E+04,0.00195,0.000775,0.00406,,,,
5.73E+04,0.000798,0.00129,0.00455,,,,
6.14E+04,0.00204,0.00104,0.00475,,,,
6.55E+04,0.0017,0.000885,0.00362,,,,
7.37E+04,0.00158,0.000781,0.00316,,,,
8.19E+04,0.00107,0.000699,0.00402,,,,
9.01E+04,0.00151,0.000882,0.00426,,,,
9.83E+04,0.000879,0.00097,0.0037,,,,
1.06E+05,0.000941,0.00133,0.00327,,,,
1.15E+05,0.00123,0.000772,0.00352,,,,
1.23E+05,0.00143,0.000706,0.00334,,,,
1.31E+05,0.000859,0.00049,0.00369,,,,
1.47E+05,0.000702,0.000708,0.00373,,,,
1.64E+05,0.000843,0.000902,0.0036,,,,
1.80E+05,0.000704,0.000616,0.00367,,,,
1.97E+05,0.000917,0.000396,0.00342,,,,
2.13E+05,0.000222,0.000222,0.00376,,,,
2.29E+05,0.000808,0.000905,0.00351,,,,
2.46E+05,0.000538,0.000727,0.00281,,,,
2.62E+05,0.000312,0.000523,0.00289,,,,
2.95E+05,0.000405,0.000348,0.00278,,,,
3.28E+05,0.00048,0.000243,0.00276,,,,
3.60E+05,0.000294,0.000211,0.0032,,,,
3.93E+05,0.000514,0.000479,0.00262,,,,
4.26E+05,0.000755,0.000509,0.00277,,,,
4.59E+05,0.000477,0.000364,0.00253,,,,
4.92E+05,0.000235,0.000535,0.0026,,,,
5.24E+05,0.000881,0.000248,0.00228,,,,
5.90E+05,0.0004,0,0.00184,,,,
