X Lag Time,Record 1: JJ1_01mg_PS2_250ug_200rpm_10-00min_PM_No1_230607 1,Record 2: JJ1_01mg_PS2_250ug_200rpm_10-00min_PM_No1_230607 2,Record 3: JJ1_01mg_PS2_250ug_200rpm_10-00min_PM_No1_230607 3,X Intensity,Record 1: JJ1_01mg_PS2_250ug_200rpm_10-00min_PM_No1_230607 1,Record 2: JJ1_01mg_PS2_250ug_200rpm_10-00min_PM_No1_230607 2,Record 3: JJ1_01mg_PS2_250ug_200rpm_10-00min_PM_No1_230607 3
0.5,0.816,0.82,0.823,0.4,0,0,0
1,0.803,0.808,0.807,0.463,0,0,0
1.5,0.788,0.793,0.791,0.536,0,0,0
2,0.773,0.779,0.775,0.621,0,0,0
2.5,0.759,0.764,0.76,0.719,0,0,0
3,0.746,0.755,0.746,0.833,0,0,0
3.5,0.735,0.741,0.732,0.965,0,0,0
4,0.72,0.729,0.722,1.12,0,0,0
4.5,0.712,0.718,0.712,1.29,0,0,0
5.5,0.693,0.699,0.694,1.5,0,0,0
6.5,0.674,0.682,0.672,1.74,0,0,0
7.5,0.659,0.663,0.656,2.01,0,0,0
8.5,0.643,0.648,0.636,2.33,0,0,0
9.5,0.627,0.633,0.624,2.7,0,0,0
10.5,0.61,0.617,0.606,3.12,0,0,0
11.5,0.598,0.603,0.593,3.62,0,0,0
12.5,0.585,0.591,0.579,4.19,0,0,0
14.5,0.558,0.566,0.553,4.85,0,0,0
16.5,0.536,0.543,0.528,5.61,0,0,0
18.5,0.515,0.521,0.507,6.5,0.00364,0,0
20.5,0.494,0.499,0.485,7.53,1.29,0.045,1.3
22.5,0.473,0.481,0.466,8.72,3.87,2.28,3.97
24.5,0.457,0.463,0.447,10.1,6.95,6.11,7.09
26.5,0.44,0.448,0.43,11.7,9.4,9.73,9.5
28.5,0.425,0.433,0.414,13.5,10.3,11.4,10.3
32.5,0.397,0.405,0.386,15.7,9.34,10.4,9.13
36.5,0.371,0.379,0.36,18.2,6.83,7.22,6.51
40.5,0.351,0.357,0.339,21,3.72,3.39,3.41
44.5,0.333,0.34,0.319,24.4,1.17,0.687,1
