X Lag Time,Record 1: JJmAb1_01mg_PS8_500ug_200rpm_10-00min_PM_No1 1,Record 2: JJmAb1_01mg_PS8_500ug_200rpm_10-00min_PM_No1 2,Record 3: JJmAb1_01mg_PS8_500ug_200rpm_10-00min_PM_No1 3,X Intensity,Record 1: JJmAb1_01mg_PS8_500ug_200rpm_10-00min_PM_No1 1,Record 2: JJmAb1_01mg_PS8_500ug_200rpm_10-00min_PM_No1 2,Record 3: JJmAb1_01mg_PS8_500ug_200rpm_10-00min_PM_No1 3
0.5,0.729,0.757,0.783,0.4,0,0,0
1,0.697,0.743,0.736,0.463,0,0,0
1.5,0.68,0.728,0.708,0.536,0,0,0
2,0.664,0.693,0.708,0.621,0,0,0
2.5,0.654,0.696,0.701,0.719,0,0,0
3,0.648,0.681,0.698,0.833,0,0,0
3.5,0.64,0.685,0.681,0.965,0,0,0
4,0.649,0.671,0.672,1.12,0,0,0
4.5,0.633,0.671,0.665,1.29,0,0,0
5.5,0.62,0.661,0.643,1.5,0,0,0
6.5,0.617,0.645,0.638,1.74,0,0,0
7.5,0.601,0.623,0.614,2.01,0,0,0
8.5,0.596,0.629,0.613,2.33,0,0,0
9.5,0.584,0.613,0.603,2.7,0,0,0
10.5,0.573,0.598,0.593,3.12,0,0,0
11.5,0.569,0.589,0.575,3.62,0,0,0
12.5,0.554,0.586,0.57,4.19,0,0,0
14.5,0.542,0.572,0.556,4.85,0,0,0
16.5,0.539,0.562,0.542,5.61,0,0,0
18.5,0.515,0.543,0.523,6.5,0,0,0
20.5,0.511,0.534,0.51,7.53,1.29,0,0
22.5,0.502,0.521,0.496,8.72,4.16,2.46,0
24.5,0.489,0.514,0.489,10.1,7.58,6.55,3.6
26.5,0.478,0.501,0.475,11.7,9.78,9.73,8.85
28.5,0.469,0.493,0.466,13.5,9.31,9.9,11.7
32.5,0.459,0.477,0.445,15.7,6.16,6.86,9.88
36.5,0.444,0.453,0.426,18.2,2.17,2.58,4.91
40.5,0.428,0.443,0.411,21,0,0,0.626
44.5,0.415,0.429,0.404,24.4,0,0,0
48.5,0.411,0.421,0.387,28.2,0,0,0
52.5,0.395,0.408,0.378,32.7,0,0,0
56.5,0.388,0.401,0.362,37.8,0,0,0
60.5,0.382,0.396,0.356,43.8,0,0,0
68.5,0.37,0.379,0.341,50.7,0,0,0
76.5,0.359,0.37,0.326,58.8,0,0,0
84.5,0.352,0.361,0.314,68.1,0,0,0
92.5,0.343,0.352,0.304,78.8,0,0,0
101,0.333,0.345,0.298,91.3,0,0,0
109,0.33,0.335,0.291,106,0,0,0
117,0.327,0.33,0.289,122,0,0,0
125,0.32,0.323,0.278,142,0,0,0
141,0.31,0.315,0.272,164,0,0,0
157,0.305,0.31,0.261,190,0,0,0
173,0.297,0.302,0.256,220,2.55,0,0.0982
189,0.291,0.296,0.249,255,9.92,1.4,3.09
205,0.284,0.292,0.243,295,16.4,7.09,7.89
221,0.28,0.284,0.237,342,16.8,13.5,12.1
237,0.279,0.281,0.229,396,10.7,16.4,13.6
253,0.273,0.276,0.225,459,3.16,13.9,12
285,0.265,0.268,0.22,531,0,7.69,7.88
317,0.256,0.259,0.213,615,0,1.92,3.37
349,0.25,0.251,0.205,712,0,0,0.463
381,0.245,0.244,0.198,825,0,0,0
413,0.237,0.237,0.189,955,0,0,0
445,0.232,0.23,0.181,1.11E+03,0,0,0
477,0.224,0.221,0.176,1.28E+03,0,0,0
509,0.218,0.216,0.171,1.48E+03,0,0,0
573,0.206,0.205,0.159,1.72E+03,0,0,0
637,0.196,0.193,0.147,1.99E+03,0,0,0
701,0.19,0.184,0.14,2.30E+03,0,0,0
765,0.18,0.174,0.13,2.67E+03,0,0,0
829,0.171,0.166,0.122,3.09E+03,0,0,0
893,0.163,0.157,0.116,3.58E+03,0,0,0
957,0.157,0.149,0.108,4.15E+03,0,0,0
1.02E+03,0.15,0.142,0.1,4.80E+03,0,0,0
1.15E+03,0.137,0.13,0.0908,5.56E+03,0,0,0
1.28E+03,0.128,0.118,0.0817,6.44E+03,0,0,0
1.40E+03,0.118,0.107,0.0734,7.46E+03,0,0,0
1.53E+03,0.111,0.0975,0.0679,8.63E+03,0,0,0
1.66E+03,0.104,0.0899,0.0631,,,,
1.79E+03,0.0977,0.0828,0.0574,,,,
1.92E+03,0.0929,0.0786,0.0519,,,,
2.04E+03,0.0893,0.0744,0.0485,,,,
2.30E+03,0.0816,0.067,0.0442,,,,
2.56E+03,0.0802,0.0609,0.0421,,,,
2.81E+03,0.0781,0.0573,0.0401,,,,
3.07E+03,0.0763,0.0536,0.0388,,,,
3.32E+03,0.0751,0.0538,0.0388,,,,
3.58E+03,0.0733,0.0528,0.0363,,,,
3.84E+03,0.0737,0.0523,0.0365,,,,
4.09E+03,0.0738,0.0516,0.0358,,,,
4.60E+03,0.0717,0.0513,0.0358,,,,
5.12E+03,0.07,0.0509,0.0344,,,,
5.63E+03,0.0689,0.0482,0.0333,,,,
6.14E+03,0.0706,0.0479,0.0332,,,,
6.65E+03,0.0703,0.047,0.0312,,,,
7.16E+03,0.0706,0.0464,0.0297,,,,
7.68E+03,0.0702,0.044,0.0303,,,,
8.19E+03,0.0699,0.0432,0.0342,,,,
9.21E+03,0.0715,0.0444,0.0344,,,,
1.02E+04,0.0691,0.0421,0.0314,,,,
1.13E+04,0.0706,0.0449,0.0357,,,,
1.23E+04,0.0679,0.0455,0.0385,,,,
1.33E+04,0.0672,0.0434,0.0362,,,,
1.43E+04,0.0674,0.0422,0.0343,,,,
1.54E+04,0.0658,0.0427,0.0309,,,,
1.64E+04,0.0656,0.0411,0.0313,,,,
1.84E+04,0.0636,0.0418,0.0311,,,,
