X Lag Time,Record 1: JJ1_01mg_PO1_010ug_200rpm_10-00min_PM_No4_230622 1,Record 2: JJ1_01mg_PO1_010ug_200rpm_10-00min_PM_No4_230622 2,Record 3: JJ1_01mg_PO1_010ug_200rpm_10-00min_PM_No4_230622 3,X Intensity,Record 1: JJ1_01mg_PO1_010ug_200rpm_10-00min_PM_No4_230622 1,Record 2: JJ1_01mg_PO1_010ug_200rpm_10-00min_PM_No4_230622 2,Record 3: JJ1_01mg_PO1_010ug_200rpm_10-00min_PM_No4_230622 3
0.5,0.795,0.794,0.781,0.4,0,0,0
1,0.769,0.77,0.755,0.463,0,0,0
1.5,0.741,0.741,0.729,0.536,0,0,0
2,0.717,0.717,0.704,0.621,0,0,0
2.5,0.693,0.693,0.683,0.719,0,0,0
3,0.672,0.672,0.662,0.833,0,0,0
3.5,0.65,0.651,0.643,0.965,0,0,0
4,0.635,0.635,0.625,1.12,0,0,0
4.5,0.616,0.616,0.609,1.29,0,0,0
5.5,0.581,0.583,0.577,1.5,0,0,0
6.5,0.551,0.553,0.546,1.74,0,0,0
7.5,0.523,0.526,0.52,2.01,0,0,0
8.5,0.497,0.501,0.494,2.33,0,0,0
9.5,0.472,0.476,0.472,2.7,0,0,0
10.5,0.449,0.453,0.449,3.12,0,0,0
11.5,0.428,0.431,0.429,3.62,0,0,0
12.5,0.409,0.412,0.41,4.19,0,0,0
14.5,0.371,0.374,0.373,4.85,0,0,0
16.5,0.337,0.341,0.34,5.61,0.349,0.688,0.282
18.5,0.307,0.311,0.311,6.5,1.64,2.26,1.66
20.5,0.28,0.284,0.284,7.53,3.89,4.54,4.12
22.5,0.256,0.26,0.259,8.72,6.74,7.14,7.19
24.5,0.233,0.236,0.238,10.1,9.64,9.6,10.2
26.5,0.214,0.215,0.218,11.7,12,11.5,12.5
28.5,0.196,0.198,0.2,13.5,13.4,12.5,13.6
32.5,0.164,0.167,0.168,15.7,13.6,12.5,13.4
36.5,0.137,0.139,0.141,18.2,12.5,11.6,12
40.5,0.116,0.118,0.12,21,10.4,9.85,9.66
44.5,0.0965,0.0987,0.103,24.4,7.71,7.62,6.85
48.5,0.0824,0.0848,0.0876,28.2,4.89,5.26,4.12
52.5,0.0698,0.0716,0.0755,32.7,2.46,3.1,1.91
56.5,0.0587,0.0606,0.0649,37.8,0.794,1.43,0.53
60.5,0.0505,0.0524,0.0561,43.8,0.0414,0.399,0
68.5,0.0371,0.0383,0.0418,50.7,0,0,0
76.5,0.0268,0.0287,0.0322,58.8,0,0,0
84.5,0.0203,0.0218,0.0246,68.1,0,0,0
92.5,0.0151,0.0168,0.0188,78.8,0,0,0
101,0.0116,0.0135,0.0151,91.3,0,0,0
109,0.0088,0.0107,0.0122,106,0,0,0
117,0.00675,0.00786,0.0101,122,0,0,0
125,0.00575,0.00652,0.00813,142,0,0,0
141,0.00431,0.00436,0.00686,164,0,0,0
157,0.003,0.00364,0.00662,190,0,0,0
173,0.00213,0.00261,0.00559,220,0,0,0
189,0.00219,0.00245,0.00505,255,0,0,0
205,0.00234,0.00203,0.00428,295,0,0,0
221,0.00144,0.00201,0.00393,342,0,0,0
237,0.00182,0.00223,0.00333,396,0,0,0
253,0.00226,0.0012,0.00305,459,0,0,0
285,0.00237,0.00109,0.00317,531,0,0,0
317,0.00141,0.000896,0.00328,615,0,0,0
349,0.00101,0.000986,0.0032,712,0,0,0
381,0.00128,0.000415,0.00343,825,0,0,0
413,0.00175,0.00158,0.00284,955,0,0,0
445,0.00189,0.00194,0.00215,1.11E+03,0,0,0
477,0.002,0.00127,0.00175,1.28E+03,0,0,0
509,0.000778,0.00128,0.00206,1.48E+03,0,0,0
573,0.00107,0.00127,0.000881,1.72E+03,0,0,0
637,0.000876,0.00172,0.000329,1.99E+03,0,0,0
