X Lag Time,Record 34: F14 1,Record 35: F14 2,Record 36: F14 3,X Intensity,Record 34: F14 1,Record 35: F14 2,Record 36: F14 3
0.5,0.847,0.861,0.855,0.4,0,0,0
1,0.839,0.848,0.844,0.463,0,0,0
1.5,0.825,0.839,0.831,0.536,0,0,0
2,0.816,0.827,0.823,0.621,0,0,0
2.5,0.807,0.818,0.81,0.719,0,0,0
3,0.8,0.809,0.804,0.833,0,0,0
3.5,0.792,0.803,0.798,0.965,0,0,0
4,0.783,0.794,0.788,1.12,0,0,0
4.5,0.776,0.787,0.781,1.29,0,0,0
5.5,0.762,0.773,0.767,1.5,0,0,0
6.5,0.752,0.762,0.754,1.74,0,0,0
7.5,0.739,0.749,0.742,2.01,0,0,0
8.5,0.727,0.736,0.729,2.33,0,0,0
9.5,0.717,0.727,0.72,2.7,0,0,0
10.5,0.707,0.715,0.708,3.12,0,0,0
11.5,0.695,0.706,0.696,3.62,0,0,0
12.5,0.686,0.696,0.688,4.19,0,0,0
14.5,0.668,0.679,0.669,4.85,0,0,0
16.5,0.65,0.66,0.651,5.61,0,0,0
18.5,0.634,0.644,0.635,6.5,0,0.224,0
20.5,0.62,0.629,0.618,7.53,0.337,0.962,0.432
22.5,0.606,0.614,0.603,8.72,1.67,2.17,2.15
24.5,0.591,0.599,0.591,10.1,3.54,3.52,4.43
26.5,0.58,0.587,0.578,11.7,5.16,4.57,6.13
28.5,0.567,0.574,0.565,13.5,5.84,4.95,6.47
32.5,0.543,0.552,0.541,15.7,5.36,4.5,5.4
36.5,0.522,0.531,0.52,18.2,3.94,3.35,3.45
40.5,0.504,0.511,0.5,21,2.17,1.91,1.49
44.5,0.485,0.494,0.483,24.4,0.699,0.667,0.272
48.5,0.47,0.478,0.466,28.2,0,0.0276,0
52.5,0.455,0.464,0.452,32.7,0,0,0
56.5,0.441,0.451,0.437,37.8,0,0,0
60.5,0.429,0.437,0.425,43.8,0,0,0
68.5,0.407,0.414,0.403,50.7,0,0,0
76.5,0.387,0.394,0.383,58.8,0,0.114,0.0287
84.5,0.369,0.378,0.366,68.1,0.57,0.772,0.767
92.5,0.354,0.362,0.351,78.8,1.84,1.99,2.31
101,0.34,0.347,0.337,91.3,3.62,3.55,4.38
109,0.328,0.335,0.325,106,5.52,5.13,6.54
