X Lag Time,Record 1: JJ1_01mg_PS2_250ug_200rpm_10-00min_ST_No1_230607 1,Record 2: JJ1_01mg_PS2_250ug_200rpm_10-00min_ST_No1_230607 2,Record 3: JJ1_01mg_PS2_250ug_200rpm_10-00min_ST_No1_230607 3,X Intensity,Record 1: JJ1_01mg_PS2_250ug_200rpm_10-00min_ST_No1_230607 1,Record 2: JJ1_01mg_PS2_250ug_200rpm_10-00min_ST_No1_230607 2,Record 3: JJ1_01mg_PS2_250ug_200rpm_10-00min_ST_No1_230607 3
0.5,0.819,0.815,0.808,0.4,0,0,0
1,0.796,0.791,0.778,0.463,0,0,0
1.5,0.77,0.769,0.757,0.536,0,0,0
2,0.756,0.747,0.735,0.621,0,0,0
2.5,0.733,0.722,0.72,0.719,0,0,0
3,0.714,0.709,0.7,0.833,0,0,0
3.5,0.697,0.688,0.68,0.965,0,0,0
4,0.686,0.673,0.666,1.12,0,0,0
4.5,0.669,0.659,0.65,1.29,0,0,0
5.5,0.644,0.627,0.621,1.5,0,0,0
6.5,0.614,0.604,0.594,1.74,0,0,0
7.5,0.588,0.58,0.575,2.01,0,0,0
8.5,0.568,0.56,0.548,2.33,0,0,0
9.5,0.549,0.536,0.527,2.7,0,0,0
10.5,0.529,0.517,0.507,3.12,0,0,0
11.5,0.511,0.501,0.484,3.62,0,0,0
12.5,0.493,0.484,0.468,4.19,0,0,0
14.5,0.462,0.446,0.437,4.85,0,0,0
16.5,0.432,0.416,0.406,5.61,0,0,0
18.5,0.402,0.387,0.376,6.5,0,0.166,0.754
20.5,0.379,0.363,0.35,7.53,1.25,1.94,2.86
22.5,0.357,0.339,0.326,8.72,4.42,5.17,5.95
24.5,0.336,0.317,0.303,10.1,8.5,8.88,9.21
26.5,0.313,0.296,0.284,11.7,12,11.9,11.8
28.5,0.296,0.279,0.265,13.5,13.8,13.4,13
32.5,0.263,0.246,0.233,15.7,13.4,13,12.6
36.5,0.238,0.219,0.206,18.2,11,10.9,10.9
40.5,0.214,0.194,0.182,21,7.42,7.7,8.17
44.5,0.194,0.173,0.161,24.4,3.81,4.35,5.18
48.5,0.176,0.157,0.142,28.2,1.17,1.71,2.56
52.5,0.161,0.141,0.13,32.7,0,0.279,0.782
56.5,0.147,0.13,0.117,37.8,0,0,0.0138
60.5,0.136,0.119,0.105,43.8,0,0,0
68.5,0.118,0.099,0.0883,50.7,0,0,0
76.5,0.103,0.0838,0.0751,58.8,0,0,0
84.5,0.0933,0.0712,0.0647,68.1,0,0,0
92.5,0.086,0.0638,0.0559,78.8,0,0,0
101,0.0779,0.0576,0.0501,91.3,0,0,0
109,0.0725,0.0524,0.0448,106,0,0,0
117,0.0677,0.0478,0.0397,122,0,0,0.0425
125,0.0634,0.0439,0.0374,142,0,0.000774,0.241
141,0.0565,0.0388,0.0335,164,0.157,0.207,0.593
