X Lag Time,Record 1: JJ1_01mg_PS8_500ug_200rpm_10-00min_PM_No2_230601 1,Record 2: JJ1_01mg_PS8_500ug_200rpm_10-00min_PM_No2_230601 2,Record 3: JJ1_01mg_PS8_500ug_200rpm_10-00min_PM_No2_230601 3,X Intensity,Record 1: JJ1_01mg_PS8_500ug_200rpm_10-00min_PM_No2_230601 1,Record 2: JJ1_01mg_PS8_500ug_200rpm_10-00min_PM_No2_230601 2,Record 3: JJ1_01mg_PS8_500ug_200rpm_10-00min_PM_No2_230601 3
0.5,0.8,0.812,0.81,0.4,0,0,0
1,0.78,0.79,0.786,0.463,0,0,0
1.5,0.751,0.768,0.765,0.536,0,0,0
2,0.734,0.753,0.746,0.621,0,0,0
2.5,0.721,0.74,0.731,0.719,0,0,0
3,0.705,0.721,0.707,0.833,0,0,0
3.5,0.69,0.709,0.695,0.965,0,0,0
4,0.671,0.696,0.686,1.12,0,0,0
4.5,0.658,0.684,0.67,1.29,0,0,0
5.5,0.637,0.661,0.638,1.5,0,0,0
6.5,0.612,0.639,0.618,1.74,0,0,0
7.5,0.592,0.618,0.594,2.01,0,0,0
8.5,0.567,0.597,0.575,2.33,0,0,0
9.5,0.548,0.58,0.552,2.7,0,0,0
10.5,0.53,0.565,0.534,3.12,0,0,0
11.5,0.513,0.547,0.515,3.62,0,0,0
12.5,0.494,0.532,0.498,4.19,0,0,0
14.5,0.467,0.5,0.466,4.85,0,0,0
16.5,0.435,0.475,0.439,5.61,0,0,0
18.5,0.409,0.45,0.411,6.5,0.00481,0,0
20.5,0.385,0.428,0.386,7.53,1.79,0.451,1.31
22.5,0.364,0.406,0.365,8.72,5.18,3.84,4.77
24.5,0.343,0.385,0.342,10.1,9.03,9.01,9.24
26.5,0.323,0.368,0.324,11.7,12,13.4,12.9
28.5,0.306,0.352,0.306,13.5,13.2,14.9,14.5
32.5,0.276,0.322,0.276,15.7,12.2,12.8,13.3
36.5,0.249,0.297,0.248,18.2,9.56,8.21,9.95
40.5,0.225,0.274,0.226,21,6.06,3.27,5.69
44.5,0.207,0.254,0.205,24.4,2.81,0.268,2.03
48.5,0.188,0.237,0.187,28.2,0.699,0,0.119
52.5,0.174,0.221,0.173,32.7,0,0,0
56.5,0.16,0.207,0.16,37.8,0,0,0
60.5,0.148,0.195,0.149,43.8,0,0,0
68.5,0.13,0.175,0.13,50.7,0,0,0
76.5,0.116,0.16,0.115,58.8,0,0,0
84.5,0.105,0.149,0.104,68.1,0,0,0
92.5,0.0955,0.139,0.0948,78.8,0,0,0
101,0.0872,0.131,0.086,91.3,0,0,0
109,0.082,0.125,0.0805,106,0,0,0
117,0.0759,0.118,0.0753,122,0,0,0
125,0.0715,0.114,0.0713,142,0,0,0
141,0.0655,0.107,0.0654,164,0.246,0,0.363
157,0.0598,0.102,0.0616,190,0.84,0.462,1.15
173,0.0569,0.0978,0.0588,220,1.68,1.76,2.14
189,0.0551,0.0944,0.0562,255,2.56,3.5,3.06
205,0.0518,0.0917,0.0534,295,3.29,5.07,3.65
221,0.0503,0.0889,0.0508,342,3.71,5.92,3.78
237,0.047,0.0867,0.049,396,3.75,5.8,3.44
253,0.0456,0.0838,0.0476,459,3.41,4.78,2.74
285,0.0423,0.0793,0.0453,531,2.79,3.23,1.85
317,0.0398,0.075,0.0417,615,2,1.63,0.999
349,0.0384,0.0719,0.04,712,1.21,0.477,0.366
381,0.0366,0.0697,0.0382,825,0.569,0,0.0474
413,0.0349,0.0657,0.0366,955,0.159,0,0
445,0.0335,0.0625,0.0338,1.11E+03,0,0,0
477,0.0315,0.0597,0.0323,1.28E+03,0,0,0
509,0.0303,0.0579,0.0302,1.48E+03,0,0,0
573,0.0265,0.0527,0.0275,1.72E+03,0,0,0
637,0.0223,0.0482,0.0246,1.99E+03,0,0,0
701,0.0224,0.0437,0.0228,2.30E+03,0,0,0
765,0.021,0.0397,0.0213,2.67E+03,0,0,0
829,0.0182,0.0376,0.0194,3.09E+03,0,0,0.0137
893,0.0167,0.0349,0.0192,3.58E+03,0.0436,0,0.164
957,0.0148,0.0318,0.0178,4.15E+03,0.183,0,0.458
1.02E+03,0.0146,0.0289,0.0163,4.80E+03,0.397,0.256,0.827
1.15E+03,0.013,0.0249,0.014,5.56E+03,0.619,0.905,1.16
1.28E+03,0.0113,0.0232,0.0127,6.44E+03,0,0,0
1.40E+03,0.00882,0.021,0.0104,7.46E+03,0,0,0
1.53E+03,0.00806,0.017,0.01,8.63E+03,0,0,0
1.66E+03,0.00694,0.016,0.00885,,,,
1.79E+03,0.00456,0.0149,0.00841,,,,
1.92E+03,0.00507,0.0144,0.0101,,,,
2.04E+03,0.00495,0.0136,0.00934,,,,
2.30E+03,0.00484,0.0126,0.00813,,,,
2.56E+03,0.00442,0.0126,0.00866,,,,
2.81E+03,0.00288,0.012,0.00852,,,,
3.07E+03,0.00331,0.011,0.00808,,,,
3.32E+03,0.00342,0.00923,0.00729,,,,
3.58E+03,0.00357,0.00837,0.00704,,,,
3.84E+03,0.00335,0.00857,0.00587,,,,
4.09E+03,0.00446,0.00867,0.0063,,,,
4.60E+03,0.00431,0.00898,0.00683,,,,
5.12E+03,0.00423,0.00977,0.00638,,,,
5.63E+03,0.00258,0.00955,0.0061,,,,
6.14E+03,0.00341,0.00986,0.0062,,,,
6.65E+03,0.003,0.00903,0.0052,,,,
7.16E+03,0.00354,0.0078,0.00582,,,,
7.68E+03,0.00464,0.00848,0.00617,,,,
8.19E+03,0.00357,0.00869,0.00478,,,,
9.21E+03,0.0033,0.00808,0.00401,,,,
1.02E+04,0.00277,0.00807,0.00418,,,,
1.13E+04,0.00365,0.00771,0.0051,,,,
1.23E+04,0.00366,0.00739,0.00561,,,,
1.33E+04,0.00339,0.00788,0.00512,,,,
1.43E+04,0.0033,0.00702,0.00411,,,,
1.54E+04,0.00251,0.00497,0.00442,,,,
1.64E+04,0.00257,0.0045,0.00455,,,,
1.84E+04,0.00191,0.00721,0.0034,,,,
2.05E+04,0.00275,0.00751,0.00384,,,,
2.25E+04,0.00237,0.00682,0.00428,,,,
2.46E+04,0.00186,0.00597,0.00309,,,,
2.66E+04,0.00292,0.00594,0.00371,,,,
2.87E+04,0.00244,0.00767,0.00345,,,,
3.07E+04,0.00261,0.00729,0.00232,,,,
3.28E+04,0.00194,0.00549,0.00328,,,,
3.69E+04,0.00212,0.00668,0.00276,,,,
4.10E+04,0.00236,0.00529,0.00279,,,,
4.51E+04,0.00206,0.00441,0.00294,,,,
4.91E+04,0.00244,0.00486,0.0027,,,,
5.32E+04,0.00228,0.00444,0.00243,,,,
5.73E+04,0.00162,0.00548,0.0031,,,,
6.14E+04,0.00276,0.004,0.00341,,,,
6.55E+04,0.00232,0.00494,0.00341,,,,
7.37E+04,0.00125,0.00466,0.00345,,,,
8.19E+04,0.00161,0.00449,0.00319,,,,
9.01E+04,0.00128,0.00308,0.00212,,,,
9.83E+04,0.000975,0.00272,0.00263,,,,
1.06E+05,0.00144,0.00352,0.00275,,,,
1.15E+05,0.00144,0.00366,0.00281,,,,
1.23E+05,0.00143,0.00309,0.00262,,,,
1.31E+05,0.00108,0.00266,0.00295,,,,
1.47E+05,0.00117,0.00228,0.0029,,,,
1.64E+05,0.00163,0.00296,0.00305,,,,
1.80E+05,0.000814,0.00372,0.00216,,,,
1.97E+05,0.0013,0.00318,0.00187,,,,
2.13E+05,0.00156,0.00327,0.0019,,,,
2.29E+05,0.00215,0.00283,0.0017,,,,
2.46E+05,0.00167,0.00266,0.00248,,,,
2.62E+05,0.00124,0.00275,0.00178,,,,
2.95E+05,0.00101,0.00201,0.00124,,,,
3.28E+05,0.000297,0.00182,0.00227,,,,
3.60E+05,0.000463,0.00192,0.00211,,,,
3.93E+05,0.00059,0.00194,0.00234,,,,
4.26E+05,0.000772,0.00205,0.00235,,,,
