X Lag Time,Record 1: JJ1_01mg_PO1_250ug_200rpm_10-00min_ST_No2_230608 1,Record 2: JJ1_01mg_PO1_250ug_200rpm_10-00min_ST_No2_230608 2,Record 3: JJ1_01mg_PO1_250ug_200rpm_10-00min_ST_No2_230608 3,X Intensity,Record 1: JJ1_01mg_PO1_250ug_200rpm_10-00min_ST_No2_230608 1,Record 2: JJ1_01mg_PO1_250ug_200rpm_10-00min_ST_No2_230608 2,Record 3: JJ1_01mg_PO1_250ug_200rpm_10-00min_ST_No2_230608 3
0.5,0.814,0.811,0.813,0.4,0,0,0
1,0.789,0.786,0.787,0.463,0,0,0
1.5,0.767,0.758,0.759,0.536,0,0,0
2,0.742,0.735,0.738,0.621,0.848,0,0
2.5,0.722,0.707,0.721,0.719,1.63,0,0
3,0.697,0.693,0.697,0.833,1.77,0,0
3.5,0.681,0.671,0.684,0.965,1.13,0,0.469
4,0.66,0.658,0.665,1.12,0.287,0,1.4
4.5,0.648,0.641,0.65,1.29,0,0,1.73
5.5,0.618,0.611,0.616,1.5,0,0,1.14
6.5,0.592,0.582,0.593,1.74,0,0,0.274
7.5,0.566,0.552,0.565,2.01,0,0,0
8.5,0.544,0.53,0.543,2.33,0,0,0
9.5,0.52,0.509,0.526,2.7,0,0,0
10.5,0.499,0.486,0.497,3.12,0,0,0
11.5,0.481,0.468,0.481,3.62,0,0,0
12.5,0.462,0.45,0.461,4.19,0,0,0
14.5,0.429,0.415,0.428,4.85,0,0,0
16.5,0.396,0.38,0.397,5.61,0,0,0
18.5,0.369,0.352,0.369,6.5,0,0.722,0
20.5,0.34,0.328,0.343,7.53,1.57,2.83,1.58
22.5,0.319,0.303,0.321,8.72,5,6.02,4.85
24.5,0.298,0.281,0.299,10.1,9.17,9.46,8.79
26.5,0.274,0.261,0.279,11.7,12.6,12.2,12.1
28.5,0.257,0.242,0.264,13.5,14.2,13.6,13.8
32.5,0.225,0.21,0.233,15.7,13.5,13.4,13.3
36.5,0.198,0.183,0.203,18.2,10.8,11.5,10.9
40.5,0.174,0.16,0.179,21,7.09,8.65,7.39
44.5,0.154,0.14,0.16,24.4,3.47,5.41,3.82
48.5,0.137,0.124,0.144,28.2,0.966,2.58,1.17
52.5,0.124,0.111,0.127,32.7,0,0.719,0
56.5,0.111,0.0982,0.116,37.8,0,0,0
60.5,0.0997,0.0881,0.105,43.8,0,0,0
68.5,0.0834,0.0704,0.0889,50.7,0,0,0
76.5,0.0695,0.0585,0.0764,58.8,0,0,0
84.5,0.0612,0.0502,0.0657,68.1,0,0,0
92.5,0.0526,0.0423,0.0591,78.8,0,0,0
101,0.0469,0.0367,0.0524,91.3,0,0,0
109,0.0423,0.031,0.0475,106,0,0,0
117,0.0383,0.0296,0.0422,122,0,0,0
125,0.0351,0.0263,0.0388,142,0,0,0
141,0.0313,0.0228,0.0343,164,0,0,0
157,0.0283,0.021,0.0321,190,0,0,0
173,0.0249,0.0199,0.0291,220,0,0,0
189,0.0233,0.0155,0.0278,255,0,0,0
205,0.0232,0.0147,0.0273,295,0,0,0.117
221,0.0223,0.0133,0.0263,342,0.146,0.0238,0.422
237,0.0214,0.0124,0.0241,396,0.466,0.137,0.872
253,0.0204,0.0147,0.023,459,0.904,0.343,1.38
285,0.0205,0.0139,0.0223,531,1.37,0.613,1.83
317,0.0189,0.0124,0.0221,615,1.77,0.901,2.15
349,0.0194,0.0116,0.0206,712,2.03,1.16,2.29
381,0.018,0.00868,0.0209,825,2.12,1.36,2.23
413,0.0156,0.00919,0.0194,955,2.02,1.47,1.99
445,0.015,0.00883,0.0182,1.11E+03,1.76,1.48,1.61
477,0.0152,0.00826,0.0169,1.28E+03,1.4,1.39,1.17
509,0.014,0.00778,0.0158,1.48E+03,0.985,1.22,0.739
573,0.0129,0.00761,0.0153,1.72E+03,0.593,1,0.376
637,0.0122,0.00751,0.0145,1.99E+03,0.279,0.752,0.13
701,0.0113,0.00741,0.0132,2.30E+03,0.0795,0.507,0.0151
765,0.0108,0.00598,0.0116,2.67E+03,0,0.295,0
829,0.00912,0.00524,0.0113,3.09E+03,0,0.135,0
893,0.00909,0.00415,0.00931,3.58E+03,0,0.0377,0
957,0.00878,0.00362,0.00875,4.15E+03,0,0,0
1.02E+03,0.00768,0.00345,0.00837,4.80E+03,0,0,0
1.15E+03,0.00651,0.00202,0.00769,5.56E+03,0,0,0
1.28E+03,0.00637,0.00316,0.00643,6.44E+03,0,0,0
1.40E+03,0.00511,0.00416,0.00587,7.46E+03,0,0,0
1.53E+03,0.00426,0.00318,0.00553,8.63E+03,0,0,0
1.66E+03,0.00348,0.00296,0.00434,,,,
1.79E+03,0.00363,0.00236,0.00564,,,,
1.92E+03,0.00454,0.00233,0.00422,,,,
2.04E+03,0.00377,0.00212,0.00541,,,,
