X Lag Time,Record 1: JJ1_01mg_PO1_050ug_200rpm_10-00min_PM_No3_230620 1,Record 2: JJ1_01mg_PO1_050ug_200rpm_10-00min_PM_No3_230620 2,Record 3: JJ1_01mg_PO1_050ug_200rpm_10-00min_PM_No3_230620 3,X Intensity,Record 1: JJ1_01mg_PO1_050ug_200rpm_10-00min_PM_No3_230620 1,Record 2: JJ1_01mg_PO1_050ug_200rpm_10-00min_PM_No3_230620 2,Record 3: JJ1_01mg_PO1_050ug_200rpm_10-00min_PM_No3_230620 3
0.5,0.807,0.801,0.805,0.4,0,0,0
1,0.782,0.772,0.786,0.463,0,0,0
1.5,0.76,0.755,0.761,0.536,0,0,0
2,0.738,0.732,0.743,0.621,0,0,0
2.5,0.721,0.719,0.724,0.719,0,0,0
3,0.709,0.697,0.708,0.833,0,0,0
3.5,0.69,0.683,0.687,0.965,0,0,0
4,0.676,0.669,0.675,1.12,0,0,0
4.5,0.658,0.652,0.661,1.29,0,0,0
5.5,0.633,0.626,0.634,1.5,0,0,0
6.5,0.61,0.601,0.611,1.74,0,0,0
7.5,0.585,0.58,0.589,2.01,0,0,0
8.5,0.564,0.559,0.565,2.33,0,0,0
9.5,0.543,0.537,0.55,2.7,0,0,0
10.5,0.527,0.52,0.529,3.12,0,0,0
11.5,0.508,0.5,0.508,3.62,0,0,0
12.5,0.491,0.482,0.493,4.19,0,0,0
14.5,0.456,0.453,0.465,4.85,0,0,0
16.5,0.429,0.422,0.435,5.61,0,0,0
18.5,0.403,0.397,0.407,6.5,0.742,0,0.701
20.5,0.378,0.374,0.383,7.53,2.6,1.09,2.65
22.5,0.355,0.351,0.362,8.72,5.29,4.36,5.5
24.5,0.335,0.33,0.339,10.1,8.16,8.76,8.48
26.5,0.315,0.309,0.321,11.7,10.5,12.6,10.8
28.5,0.3,0.293,0.304,13.5,11.6,14.3,11.7
32.5,0.267,0.261,0.272,15.7,11.3,13.4,11.1
36.5,0.241,0.233,0.246,18.2,9.66,10.3,9.17
40.5,0.218,0.21,0.224,21,7.07,6.15,6.41
44.5,0.199,0.192,0.203,24.4,4.22,2.44,3.56
