X Lag Time,Record 1: JJ1_01mg_PO1_050ug_200rpm_10-00min_PM_No1_230613 1,Record 2: JJ1_01mg_PO1_050ug_200rpm_10-00min_PM_No1_230613 2,Record 3: JJ1_01mg_PO1_050ug_200rpm_10-00min_PM_No1_230613 3,X Intensity,Record 1: JJ1_01mg_PO1_050ug_200rpm_10-00min_PM_No1_230613 1,Record 2: JJ1_01mg_PO1_050ug_200rpm_10-00min_PM_No1_230613 2,Record 3: JJ1_01mg_PO1_050ug_200rpm_10-00min_PM_No1_230613 3
0.5,0.684,0.682,0.676,0.4,0,0,0
1,0.664,0.662,0.66,0.463,0,0,0
1.5,0.643,0.642,0.639,0.536,0,0,0
2,0.623,0.622,0.624,0.621,0,0,0
2.5,0.612,0.613,0.612,0.719,0,0,0
3,0.599,0.595,0.599,0.833,0,0,0
3.5,0.586,0.584,0.583,0.965,0,0,0
4,0.571,0.572,0.572,1.12,0,0,0
4.5,0.562,0.558,0.562,1.29,0,0,0
5.5,0.54,0.538,0.537,1.5,0,0,0
6.5,0.522,0.516,0.52,1.74,0,0,0
7.5,0.501,0.5,0.5,2.01,0,0,0
8.5,0.487,0.481,0.485,2.33,0,0,0
9.5,0.469,0.465,0.465,2.7,0,0,0
10.5,0.452,0.452,0.45,3.12,0,0,0
11.5,0.437,0.433,0.438,3.62,0,0,0
12.5,0.425,0.42,0.423,4.19,0,0,0
14.5,0.398,0.392,0.399,4.85,0,0,0
16.5,0.373,0.369,0.371,5.61,0,0,0
18.5,0.354,0.348,0.353,6.5,0,0,0
20.5,0.331,0.327,0.332,7.53,0.727,0.978,0
22.5,0.312,0.31,0.313,8.72,3.24,3.44,1.97
24.5,0.296,0.291,0.298,10.1,6.93,6.82,5.95
26.5,0.28,0.274,0.281,11.7,10.5,10.1,10.4
28.5,0.264,0.259,0.267,13.5,12.8,12.4,13.7
32.5,0.236,0.233,0.24,15.7,13.1,13,14.6
36.5,0.215,0.21,0.215,18.2,11.3,11.8,12.9
40.5,0.194,0.191,0.196,21,8.1,9.25,9.31
44.5,0.176,0.173,0.179,24.4,4.52,6,5.08
48.5,0.161,0.157,0.164,28.2,1.64,2.97,1.66
52.5,0.149,0.143,0.15,32.7,0.153,0.866,0
56.5,0.138,0.133,0.138,37.8,0,0,0
60.5,0.128,0.123,0.127,43.8,0,0,0
68.5,0.109,0.105,0.11,50.7,0,0,0
76.5,0.0976,0.0934,0.0969,58.8,0,0,0
84.5,0.0859,0.0819,0.086,68.1,0,0,0
92.5,0.0771,0.0734,0.0778,78.8,0,0,0
101,0.0704,0.0664,0.0706,91.3,0,0,0
109,0.0648,0.0601,0.0655,106,0,0,0
117,0.0603,0.0549,0.0613,122,0,0,0
125,0.0572,0.052,0.0573,142,0,0.0874,0
141,0.0518,0.0463,0.0512,164,0.172,0.46,0
157,0.0466,0.0419,0.0466,190,0.669,1.09,0.296
173,0.0432,0.0391,0.0431,220,1.43,1.82,0.957
189,0.042,0.0372,0.0411,255,2.27,2.48,1.83
205,0.0395,0.0342,0.0397,295,3.03,2.91,2.68
221,0.0377,0.0321,0.0374,342,3.54,3.03,3.3
237,0.0364,0.0306,0.0348,396,3.72,2.82,3.55
253,0.0341,0.0295,0.0337,459,3.54,2.33,3.4
285,0.0309,0.0285,0.032,531,3.07,1.69,2.88
317,0.0298,0.0269,0.032,615,2.4,1.02,2.14
349,0.0288,0.0261,0.0293,712,1.65,0.472,1.34
381,0.0276,0.0242,0.027,825,0.957,0.127,0.649
413,0.0244,0.0221,0.0254,955,0.424,0,0.189
445,0.022,0.0201,0.0238,1.11E+03,0.109,0,0
477,0.0206,0.0187,0.024,1.28E+03,0,0,0
509,0.0193,0.0184,0.0218,1.48E+03,0,0,0
573,0.0168,0.0166,0.0191,1.72E+03,0,0,0
637,0.0142,0.0137,0.0171,1.99E+03,0,0,0
701,0.0126,0.0111,0.0151,2.30E+03,0,0,0
765,0.0124,0.00936,0.0126,2.67E+03,0,0,0
829,0.00989,0.00974,0.0115,3.09E+03,0,0,0
893,0.00855,0.00902,0.00961,3.58E+03,0,0.1,0
957,0.00661,0.00703,0.00833,4.15E+03,0,0.328,0.106
1.02E+03,0.00563,0.00547,0.00702,4.80E+03,0,0.635,0.338
1.15E+03,0.00522,0.00362,0.00638,5.56E+03,0,0.927,0.627
1.28E+03,0.00462,0.00427,0.00558,6.44E+03,0,0,0
1.40E+03,0.00444,0.00392,0.0043,7.46E+03,0,0,0
1.53E+03,0.00354,0.00436,0.0033,8.63E+03,0,0,0
1.66E+03,0.00347,0.0038,0.00351,,,,
1.79E+03,0.00343,0.0034,0.00326,,,,
1.92E+03,0.00326,0.00298,0.00447,,,,
2.04E+03,0.00297,0.003,0.00319,,,,
2.30E+03,0.00226,0.0026,0.00253,,,,
2.56E+03,0.00332,0.00293,0.00271,,,,
2.81E+03,0.00423,0.00258,0.00418,,,,
3.07E+03,0.00405,0.00279,0.00374,,,,
3.32E+03,0.00317,0.00293,0.00313,,,,
3.58E+03,0.00223,0.00318,0.00381,,,,
3.84E+03,0.00283,0.00368,0.00383,,,,
4.09E+03,0.00263,0.00292,0.00342,,,,
4.60E+03,0.00323,0.00423,0.00337,,,,
5.12E+03,0.00303,0.00345,0.00269,,,,
5.63E+03,0.00299,0.0036,0.0031,,,,
6.14E+03,0.00378,0.00365,0.00302,,,,
6.65E+03,0.00287,0.00424,0.00408,,,,
7.16E+03,0.0021,0.00473,0.00271,,,,
7.68E+03,0.00287,0.00432,0.00365,,,,
8.19E+03,0.00361,0.00353,0.00321,,,,
9.21E+03,0.00289,0.00358,0.00258,,,,
1.02E+04,0.00293,0.00374,0.00267,,,,
1.13E+04,0.00275,0.00342,0.00267,,,,
1.23E+04,0.00331,0.00363,0.002,,,,
1.33E+04,0.00225,0.00266,0.00233,,,,
1.43E+04,0.00239,0.00277,0.00259,,,,
1.54E+04,0.00266,0.00266,0.00263,,,,
1.64E+04,0.003,0.00275,0.00251,,,,
1.84E+04,0.00205,0.00333,0.00245,,,,
2.05E+04,0.00269,0.003,0.00237,,,,
2.25E+04,0.00252,0.00285,0.00277,,,,
2.46E+04,0.00253,0.00257,0.00218,,,,
2.66E+04,0.00278,0.00277,0.00225,,,,
2.87E+04,0.00211,0.00306,0.00285,,,,
3.07E+04,0.00267,0.00257,0.00267,,,,
3.28E+04,0.0036,0.00261,0.00242,,,,
3.69E+04,0.00284,0.00273,0.00233,,,,
4.10E+04,0.00297,0.00252,0.00243,,,,
4.51E+04,0.00268,0.00261,0.00246,,,,
4.91E+04,0.00288,0.00226,0.0022,,,,
5.32E+04,0.0026,0.00244,0.00217,,,,
5.73E+04,0.00226,0.00256,0.00214,,,,
6.14E+04,0.00251,0.00229,0.0021,,,,
6.55E+04,0.00262,0.00226,0.00188,,,,
7.37E+04,0.00226,0.0019,0.00158,,,,
8.19E+04,0.00228,0.00202,0.00175,,,,
9.01E+04,0.00179,0.00198,0.00185,,,,
