X Lag Time,Record 1: JJ1_01mg_PS8_250ug_200rpm_10-00min_PM_No3_230608 1,Record 2: JJ1_01mg_PS8_250ug_200rpm_10-00min_PM_No3_230608 2,Record 3: JJ1_01mg_PS8_250ug_200rpm_10-00min_PM_No3_230608 3,X Intensity,Record 1: JJ1_01mg_PS8_250ug_200rpm_10-00min_PM_No3_230608 1,Record 2: JJ1_01mg_PS8_250ug_200rpm_10-00min_PM_No3_230608 2,Record 3: JJ1_01mg_PS8_250ug_200rpm_10-00min_PM_No3_230608 3
0.5,0.799,0.796,0.799,0.4,0,0,0
1,0.765,0.769,0.778,0.463,0,0,0
1.5,0.743,0.742,0.747,0.536,0,0,0
2,0.722,0.723,0.731,0.621,0,0,0
2.5,0.703,0.702,0.71,0.719,0,0,0
3,0.685,0.684,0.689,0.833,0,0,0
3.5,0.664,0.665,0.676,0.965,0,0,0
4,0.644,0.644,0.655,1.12,0,0,0
4.5,0.633,0.633,0.64,1.29,0,0,0
5.5,0.598,0.604,0.614,1.5,0,0,0
6.5,0.569,0.577,0.585,1.74,0,0,0
7.5,0.548,0.55,0.565,2.01,0,0,0
8.5,0.52,0.528,0.54,2.33,0,0,0
9.5,0.5,0.507,0.519,2.7,0,0,0
10.5,0.477,0.486,0.5,3.12,0,0,0
11.5,0.459,0.466,0.482,3.62,0,0,0
12.5,0.438,0.449,0.463,4.19,0,0,0
14.5,0.403,0.414,0.43,4.85,0,0,0
16.5,0.374,0.381,0.398,5.61,0,0,0
18.5,0.343,0.353,0.37,6.5,1.08,0.209,0
20.5,0.318,0.327,0.345,7.53,3.41,2.35,2.03
22.5,0.293,0.303,0.319,8.72,6.51,6.13,6.04
24.5,0.272,0.28,0.3,10.1,9.63,10.3,10.6
26.5,0.252,0.259,0.28,11.7,12,13.6,13.9
28.5,0.233,0.242,0.263,13.5,13.2,15,15.1
32.5,0.199,0.211,0.23,15.7,13,14.2,13.8
36.5,0.175,0.185,0.202,18.2,11.4,11.6,10.5
40.5,0.152,0.163,0.179,21,8.87,7.87,6.52
44.5,0.132,0.143,0.158,24.4,5.99,4.15,2.93
48.5,0.115,0.127,0.145,28.2,3.32,1.36,0.69
52.5,0.102,0.114,0.131,32.7,1.33,0.0535,0
56.5,0.09,0.101,0.119,37.8,0.262,0,0
60.5,0.0793,0.092,0.109,43.8,0,0,0
68.5,0.0643,0.0751,0.0928,50.7,0,0,0
76.5,0.053,0.0617,0.0785,58.8,0,0,0
84.5,0.0438,0.0521,0.0698,68.1,0,0,0
92.5,0.0375,0.044,0.0615,78.8,0,0,0
101,0.0321,0.0395,0.0554,91.3,0,0,0
109,0.0282,0.0349,0.0504,106,0,0,0
117,0.0257,0.0314,0.0469,122,0,0,0
125,0.0235,0.0287,0.0439,142,0,0,0
141,0.0191,0.0259,0.0383,164,0,0,0
157,0.0172,0.0229,0.0346,190,0,0,0.107
173,0.0143,0.0217,0.0326,220,0,0,0.398
189,0.0123,0.0207,0.0329,255,0,0,0.83
205,0.00907,0.0189,0.032,295,0,0.123,1.31
221,0.0103,0.019,0.0298,342,0,0.376,1.73
237,0.0109,0.0184,0.0287,396,0,0.703,2.01
253,0.00979,0.0169,0.0276,459,0,1.03,2.11
285,0.0092,0.0159,0.0259,531,0.0235,1.29,2.03
317,0.00845,0.0156,0.0234,615,0.0893,1.42,1.78
349,0.00901,0.0144,0.0232,712,0.197,1.43,1.43
381,0.00856,0.0141,0.0224,825,0.335,1.3,1.02
413,0.00887,0.0136,0.0212,955,0.487,1.07,0.639
445,0.00837,0.0127,0.0192,1.11E+03,0.636,0.793,0.326
477,0.00849,0.0117,0.0189,1.28E+03,0.767,0.508,0.118
509,0.00665,0.0124,0.0189,1.48E+03,0.868,0.261,0.0184
573,0.00462,0.0115,0.018,1.72E+03,0.932,0.0858,0
637,0.00447,0.00907,0.0173,1.99E+03,0.955,0,0
701,0.00487,0.00882,0.015,2.30E+03,0.937,0,0
765,0.00355,0.00807,0.0139,2.67E+03,0.884,0.0639,0.0379
829,0.00219,0.00713,0.0141,3.09E+03,0.801,0.191,0.127
893,0.00148,0.00748,0.0137,3.58E+03,0.697,0.363,0.26
957,0.00151,0.00557,0.0139,4.15E+03,0.581,0.548,0.411
1.02E+03,0.00308,0.00537,0.0141,4.80E+03,0.461,0.708,0.546
1.15E+03,0.00176,0.00404,0.0119,5.56E+03,0.346,0.801,0.63
1.28E+03,0.00198,0.00408,0.0125,6.44E+03,0,0,0
1.40E+03,0.00181,0.00381,0.0103,7.46E+03,0,0,0
1.53E+03,0.00164,0.00532,0.0102,8.63E+03,0,0,0
1.66E+03,0.00191,0.00421,0.00977,,,,
1.79E+03,0.00122,0.00355,0.00915,,,,
1.92E+03,0.0012,0.00364,0.00908,,,,
2.04E+03,0.000729,0.00303,0.00834,,,,
2.30E+03,0.000746,0.00212,0.00878,,,,
2.56E+03,0.00082,0.00291,0.00769,,,,
2.81E+03,0.00116,0.00285,0.00755,,,,
3.07E+03,0.00113,0.00185,0.00687,,,,
3.32E+03,0.000237,0.00331,0.00683,,,,
3.58E+03,0.00114,0.00251,0.00626,,,,
3.84E+03,0.00108,0.00162,0.00758,,,,
4.09E+03,0.000658,0.00232,0.0073,,,,
4.60E+03,0.000511,0.00217,0.00655,,,,
5.12E+03,0.000739,0.00315,0.00593,,,,
5.63E+03,0.000675,0.00325,0.00609,,,,
6.14E+03,0.00073,0.00203,0.0068,,,,
6.65E+03,0.000391,0.00247,0.00684,,,,
7.16E+03,0.000445,0.00317,0.00713,,,,
7.68E+03,0.000264,0.00163,0.00622,,,,
8.19E+03,0.000317,0.00222,0.00639,,,,
9.21E+03,0.00044,0.00252,0.00611,,,,
1.02E+04,0.000615,0.00209,0.00646,,,,
1.13E+04,0.00085,0.00135,0.00564,,,,
1.23E+04,0.00119,0.00162,0.00628,,,,
1.33E+04,0.00042,0.00182,0.00537,,,,
1.43E+04,0.000304,0.0018,0.00558,,,,
1.54E+04,0.000461,0.00129,0.00546,,,,
1.64E+04,0.00045,0.00141,0.00521,,,,
1.84E+04,0.000543,0.00206,0.00472,,,,
2.05E+04,0.000466,0.00199,0.00541,,,,
2.25E+04,0.000646,0.00143,0.00568,,,,
2.46E+04,0.000521,0.00157,0.00556,,,,
2.66E+04,0.000325,0.00133,0.00533,,,,
2.87E+04,0.000562,0.00146,0.00598,,,,
3.07E+04,0.000542,0.00112,0.00627,,,,
3.28E+04,0.000667,0.000842,0.00481,,,,
3.69E+04,0.000762,0.00134,0.00465,,,,
4.10E+04,0.000567,0.000848,0.00397,,,,
4.51E+04,0.000403,0.00126,0.00428,,,,
4.91E+04,0.000696,0.000663,0.00443,,,,
5.32E+04,0.00089,0.00067,0.00413,,,,
5.73E+04,0.00119,0.00115,0.00454,,,,
6.14E+04,0.00071,0.000594,0.00435,,,,
6.55E+04,0.000697,0.000901,0.00443,,,,
7.37E+04,0.000498,0.000937,0.00416,,,,
8.19E+04,0.00065,0.00104,0.0045,,,,
9.01E+04,0.000315,0.000863,0.00469,,,,
9.83E+04,0.000574,0.000819,0.00471,,,,
1.06E+05,0.000732,0.000884,0.00474,,,,
1.15E+05,0.000437,0.000658,0.00443,,,,
1.23E+05,0.000613,0.000987,0.00454,,,,
1.31E+05,0.000436,0.00103,0.00505,,,,
1.47E+05,0.000449,0.000678,0.00477,,,,
1.64E+05,0.00054,0.000657,0.00476,,,,
1.80E+05,0.000458,0.000721,0.00485,,,,
1.97E+05,0.000401,0.00061,0.00514,,,,
2.13E+05,0.000483,0.000672,0.00486,,,,
2.29E+05,0.000299,0.000833,0.0049,,,,
2.46E+05,0.000434,0.000851,0.00527,,,,
2.62E+05,0.000513,7.78E-05,0.00545,,,,
2.95E+05,0.000546,0.000136,0.00508,,,,
3.28E+05,0.000488,0.00041,0.00538,,,,
3.60E+05,0.000219,0.000593,0.00531,,,,
3.93E+05,0.000655,0.000359,0.00599,,,,
4.26E+05,0.000435,9.03E-05,0.00646,,,,
4.59E+05,0.000311,7.96E-05,0.00725,,,,
4.92E+05,0.000517,4.36E-05,0.00738,,,,
5.24E+05,0.000474,0.00106,0.00628,,,,
5.90E+05,0.000237,0.000709,0.00647,,,,
6.55E+05,0.000595,0.000555,0.00671,,,,
7.21E+05,0.000646,0.000691,0.00706,,,,
7.86E+05,0.000393,0.00112,0.0063,,,,
8.52E+05,0.000427,0.00072,0.00732,,,,
9.18E+05,0.000555,0.00129,0.0075,,,,
9.83E+05,0.000297,0.00141,0.00748,,,,
1.05E+06,0.00029,0.00049,0.00959,,,,
1.18E+06,0.000657,0.00059,0.00901,,,,
1.31E+06,0.000431,0.000287,0.00918,,,,
1.44E+06,0.000441,0.000199,0.0102,,,,
1.57E+06,0.00101,0.000293,0.0107,,,,
1.70E+06,0.00101,0.000166,0.00876,,,,
1.84E+06,0.00132,0,0.00971,,,,
1.97E+06,0.00265,0.000227,0.00921,,,,
2.10E+06,0,0,0,,,,
2.36E+06,0,0,0,,,,
2.62E+06,0,0,0,,,,
2.88E+06,0,0,0,,,,
