X Lag Time,Record 1: JJ1_01mg_PS8_500ug_200rpm_10-00min_ST_No2 1,Record 2: JJ1_01mg_PS8_500ug_200rpm_10-00min_ST_No2 2,Record 3: JJ1_01mg_PS8_500ug_200rpm_10-00min_ST_No2 3,X Intensity,Record 1: JJ1_01mg_PS8_500ug_200rpm_10-00min_ST_No2 1,Record 2: JJ1_01mg_PS8_500ug_200rpm_10-00min_ST_No2 2,Record 3: JJ1_01mg_PS8_500ug_200rpm_10-00min_ST_No2 3
0.5,0.822,0.831,0.829,0.4,0,0,0
1,0.809,0.814,0.82,0.463,0,0,0
1.5,0.798,0.802,0.808,0.536,0,0,0
2,0.79,0.794,0.799,0.621,0,0,0
2.5,0.782,0.784,0.791,0.719,0,0,0
3,0.77,0.772,0.781,0.833,0,0,0
3.5,0.761,0.764,0.77,0.965,0,0,0
4,0.755,0.755,0.765,1.12,0,0,0
4.5,0.745,0.746,0.758,1.29,0,0,0
5.5,0.734,0.73,0.745,1.5,0,0,0
6.5,0.717,0.717,0.732,1.74,0,0,0
7.5,0.706,0.709,0.718,2.01,0,0,0
8.5,0.696,0.693,0.705,2.33,0,0,0
9.5,0.686,0.68,0.697,2.7,0,0,0
10.5,0.675,0.671,0.683,3.12,0,0,0
11.5,0.663,0.658,0.677,3.62,0,0,0
12.5,0.654,0.648,0.667,4.19,0,0,0
14.5,0.633,0.63,0.649,4.85,0,0,0
16.5,0.616,0.611,0.631,5.61,0,0,0
18.5,0.6,0.593,0.614,6.5,0,0,0
20.5,0.587,0.576,0.6,7.53,0.0981,0.159,0.641
22.5,0.571,0.562,0.585,8.72,1.8,2.41,2.66
24.5,0.557,0.546,0.569,10.1,4.71,5.75,5.23
26.5,0.542,0.534,0.56,11.7,7.56,8.44,7.22
28.5,0.53,0.518,0.547,13.5,9.14,9.3,7.87
32.5,0.508,0.495,0.524,15.7,8.78,8.1,7.09
36.5,0.488,0.472,0.504,18.2,6.66,5.52,5.3
40.5,0.469,0.456,0.485,21,3.7,2.7,3.2
44.5,0.452,0.437,0.468,24.4,1.16,0.707,1.42
48.5,0.437,0.421,0.455,28.2,0,0,0.351
52.5,0.423,0.406,0.441,32.7,0,0,0
56.5,0.41,0.394,0.428,37.8,0,0,0
60.5,0.4,0.381,0.416,43.8,0,0,0
68.5,0.379,0.361,0.396,50.7,0,0,0
76.5,0.36,0.344,0.379,58.8,0,0,0
84.5,0.347,0.328,0.365,68.1,0,0,0
92.5,0.334,0.315,0.351,78.8,0,0,0
101,0.323,0.304,0.34,91.3,0,0.223,0
109,0.312,0.294,0.33,106,0,1.63,0
117,0.302,0.284,0.321,122,1.96,4.17,1.33
125,0.295,0.276,0.313,142,5.66,7.15,4.3
141,0.28,0.261,0.301,164,9.61,9.6,8.04
157,0.268,0.248,0.286,190,12,10.7,11.1
173,0.258,0.237,0.275,220,11.8,9.95,12.2
189,0.248,0.228,0.265,255,9.03,7.6,10.8
205,0.239,0.218,0.255,295,4.89,4.4,7.35
221,0.231,0.211,0.247,342,1.38,1.51,3.33
237,0.224,0.202,0.241,396,0,0,0.555
253,0.218,0.195,0.233,459,0,0,0
285,0.205,0.184,0.218,531,0,0,0
317,0.194,0.172,0.206,615,0,0,0
349,0.183,0.161,0.195,712,0,0,0
381,0.174,0.151,0.185,825,0,0,0
413,0.166,0.142,0.176,955,0,0,0
445,0.158,0.135,0.169,1.11E+03,0,0,0
477,0.15,0.128,0.161,1.28E+03,0,0,0
509,0.142,0.123,0.154,1.48E+03,0,0,0
573,0.13,0.111,0.14,1.72E+03,0,0,0
637,0.121,0.101,0.13,1.99E+03,0,0,0
701,0.112,0.0923,0.119,2.30E+03,0,0,0
