X Lag Time,Record 1: JJ1_01mg_PO1_250ug_200rpm_10-00min_PM_No2_230608 1,Record 2: JJ1_01mg_PO1_250ug_200rpm_10-00min_PM_No2_230608 2,Record 3: JJ1_01mg_PO1_250ug_200rpm_10-00min_PM_No2_230608 3,X Intensity,Record 1: JJ1_01mg_PO1_250ug_200rpm_10-00min_PM_No2_230608 1,Record 2: JJ1_01mg_PO1_250ug_200rpm_10-00min_PM_No2_230608 2,Record 3: JJ1_01mg_PO1_250ug_200rpm_10-00min_PM_No2_230608 3
0.5,0.788,0.783,0.788,0.4,0,0,0
1,0.767,0.761,0.767,0.463,0,0,0
1.5,0.743,0.739,0.744,0.536,0,0,0
2,0.725,0.72,0.724,0.621,0,0,0
2.5,0.708,0.708,0.708,0.719,0,0,0
3,0.695,0.686,0.693,0.833,0,0,0
3.5,0.679,0.671,0.674,0.965,0,0,0
4,0.664,0.651,0.661,1.12,0,0,0
4.5,0.65,0.644,0.643,1.29,0,0,0
5.5,0.623,0.619,0.62,1.5,0,0,0
6.5,0.602,0.591,0.593,1.74,0,0,0
7.5,0.58,0.571,0.572,2.01,0,0,0
8.5,0.559,0.551,0.549,2.33,0,0,0
9.5,0.545,0.531,0.533,2.7,0,0,0
10.5,0.523,0.511,0.515,3.12,0,0,0
11.5,0.506,0.492,0.498,3.62,0,0,0
12.5,0.488,0.477,0.479,4.19,0,0,0
14.5,0.459,0.448,0.449,4.85,0,0,0
16.5,0.432,0.418,0.418,5.61,0,0,0
18.5,0.404,0.391,0.393,6.5,0,0,0
20.5,0.381,0.369,0.37,7.53,1.42,0.749,1.25
22.5,0.357,0.345,0.348,8.72,4.48,3.07,4.12
24.5,0.34,0.328,0.327,10.1,8.23,6.5,7.83
26.5,0.32,0.308,0.307,11.7,11.4,9.98,11.2
28.5,0.302,0.291,0.29,13.5,12.9,12.4,13.1
32.5,0.269,0.262,0.258,15.7,12.4,13.1,13
36.5,0.243,0.234,0.235,18.2,10.1,11.9,11
40.5,0.219,0.21,0.21,21,6.76,9.2,7.76
44.5,0.201,0.191,0.189,24.4,3.41,5.84,4.27
48.5,0.183,0.173,0.173,28.2,1.01,2.77,1.52
52.5,0.168,0.157,0.158,32.7,0,0.746,0.132
56.5,0.155,0.144,0.144,37.8,0,0,0
60.5,0.143,0.132,0.134,43.8,0,0,0
68.5,0.123,0.112,0.115,50.7,0,0,0
76.5,0.108,0.0971,0.101,58.8,0,0,0
84.5,0.0952,0.0869,0.0867,68.1,0,0,0
92.5,0.088,0.0754,0.0771,78.8,0,0,0
101,0.0801,0.0687,0.0695,91.3,0,0,0
109,0.0734,0.0619,0.0627,106,0,0,0
117,0.068,0.058,0.0591,122,0.0188,0,0
125,0.0641,0.0544,0.0553,142,0.377,0.0578,0.0462
141,0.0569,0.0481,0.0493,164,1.09,0.379,0.395
157,0.0521,0.0436,0.0441,190,1.99,0.96,1.05
173,0.0487,0.0393,0.0425,220,2.89,1.68,1.86
189,0.045,0.0368,0.0408,255,3.58,2.4,2.64
205,0.0422,0.0357,0.038,295,3.92,2.95,3.24
221,0.0412,0.0339,0.0369,342,3.88,3.24,3.52
237,0.0391,0.0312,0.0347,396,3.46,3.23,3.45
253,0.0375,0.0289,0.0334,459,2.78,2.92,3.06
285,0.0343,0.0254,0.0296,531,1.97,2.39,2.43
317,0.0308,0.0234,0.0262,615,1.18,1.74,1.69
349,0.029,0.022,0.0241,712,0.544,1.08,0.984
381,0.0246,0.0203,0.0238,825,0.149,0.524,0.431
413,0.0216,0.0178,0.0219,955,0,0.157,0.105
445,0.0206,0.0156,0.0188,1.11E+03,0,0.000294,0
477,0.0181,0.0142,0.0178,1.28E+03,0,0,0
509,0.0162,0.0121,0.0158,1.48E+03,0,0,0
573,0.0148,0.00887,0.0128,1.72E+03,0,0,0
637,0.0118,0.00837,0.0114,1.99E+03,0,0,0
701,0.0102,0.00602,0.00893,2.30E+03,0,0,0
765,0.0079,0.0038,0.00727,2.67E+03,0,0,0
829,0.0065,0.00198,0.00621,3.09E+03,0,0,0
893,0.00598,0.00278,0.00579,3.58E+03,0,0,0
957,0.00539,0.00246,0.00406,4.15E+03,0,0,0
1.02E+03,0.00422,0.00274,0.00382,4.80E+03,0,0,0
1.15E+03,0.00541,0.0016,0.00267,5.56E+03,0,0,0
1.28E+03,0.00481,0.00274,0.00207,6.44E+03,0,0,0
1.40E+03,0.00489,0.00334,0.00167,7.46E+03,0,0,0
1.53E+03,0.00291,0.00282,0.00164,8.63E+03,0,0,0
1.66E+03,0.00373,0.0032,0.000766,,,,
1.79E+03,0.00413,0.00187,0.00249,,,,
1.92E+03,0.00402,0.00192,0.00188,,,,
2.04E+03,0.00321,0.0017,0.00108,,,,
2.30E+03,0.003,0.00169,0.00129,,,,
2.56E+03,0.00266,0.00236,0.00226,,,,
2.81E+03,0.00294,0.00141,0.00249,,,,
