X Lag Time,Record 1: JJ1_01mg_PO1_500ug_200rpm_10-00min_ST_No1 1,Record 2: JJ1_01mg_PO1_500ug_200rpm_10-00min_ST_No1 2,Record 3: JJ1_01mg_PO1_500ug_200rpm_10-00min_ST_No1 3,X Intensity,Record 1: JJ1_01mg_PO1_500ug_200rpm_10-00min_ST_No1 1,Record 2: JJ1_01mg_PO1_500ug_200rpm_10-00min_ST_No1 2,Record 3: JJ1_01mg_PO1_500ug_200rpm_10-00min_ST_No1 3
0.5,0.747,0.75,0.783,0.4,0,0,0
1,0.723,0.723,0.757,0.463,0,0,0
1.5,0.702,0.71,0.738,0.536,0,0,0
2,0.685,0.683,0.713,0.621,0,0,0
2.5,0.663,0.669,0.694,0.719,0,0,0
3,0.647,0.65,0.679,0.833,0,0,0
3.5,0.625,0.635,0.662,0.965,0,0,0
4,0.614,0.618,0.643,1.12,0,0,0
4.5,0.602,0.606,0.63,1.29,0,0,0
5.5,0.572,0.58,0.603,1.5,0,0,0
6.5,0.548,0.556,0.583,1.74,0,0,0
7.5,0.525,0.534,0.559,2.01,0,0,0
8.5,0.504,0.513,0.536,2.33,0,0,0
9.5,0.484,0.492,0.516,2.7,0,0,0
10.5,0.464,0.471,0.496,3.12,0,0,0
11.5,0.446,0.456,0.481,3.62,0,0,0
12.5,0.429,0.439,0.462,4.19,0,0,0
14.5,0.397,0.409,0.432,4.85,0,0,0
16.5,0.366,0.378,0.4,5.61,0,0,0
18.5,0.341,0.355,0.376,6.5,0.573,0,1.13
20.5,0.317,0.331,0.353,7.53,2.53,1.71,3.67
22.5,0.296,0.31,0.331,8.72,5.58,5.09,7.04
24.5,0.273,0.29,0.309,10.1,8.91,9.13,10.3
26.5,0.256,0.272,0.293,11.7,11.6,12.5,12.4
28.5,0.238,0.257,0.277,13.5,13.1,14.2,12.9
32.5,0.209,0.225,0.246,15.7,13,13.8,11.6
36.5,0.182,0.2,0.221,18.2,11.4,11.4,9.01
40.5,0.159,0.177,0.199,21,8.85,7.79,5.76
44.5,0.142,0.16,0.181,24.4,5.85,4.08,2.77
48.5,0.128,0.143,0.165,28.2,3.1,1.29,0.759
52.5,0.111,0.127,0.151,32.7,1.12,0,0
56.5,0.101,0.118,0.139,37.8,0.149,0,0
60.5,0.0917,0.108,0.13,43.8,0,0,0
68.5,0.075,0.0904,0.113,50.7,0,0,0
76.5,0.0631,0.0777,0.1,58.8,0,0,0
84.5,0.0533,0.0694,0.0888,68.1,0,0,0
92.5,0.047,0.0612,0.08,78.8,0,0,0
101,0.041,0.0559,0.0746,91.3,0,0,0
109,0.0369,0.0517,0.0706,106,0,0,0
117,0.0334,0.0479,0.066,122,0,0,0
125,0.03,0.0445,0.0628,142,0,0,0
141,0.0249,0.0394,0.0596,164,0,0,0
157,0.0219,0.0369,0.0553,190,0,0.0465,0.152
173,0.0204,0.0344,0.051,220,0.0359,0.322,0.55
189,0.02,0.0316,0.05,255,0.166,0.815,1.12
205,0.0196,0.0296,0.0481,295,0.392,1.42,1.73
221,0.0181,0.0277,0.0456,342,0.68,1.99,2.22
237,0.0157,0.0272,0.044,396,0.985,2.42,2.5
253,0.0145,0.0266,0.0436,459,1.26,2.62,2.51
285,0.0137,0.0247,0.0413,531,1.47,2.57,2.26
317,0.0117,0.022,0.0403,615,1.59,2.29,1.82
349,0.0113,0.0232,0.0399,712,1.6,1.85,1.29
381,0.0117,0.0221,0.0384,825,1.51,1.32,0.763
413,0.0111,0.0205,0.0357,955,1.34,0.81,0.345
445,0.0105,0.0197,0.0351,1.11E+03,1.11,0.393,0.0909
477,0.00975,0.0185,0.0338,1.28E+03,0.845,0.122,0
