X Lag Time,Record 16: G12 1,Record 17: G12 2,Record 18: G12 3,X Intensity,Record 16: G12 1,Record 17: G12 2,Record 18: G12 3
0.5,0.849,0.856,0.859,0.4,0,0,0
1,0.844,0.849,0.852,0.463,0,0,0
1.5,0.835,0.841,0.843,0.536,0,0,0
2,0.825,0.832,0.834,0.621,0,0,0
2.5,0.82,0.826,0.826,0.719,0,0,0
3,0.813,0.82,0.821,0.833,0,0,0
3.5,0.809,0.814,0.816,0.965,0,0,0
4,0.801,0.807,0.808,1.12,0,0,0
4.5,0.796,0.801,0.802,1.29,0,0,0
5.5,0.784,0.791,0.794,1.5,0,0,0
6.5,0.775,0.779,0.781,1.74,0,0,0
7.5,0.765,0.77,0.772,2.01,0,0,0
8.5,0.757,0.762,0.762,2.33,0,0,0
9.5,0.747,0.753,0.753,2.7,0,0,0
10.5,0.739,0.743,0.744,3.12,0,0,0
11.5,0.732,0.735,0.736,3.62,0,0,0
12.5,0.724,0.727,0.729,4.19,0,0,0
14.5,0.709,0.711,0.715,4.85,0,0,0
16.5,0.695,0.698,0.699,5.61,0,0,0
18.5,0.682,0.684,0.686,6.5,0,0.341,0
20.5,0.669,0.671,0.672,7.53,0,0.964,0.172
22.5,0.657,0.658,0.659,8.72,0.639,1.67,1.32
24.5,0.645,0.646,0.648,10.1,2.13,2.28,2.96
26.5,0.634,0.634,0.636,11.7,3.71,2.72,4.24
28.5,0.623,0.624,0.626,13.5,4.59,2.97,4.54
32.5,0.603,0.603,0.605,15.7,4.37,3.04,3.77
36.5,0.585,0.585,0.586,18.2,3.23,2.93,2.32
40.5,0.568,0.567,0.569,21,1.72,2.61,0.885
44.5,0.552,0.551,0.553,24.4,0.514,2.1,0.0698
48.5,0.538,0.537,0.538,28.2,0,1.45,0
52.5,0.523,0.524,0.524,32.7,0,0.778,0
56.5,0.511,0.511,0.512,37.8,0,0.254,0
60.5,0.499,0.499,0.5,43.8,0,0,0
68.5,0.478,0.477,0.477,50.7,0,0,0
76.5,0.458,0.457,0.458,58.8,0.179,0,0.228
84.5,0.44,0.44,0.441,68.1,0.861,0,1.06
92.5,0.425,0.423,0.425,78.8,2.02,0.494,2.43
101,0.41,0.41,0.411,91.3,3.47,1.67,4.06
109,0.396,0.396,0.397,106,4.94,3.45,5.64
117,0.384,0.383,0.385,122,6.22,5.51,6.87
125,0.372,0.372,0.373,142,7.15,7.5,7.58
141,0.351,0.351,0.352,164,7.65,9.02,7.75
157,0.332,0.331,0.333,190,7.73,9.81,7.42
173,0.315,0.314,0.316,220,7.41,9.72,6.71
189,0.299,0.298,0.3,255,6.79,8.78,5.78
205,0.285,0.283,0.286,295,5.93,7.16,4.77
221,0.271,0.271,0.272,342,4.92,5.18,3.79
237,0.258,0.258,0.259,396,3.86,3.18,2.92
253,0.247,0.247,0.247,459,2.81,1.51,2.19
285,0.225,0.226,0.225,531,1.85,0.429,1.61
317,0.206,0.207,0.206,615,1.05,0,1.15
349,0.189,0.191,0.189,712,0.471,0,0.797
381,0.174,0.176,0.174,825,0.127,0,0.524
413,0.161,0.162,0.16,955,0,0,0.313
445,0.148,0.15,0.148,1.11E+03,0,0,0.158
477,0.137,0.139,0.137,1.28E+03,0,0,0.0571
509,0.127,0.129,0.128,1.48E+03,0,0,0.00825
573,0.111,0.112,0.112,1.72E+03,0,0,0
637,0.0968,0.0964,0.0973,1.99E+03,0,0,0
701,0.0844,0.0844,0.0857,2.30E+03,0,0,0.0185
765,0.0742,0.075,0.0762,2.67E+03,0,0,0.135
829,0.0672,0.0655,0.0684,3.09E+03,0,0,0.383
893,0.0604,0.0575,0.0619,3.58E+03,0.164,0,0.749
957,0.0544,0.0516,0.0561,4.15E+03,0.577,0.14,1.18
1.02E+03,0.0497,0.0479,0.0517,4.80E+03,1.17,0.719,1.59
1.15E+03,0.0418,0.0411,0.0443,5.56E+03,1.77,1.62,1.86
1.28E+03,0.0353,0.0345,0.039,6.44E+03,0,0,0
1.40E+03,0.0303,0.0297,0.0344,7.46E+03,0,0,0
1.53E+03,0.0266,0.0254,0.0305,8.63E+03,0,0,0
1.66E+03,0.0223,0.0229,0.0283,,,,
1.79E+03,0.02,0.021,0.0257,,,,
1.92E+03,0.0177,0.0188,0.0217,,,,
2.04E+03,0.0162,0.0175,0.019,,,,
2.30E+03,0.0146,0.0148,0.0157,,,,
2.56E+03,0.0124,0.0123,0.0155,,,,
2.81E+03,0.0121,0.0106,0.014,,,,
3.07E+03,0.0108,0.0103,0.0124,,,,
3.32E+03,0.0107,0.0106,0.0121,,,,
3.58E+03,0.00955,0.00927,0.0118,,,,
3.84E+03,0.0083,0.00842,0.0119,,,,
4.09E+03,0.00804,0.00828,0.0115,,,,
4.60E+03,0.0084,0.00844,0.0125,,,,
5.12E+03,0.00734,0.00824,0.00956,,,,
5.63E+03,0.00584,0.00776,0.00717,,,,
6.14E+03,0.00699,0.00789,0.00836,,,,
6.65E+03,0.00635,0.00715,0.01,,,,
7.16E+03,0.00719,0.00659,0.0103,,,,
7.68E+03,0.00553,0.00669,0.0105,,,,
8.19E+03,0.00611,0.0085,0.0109,,,,
9.21E+03,0.00744,0.00833,0.00934,,,,
