X Lag Time,Record 1: JJ1_01mg_PO1_010ug_200rpm_10-00min_ST_No2_230620 1,Record 2: JJ1_01mg_PO1_010ug_200rpm_10-00min_ST_No2_230620 2,Record 3: JJ1_01mg_PO1_010ug_200rpm_10-00min_ST_No2_230620 3,X Intensity,Record 1: JJ1_01mg_PO1_010ug_200rpm_10-00min_ST_No2_230620 1,Record 2: JJ1_01mg_PO1_010ug_200rpm_10-00min_ST_No2_230620 2,Record 3: JJ1_01mg_PO1_010ug_200rpm_10-00min_ST_No2_230620 3
0.5,0.893,0.865,0.876,0.4,0,0,0
1,0.892,0.857,0.868,0.463,0,0,0
1.5,0.884,0.853,0.865,0.536,0,0,0
2,0.88,0.841,0.854,0.621,0,0,0
2.5,0.871,0.84,0.855,0.719,0,0,0
3,0.864,0.841,0.849,0.833,0,0,0
3.5,0.86,0.834,0.844,0.965,0,0,0
4,0.856,0.835,0.848,1.12,0,0,0
4.5,0.854,0.828,0.848,1.29,0,0,0
5.5,0.851,0.822,0.84,1.5,0,0,0
6.5,0.847,0.815,0.832,1.74,0,0,0
7.5,0.84,0.807,0.829,2.01,0,0,0
8.5,0.834,0.801,0.822,2.33,0,0,0
9.5,0.831,0.798,0.817,2.7,0,0,0
10.5,0.824,0.788,0.813,3.12,0,0,0
11.5,0.822,0.786,0.806,3.62,0,0,0
12.5,0.815,0.783,0.804,4.19,0,0,0
14.5,0.806,0.774,0.799,4.85,0,0,0
16.5,0.801,0.767,0.791,5.61,0,0,0
18.5,0.796,0.759,0.786,6.5,0,0,0
20.5,0.786,0.75,0.777,7.53,0,0,0
22.5,0.78,0.743,0.77,8.72,0,0.297,0.573
24.5,0.773,0.743,0.766,10.1,0.695,1.11,1.69
26.5,0.763,0.731,0.755,11.7,2.29,1.98,2.55
28.5,0.761,0.724,0.752,13.5,3.25,2.37,2.48
32.5,0.749,0.714,0.741,15.7,2.65,2.08,1.48
36.5,0.739,0.703,0.732,18.2,1.07,1.29,0.349
40.5,0.729,0.693,0.724,21,0,0.46,0
44.5,0.719,0.684,0.714,24.4,0,0.00227,0
48.5,0.711,0.677,0.705,28.2,0,0,0
52.5,0.702,0.668,0.7,32.7,0,0,0
56.5,0.694,0.66,0.693,37.8,0,0,0
60.5,0.686,0.652,0.686,43.8,0,0,0
68.5,0.674,0.638,0.673,50.7,0,0,0
76.5,0.66,0.627,0.662,58.8,0,0,0
84.5,0.648,0.615,0.65,68.1,0,0,0
