X Lag Time,Record 1: JJ1_01mg_PO1_100ug_200rpm_10-00min_ST_No2_230621 1,Record 2: JJ1_01mg_PO1_100ug_200rpm_10-00min_ST_No2_230621 2,Record 3: JJ1_01mg_PO1_100ug_200rpm_10-00min_ST_No2_230621 3,X Intensity,Record 1: JJ1_01mg_PO1_100ug_200rpm_10-00min_ST_No2_230621 1,Record 2: JJ1_01mg_PO1_100ug_200rpm_10-00min_ST_No2_230621 2,Record 3: JJ1_01mg_PO1_100ug_200rpm_10-00min_ST_No2_230621 3
0.5,0.801,0.793,0.806,0.4,0,0,0
1,0.775,0.772,0.781,0.463,0,0,0
1.5,0.748,0.749,0.763,0.536,0,0,0
2,0.727,0.727,0.738,0.621,0,0,0
2.5,0.713,0.705,0.72,0.719,0,0,0
3,0.693,0.692,0.709,0.833,0,0,0
3.5,0.673,0.671,0.688,0.965,0,0,0
4,0.657,0.662,0.672,1.12,0,0,0
4.5,0.647,0.646,0.657,1.29,0,0,0
5.5,0.617,0.617,0.633,1.5,0,0,0
6.5,0.593,0.592,0.608,1.74,0,0,0
7.5,0.567,0.57,0.583,2.01,0,0,0
8.5,0.547,0.547,0.559,2.33,0,0,0
9.5,0.527,0.527,0.541,2.7,0,0,0
10.5,0.508,0.504,0.521,3.12,0,0,0
11.5,0.486,0.488,0.505,3.62,0,0,0
12.5,0.471,0.471,0.487,4.19,0,0,0
14.5,0.438,0.439,0.456,4.85,0,0,0
16.5,0.404,0.41,0.425,5.61,0,0,0
18.5,0.379,0.383,0.4,6.5,0,0.247,0.147
20.5,0.353,0.357,0.374,7.53,1.69,1.93,1.44
22.5,0.329,0.336,0.35,8.72,5.1,4.95,3.84
24.5,0.307,0.315,0.33,10.1,9.07,8.47,6.79
26.5,0.29,0.294,0.312,11.7,12.3,11.4,9.55
28.5,0.272,0.276,0.293,13.5,13.8,13,11.5
32.5,0.238,0.246,0.26,15.7,13.2,12.7,12.2
36.5,0.211,0.218,0.233,18.2,10.8,10.8,11.7
40.5,0.189,0.196,0.21,21,7.51,7.83,10.1
44.5,0.167,0.174,0.187,24.4,4.14,4.61,7.87
48.5,0.151,0.157,0.171,28.2,1.56,1.96,5.4
52.5,0.137,0.142,0.156,32.7,0.229,0.423,3.14
56.5,0.123,0.129,0.143,37.8,0,0,1.42
60.5,0.114,0.118,0.131,43.8,0,0,0.389
68.5,0.0949,0.0995,0.111,50.7,0,0,0
76.5,0.0817,0.0863,0.098,58.8,0,0,0
84.5,0.072,0.0753,0.0859,68.1,0,0,0
92.5,0.0619,0.0657,0.0755,78.8,0,0,0
101,0.0557,0.0588,0.0679,91.3,0,0,0
109,0.0507,0.0536,0.0643,106,0,0,0
117,0.045,0.0485,0.0584,122,0.0663,0.000556,0
125,0.0415,0.0456,0.0549,142,0.34,0.226,0.0059
141,0.0364,0.0409,0.0495,164,0.813,0.702,0.0676
157,0.0322,0.0371,0.0447,190,1.4,1.34,0.198
173,0.0294,0.0349,0.0415,220,1.97,2,0.385
189,0.0267,0.0309,0.0402,255,2.43,2.55,0.608
205,0.0264,0.0285,0.0382,295,2.69,2.89,0.839
221,0.0241,0.0271,0.0345,342,2.72,2.96,1.05
237,0.0228,0.0252,0.0329,396,2.51,2.76,1.23
253,0.0202,0.0246,0.0313,459,2.12,2.34,1.34
285,0.0171,0.022,0.0285,531,1.61,1.78,1.4
317,0.0157,0.0187,0.0274,615,1.08,1.18,1.39
349,0.0155,0.0167,0.0244,712,0.601,0.64,1.31
381,0.0136,0.0154,0.0219,825,0.248,0.25,1.19
413,0.0116,0.0145,0.0225,955,0.054,0.046,1.02
445,0.0107,0.0117,0.02,1.11E+03,0,0,0.837
