X Lag Time,Record 1: JJ1_01mg_PS2_010ug_200rpm_10-00min_ST_No2_230620 1,Record 2: JJ1_01mg_PS2_010ug_200rpm_10-00min_ST_No2_230620 2,Record 3: JJ1_01mg_PS2_010ug_200rpm_10-00min_ST_No2_230620 3,X Intensity,Record 1: JJ1_01mg_PS2_010ug_200rpm_10-00min_ST_No2_230620 1,Record 2: JJ1_01mg_PS2_010ug_200rpm_10-00min_ST_No2_230620 2,Record 3: JJ1_01mg_PS2_010ug_200rpm_10-00min_ST_No2_230620 3
0.5,0.901,0.905,0.884,0.4,0,0,0
1,0.902,0.901,0.879,0.463,0,0,0
1.5,0.893,0.897,0.874,0.536,0,0,0
2,0.891,0.892,0.871,0.621,0,0,0
2.5,0.882,0.886,0.869,0.719,0,0,0
3,0.885,0.884,0.857,0.833,0,0,0
3.5,0.879,0.88,0.856,0.965,0,0,0
4,0.879,0.882,0.854,1.12,0,0,0
4.5,0.874,0.877,0.851,1.29,0,0,0
5.5,0.871,0.866,0.848,1.5,0,0,0
6.5,0.863,0.863,0.84,1.74,0,0,0
7.5,0.86,0.859,0.835,2.01,0,0,0
8.5,0.854,0.855,0.836,2.33,0,0,0
9.5,0.851,0.855,0.828,2.7,0,0,0
10.5,0.843,0.845,0.824,3.12,0,0,0
11.5,0.844,0.845,0.815,3.62,0,0,0
12.5,0.836,0.84,0.814,4.19,0,0,0
14.5,0.829,0.829,0.808,4.85,0,0,0
16.5,0.823,0.824,0.801,5.61,0,0,0
18.5,0.816,0.815,0.793,6.5,0,0,0
20.5,0.81,0.81,0.786,7.53,0,0,0
22.5,0.804,0.803,0.78,8.72,0.277,0,0.126
24.5,0.797,0.798,0.777,10.1,1.21,0.424,0.859
26.5,0.792,0.792,0.768,11.7,2.09,1.2,1.66
28.5,0.786,0.787,0.766,13.5,2.19,1.89,1.99
32.5,0.774,0.776,0.753,15.7,1.42,2.02,1.67
36.5,0.765,0.767,0.743,18.2,0.439,1.49,0.984
40.5,0.757,0.758,0.735,21,0,0.616,0.328
44.5,0.748,0.749,0.726,24.4,0,0,0
48.5,0.738,0.742,0.717,28.2,0,0,0
52.5,0.731,0.731,0.71,32.7,0,0,0
56.5,0.725,0.724,0.701,37.8,0,0,0
60.5,0.718,0.718,0.694,43.8,0,0,0
68.5,0.702,0.704,0.681,50.7,0,0,0
76.5,0.691,0.693,0.668,58.8,0,0,0
84.5,0.678,0.681,0.657,68.1,0,0,0
92.5,0.67,0.67,0.647,78.8,0,0,0
101,0.658,0.662,0.636,91.3,0,0,0
109,0.649,0.651,0.627,106,0,0,0
117,0.64,0.642,0.618,122,0,0,0
125,0.631,0.634,0.609,142,0,0,0
141,0.615,0.618,0.592,164,0,0.558,0.302
157,0.6,0.602,0.577,190,0.234,2.09,1.37
173,0.585,0.587,0.561,220,1.13,4.28,3.19
189,0.57,0.573,0.547,255,2.74,6.58,5.45
205,0.557,0.56,0.533,295,4.88,8.48,7.74
221,0.543,0.547,0.521,342,7.22,9.62,9.64
237,0.53,0.535,0.509,396,9.36,9.91,10.8
253,0.518,0.522,0.496,459,11,9.39,11.2
285,0.495,0.5,0.472,531,11.7,8.26,10.7
317,0.473,0.478,0.45,615,11.5,6.77,9.43
349,0.452,0.458,0.43,712,10.5,5.17,7.69
381,0.432,0.439,0.411,825,8.64,3.66,5.71
413,0.414,0.42,0.393,955,6.4,2.38,3.79
445,0.396,0.402,0.375,1.11E+03,4.11,1.44,2.15
477,0.379,0.385,0.359,1.28E+03,2.13,0.839,0.95
509,0.363,0.369,0.344,1.48E+03,0.747,0.564,0.255
573,0.335,0.34,0.315,1.72E+03,0.0855,0.555,0
637,0.308,0.314,0.287,1.99E+03,0,0.736,0
701,0.285,0.291,0.263,2.30E+03,0,1.02,0
765,0.264,0.268,0.242,2.67E+03,0,1.34,0
829,0.244,0.248,0.223,3.09E+03,0,1.61,0.0371
893,0.225,0.23,0.206,3.58E+03,0,1.8,0.166
957,0.208,0.215,0.189,4.15E+03,0,1.87,0.377
1.02E+03,0.193,0.2,0.174,4.80E+03,0,1.81,0.619
1.15E+03,0.165,0.173,0.149,5.56E+03,0,1.62,0.821
1.28E+03,0.141,0.15,0.127,6.44E+03,0,0,0
1.40E+03,0.121,0.132,0.108,7.46E+03,0,0,0
1.53E+03,0.105,0.117,0.0941,8.63E+03,0,0,0
1.66E+03,0.0918,0.104,0.082,,,,
1.79E+03,0.0802,0.0939,0.0718,,,,
1.92E+03,0.0713,0.0853,0.0624,,,,
2.04E+03,0.0635,0.0779,0.0555,,,,
2.30E+03,0.0493,0.0648,0.0425,,,,
2.56E+03,0.0379,0.0526,0.0341,,,,
2.81E+03,0.0278,0.0429,0.028,,,,
3.07E+03,0.0201,0.0351,0.0228,,,,
3.32E+03,0.014,0.0314,0.0181,,,,
3.58E+03,0.00909,0.0267,0.0146,,,,
3.84E+03,0.00825,0.0224,0.0117,,,,
4.09E+03,0.00854,0.0163,0.00962,,,,
4.60E+03,0.0069,0.0105,0.00426,,,,
5.12E+03,0.00577,0.00695,0.00473,,,,
5.63E+03,0.000911,0.00396,0.00576,,,,
6.14E+03,6.11E-05,0.00144,0.00607,,,,
6.65E+03,0.000474,0.00132,0.00585,,,,
7.16E+03,0.00408,0.00111,0.0059,,,,
7.68E+03,0.00617,0.00101,0.00569,,,,
8.19E+03,0.00511,0.00254,0.00434,,,,
9.21E+03,0.00722,0.00376,0.00182,,,,
1.02E+04,0.00619,0.00694,0.0032,,,,
1.13E+04,0.00343,0.00437,0.00247,,,,
1.23E+04,0.00194,0.00221,0.00112,,,,
1.33E+04,0.00456,0.00511,0.00154,,,,
1.43E+04,0.00407,0.00318,0.00624,,,,
1.54E+04,0.00428,0.00104,0.00946,,,,
1.64E+04,0.00783,0.00245,0.00716,,,,
1.84E+04,0.00509,0.00193,0.00211,,,,
2.05E+04,0.00811,0.00781,0.00457,,,,
2.25E+04,0.00498,0.00178,0.0052,,,,
2.46E+04,0.00168,0.00133,0.00435,,,,
2.66E+04,0.000948,0.000789,0.0039,,,,
2.87E+04,0.00459,0.000863,0.00842,,,,
3.07E+04,0.00514,0.00205,0.00704,,,,
3.28E+04,0.00403,0.00553,0.00496,,,,
3.69E+04,0.0011,0.00369,0.00405,,,,
4.10E+04,0.00253,0.00788,0.00135,,,,
4.51E+04,0.00197,0.0036,0.00283,,,,
4.91E+04,0.00108,0.000552,0.00166,,,,
5.32E+04,0.00187,0.00124,0.000941,,,,
5.73E+04,0.00361,0.00172,0.00141,,,,
6.14E+04,0.00631,0.00224,0.00294,,,,
6.55E+04,0.00277,0.00335,0.0012,,,,
7.37E+04,0.00208,0.00407,0.00161,,,,
8.19E+04,0,0.00238,0.00142,,,,
9.01E+04,0.00311,0.00171,0.00159,,,,
9.83E+04,0.00389,0.00231,0.000738,,,,
1.06E+05,0.00298,0.000864,0.000755,,,,
1.15E+05,0.00216,0.00394,0.00335,,,,
1.23E+05,0.00233,0.00283,0.000711,,,,
1.31E+05,0.00161,0.0022,0.00207,,,,
1.47E+05,0.00436,0.00212,0.00293,,,,
1.64E+05,0.00223,0.00238,0.00218,,,,
1.80E+05,0.00243,0.00394,0.00147,,,,
1.97E+05,0.00183,0.00184,0.000967,,,,
2.13E+05,0.00211,0.00245,0.00313,,,,
2.29E+05,0.00444,0.000187,0.00114,,,,
2.46E+05,0.00336,0,0.00214,,,,
2.62E+05,0.00245,0.00125,0.00279,,,,
2.95E+05,0.00383,0.000447,0.00232,,,,
3.28E+05,0.00527,0.00165,0.00198,,,,
3.60E+05,0.00336,0.000728,0.00179,,,,
3.93E+05,0.00233,0.00122,0.00257,,,,
4.26E+05,0.00295,0.00363,0.00203,,,,
4.59E+05,0.00303,0.00268,0.000643,,,,
4.92E+05,0.00314,0.00125,0.00173,,,,
5.24E+05,0.00323,0.00172,0.00122,,,,
5.90E+05,0.00443,0.000801,0.000798,,,,
6.55E+05,0.00262,0.00094,0.000149,,,,
7.21E+05,0.00514,0.000316,0.00133,,,,
7.86E+05,0.00414,9.75E-05,0.000584,,,,
8.52E+05,0.00633,0.000796,0.000546,,,,
9.18E+05,0.00506,0.000548,0.000479,,,,
9.83E+05,0.00632,0.000725,0.00211,,,,
1.05E+06,0.00779,0.0018,0.00272,,,,
1.18E+06,0.00802,0.00133,0.000754,,,,
1.31E+06,0.00837,0.00118,0.00144,,,,
1.44E+06,0.00731,0.00157,0.00105,,,,
1.57E+06,0.00981,0.00189,0.00221,,,,
1.70E+06,0.00938,0.00265,0.00145,,,,
1.84E+06,0.00966,0.000712,0.00242,,,,
1.97E+06,0.0116,0.00108,0.00273,,,,
2.10E+06,0,0,0,,,,
2.36E+06,0,0,0,,,,
2.62E+06,0,0,0,,,,
2.88E+06,0,0,0,,,,
3.15E+06,0,0,0,,,,
3.41E+06,0,0,0,,,,
3.67E+06,0,0,0,,,,
3.93E+06,0,0,0,,,,
4.19E+06,0,0,0,,,,
4.72E+06,0,0,0,,,,
5.24E+06,0,0,0,,,,
5.77E+06,0,0,0,,,,
6.29E+06,0,0,0,,,,
6.82E+06,0,0,0,,,,
7.34E+06,0,0,0,,,,
7.86E+06,0,0,0,,,,
8.39E+06,0,0,0,,,,
9.44E+06,0,0,0,,,,
1.05E+07,0,0,0,,,,
1.15E+07,0,0,0,,,,
1.26E+07,0,0,0,,,,
1.36E+07,0,0,0,,,,
1.47E+07,0,0,0,,,,
1.57E+07,0,0,0,,,,
1.68E+07,0,0,0,,,,
1.89E+07,0,0,0,,,,
2.10E+07,0,0,0,,,,
2.31E+07,0,0,0,,,,
2.52E+07,0,0,0,,,,
2.73E+07,0,0,0,,,,
2.94E+07,0,0,0,,,,
3.15E+07,0,0,0,,,,
3.36E+07,0,0,0,,,,
3.77E+07,0,0,0,,,,
4.19E+07,0,0,0,,,,
4.61E+07,0,0,0,,,,
5.03E+07,0,0,0,,,,
5.45E+07,0,0,0,,,,
5.87E+07,0,0,0,,,,
