X Lag Time,Record 1: JJ1_01mg_PO1_500ug_200rpm_10-00min_ST_No3 1,Record 2: JJ1_01mg_PO1_500ug_200rpm_10-00min_ST_No3 2,Record 3: JJ1_01mg_PO1_500ug_200rpm_10-00min_ST_No3 3,X Intensity,Record 1: JJ1_01mg_PO1_500ug_200rpm_10-00min_ST_No3 1,Record 2: JJ1_01mg_PO1_500ug_200rpm_10-00min_ST_No3 2,Record 3: JJ1_01mg_PO1_500ug_200rpm_10-00min_ST_No3 3
0.5,0.822,0.819,0.833,0.4,0,0,0
1,0.796,0.795,0.814,0.463,0,0,0
1.5,0.773,0.772,0.79,0.536,0,0,0
2,0.752,0.749,0.767,0.621,0,0,0
2.5,0.733,0.728,0.746,0.719,0.248,0,0
3,0.711,0.712,0.73,0.833,1.11,0,0
3.5,0.69,0.688,0.715,0.965,1.71,0,0
4,0.676,0.674,0.694,1.12,1.43,0,0
4.5,0.664,0.655,0.68,1.29,0.579,0,0
5.5,0.632,0.626,0.654,1.5,0,0,0
6.5,0.606,0.6,0.631,1.74,0,0,0
7.5,0.577,0.574,0.611,2.01,0,0,0
8.5,0.558,0.548,0.582,2.33,0,0,0
9.5,0.537,0.528,0.565,2.7,0,0,0
10.5,0.512,0.509,0.542,3.12,0,0,0
11.5,0.496,0.486,0.528,3.62,0,0,0
12.5,0.482,0.469,0.508,4.19,0,0,0
14.5,0.445,0.433,0.475,4.85,0,0,0
16.5,0.413,0.404,0.446,5.61,0,0,0
18.5,0.385,0.375,0.418,6.5,0,0.985,0.777
20.5,0.361,0.348,0.392,7.53,1.31,3.21,2.9
22.5,0.337,0.323,0.37,8.72,4.52,6.26,6.11
24.5,0.315,0.303,0.347,10.1,8.66,9.38,9.6
26.5,0.295,0.281,0.329,11.7,12.2,11.8,12.4
28.5,0.277,0.262,0.313,13.5,13.9,12.9,13.7
32.5,0.245,0.232,0.279,15.7,13.3,12.4,13.1
36.5,0.216,0.206,0.25,18.2,10.6,10.6,10.7
40.5,0.192,0.18,0.23,21,6.89,7.85,7.3
44.5,0.172,0.16,0.209,24.4,3.27,4.86,3.8
48.5,0.156,0.143,0.19,28.2,0.843,2.29,1.18
52.5,0.141,0.127,0.175,32.7,0,0.628,0
56.5,0.129,0.115,0.162,37.8,0,0,0
60.5,0.117,0.106,0.149,43.8,0,0,0
68.5,0.0972,0.0871,0.132,50.7,0,0,0
76.5,0.0839,0.0756,0.116,58.8,0,0,0
84.5,0.073,0.0656,0.104,68.1,0,0,0
92.5,0.0648,0.0565,0.0958,78.8,0,0,0
101,0.0586,0.0503,0.0889,91.3,0,0,0
109,0.0527,0.045,0.0836,106,0,0,0
117,0.0499,0.0428,0.0786,122,0,0,0
125,0.0477,0.0392,0.0749,142,0,0,0.17
141,0.0425,0.0342,0.0691,164,0,0,0.749
157,0.0391,0.0314,0.0647,190,0,0.0155,1.61
173,0.0369,0.0281,0.0618,220,0,0.164,2.46
189,0.0349,0.0266,0.0582,255,0.209,0.458,3.02
205,0.0327,0.0251,0.0563,295,0.648,0.849,3.11
221,0.0311,0.0244,0.0543,342,1.23,1.26,2.7
237,0.0294,0.0232,0.0528,396,1.82,1.63,1.93
253,0.0282,0.0221,0.0526,459,2.3,1.89,1.05
285,0.0262,0.0203,0.0509,531,2.59,2.02,0.343
317,0.024,0.0186,0.0499,615,2.63,1.99,0
349,0.0226,0.0175,0.0478,712,2.44,1.83,0
381,0.0226,0.0167,0.0466,825,2.06,1.57,0
413,0.0219,0.0164,0.0457,955,1.56,1.25,0
445,0.0204,0.0166,0.0423,1.11E+03,1.04,0.9,0
477,0.0199,0.015,0.0413,1.28E+03,0.577,0.58,0
509,0.0195,0.0146,0.0396,1.48E+03,0.237,0.318,0
573,0.0169,0.0124,0.0363,1.72E+03,0.0512,0.134,0
637,0.0157,0.0124,0.0361,1.99E+03,0,0.0334,0
701,0.0156,0.0118,0.0344,2.30E+03,0,0,0
765,0.0122,0.0113,0.0327,2.67E+03,0,0,0
829,0.00942,0.0094,0.0324,3.09E+03,0,0,0
893,0.0086,0.00757,0.0304,3.58E+03,0,0,0
957,0.00896,0.0064,0.0299,4.15E+03,0,0,0
1.02E+03,0.0069,0.00717,0.0294,4.80E+03,0,0,0.269
1.15E+03,0.00666,0.0067,0.0275,5.56E+03,0,0,1.08
1.28E+03,0.00482,0.00636,0.0258,6.44E+03,0,0,0
1.40E+03,0.006,0.00667,0.0244,7.46E+03,0,0,0
1.53E+03,0.00474,0.005,0.0223,8.63E+03,0,0,0
1.66E+03,0.00508,0.00422,0.0215,,,,
1.79E+03,0.00475,0.00534,0.021,,,,
1.92E+03,0.00501,0.00534,0.0222,,,,
2.04E+03,0.00521,0.00418,0.0204,,,,
2.30E+03,0.00273,0.00416,0.0203,,,,
2.56E+03,0.00217,0.0037,0.0208,,,,
2.81E+03,0.00365,0.00452,0.0201,,,,
3.07E+03,0.00345,0.00428,0.0201,,,,
3.32E+03,0.00348,0.00488,0.0192,,,,
3.58E+03,0.00403,0.00337,0.0199,,,,
3.84E+03,0.00227,0.00439,0.0192,,,,
4.09E+03,0.0023,0.00376,0.0185,,,,
4.60E+03,0.00304,0.00398,0.0191,,,,
5.12E+03,0.00172,0.00396,0.0201,,,,
5.63E+03,0.00283,0.00339,0.019,,,,
6.14E+03,0.00295,0.0037,0.0174,,,,
6.65E+03,0.00176,0.00425,0.0188,,,,
7.16E+03,0.0025,0.00352,0.0184,,,,
7.68E+03,0.00204,0.00459,0.0179,,,,
8.19E+03,0.00312,0.00376,0.0177,,,,
9.21E+03,0.00311,0.0036,0.018,,,,
1.02E+04,0.00163,0.00407,0.0178,,,,
1.13E+04,0.00225,0.00386,0.0184,,,,
1.23E+04,0.002,0.00298,0.0187,,,,
1.33E+04,0.00238,0.00299,0.0185,,,,
1.43E+04,0.00223,0.00276,0.0191,,,,
1.54E+04,0.00221,0.00327,0.0199,,,,
1.64E+04,0.00226,0.00312,0.0181,,,,
1.84E+04,0.00208,0.00285,0.018,,,,
2.05E+04,0.00269,0.00272,0.019,,,,
2.25E+04,0.00163,0.00313,0.0185,,,,
2.46E+04,0.00275,0.0028,0.019,,,,
2.66E+04,0.00205,0.00302,0.0196,,,,
2.87E+04,0.00295,0.0027,0.0211,,,,
3.07E+04,0.00299,0.00334,0.0215,,,,
3.28E+04,0.00269,0.00301,0.0178,,,,
3.69E+04,0.00236,0.00303,0.0164,,,,
4.10E+04,0.00228,0.00286,0.0165,,,,
4.51E+04,0.00186,0.00277,0.0154,,,,
4.91E+04,0.00209,0.00323,0.0158,,,,
5.32E+04,0.0023,0.00269,0.0168,,,,
5.73E+04,0.00225,0.003,0.0173,,,,
6.14E+04,0.00226,0.00316,0.0162,,,,
6.55E+04,0.00222,0.0024,0.0162,,,,
7.37E+04,0.00203,0.00251,0.0162,,,,
8.19E+04,0.0019,0.00267,0.0149,,,,
9.01E+04,0.00184,0.00234,0.0152,,,,
9.83E+04,0.00194,0.00261,0.016,,,,
1.06E+05,0.00191,0.00267,0.015,,,,
1.15E+05,0.00209,0.00237,0.0145,,,,
1.23E+05,0.00199,0.0026,0.0142,,,,
1.31E+05,0.00181,0.00272,0.0139,,,,
1.47E+05,0.00154,0.00279,0.0138,,,,
1.64E+05,0.00207,0.0027,0.0136,,,,
1.80E+05,0.00192,0.00251,0.0126,,,,
1.97E+05,0.00181,0.00238,0.0123,,,,
2.13E+05,0.00183,0.00235,0.0117,,,,
2.29E+05,0.00162,0.00264,0.0123,,,,
2.46E+05,0.0019,0.00247,0.0114,,,,
2.62E+05,0.00193,0.00294,0.00987,,,,
2.95E+05,0.00212,0.00286,0.00875,,,,
3.28E+05,0.00185,0.00299,0.00788,,,,
3.60E+05,0.0021,0.00271,0.00837,,,,
3.93E+05,0.0022,0.00279,0.00701,,,,
4.26E+05,0.00217,0.00259,0.007,,,,
4.59E+05,0.00207,0.0025,0.00719,,,,
4.92E+05,0.00201,0.00278,0.00662,,,,
5.24E+05,0.00128,0.00223,0.00605,,,,
5.90E+05,0.00199,0.00315,0.00616,,,,
6.55E+05,0.00174,0.00273,0.00509,,,,
7.21E+05,0.00182,0.00242,0.00483,,,,
7.86E+05,0.00105,0.00211,0.00388,,,,
8.52E+05,0.00133,0.00196,0.00366,,,,
9.18E+05,0.00116,0.00189,0.00241,,,,
9.83E+05,0.000799,0.00243,0.00141,,,,
1.05E+06,0.000242,0.00192,0.000729,,,,
1.18E+06,0.000216,0.00159,0.00138,,,,
1.31E+06,0.000407,0.00128,0.000546,,,,
1.44E+06,0.000189,0.00264,0.000946,,,,
1.57E+06,0.00226,0.00117,0.000853,,,,
1.70E+06,0.00186,0.00225,0.000627,,,,
1.84E+06,0.00249,0.00104,0.000998,,,,
1.97E+06,0.00237,0.000867,0.00018,,,,
2.10E+06,0,0,0,,,,
2.36E+06,0,0,0,,,,
2.62E+06,0,0,0,,,,
2.88E+06,0,0,0,,,,
3.15E+06,0,0,0,,,,
3.41E+06,0,0,0,,,,
3.67E+06,0,0,0,,,,
3.93E+06,0,0,0,,,,
4.19E+06,0,0,0,,,,
4.72E+06,0,0,0,,,,
5.24E+06,0,0,0,,,,
