X Lag Time,Record 1: JJ1_01mg_PO1_100ug_200rpm_10-00min_PM_No3_230621 1,Record 2: JJ1_01mg_PO1_100ug_200rpm_10-00min_PM_No3_230621 2,Record 3: JJ1_01mg_PO1_100ug_200rpm_10-00min_PM_No3_230621 3,X Intensity,Record 1: JJ1_01mg_PO1_100ug_200rpm_10-00min_PM_No3_230621 1,Record 2: JJ1_01mg_PO1_100ug_200rpm_10-00min_PM_No3_230621 2,Record 3: JJ1_01mg_PO1_100ug_200rpm_10-00min_PM_No3_230621 3
0.5,0.829,0.815,0.831,0.4,0,0,0
1,0.814,0.794,0.806,0.463,0,0,0
1.5,0.791,0.776,0.79,0.536,0,0,0
2,0.775,0.754,0.771,0.621,0,0,0
2.5,0.759,0.743,0.753,0.719,0,0,0
3,0.746,0.728,0.74,0.833,0,0,0
3.5,0.732,0.716,0.728,0.965,0,0,0
4,0.724,0.701,0.711,1.12,0,0,0
4.5,0.707,0.687,0.697,1.29,0,0,0
5.5,0.686,0.664,0.669,1.5,0,0,0
6.5,0.66,0.644,0.65,1.74,0,0,0
7.5,0.645,0.621,0.629,2.01,0,0,0
8.5,0.625,0.603,0.609,2.33,0,0,0
9.5,0.61,0.587,0.591,2.7,0,0,0
10.5,0.593,0.57,0.573,3.12,0,0,0
11.5,0.577,0.555,0.56,3.62,0,0,0
12.5,0.562,0.538,0.542,4.19,0,0,0
14.5,0.533,0.509,0.513,4.85,0,0,0
16.5,0.51,0.483,0.484,5.61,0,0,0
18.5,0.484,0.457,0.462,6.5,0,0,0
20.5,0.464,0.437,0.439,7.53,0,0.0331,0
22.5,0.444,0.414,0.42,8.72,2.76,3.61,2.67
24.5,0.424,0.394,0.396,10.1,8.03,9.3,8.53
26.5,0.405,0.377,0.378,11.7,12.8,14,14.3
28.5,0.391,0.361,0.362,13.5,14.4,15.2,16.8
32.5,0.359,0.331,0.33,15.7,11.9,12.3,14.6
36.5,0.336,0.304,0.305,18.2,6.82,7.07,9.05
40.5,0.313,0.283,0.281,21,2.03,2.18,3.18
44.5,0.292,0.261,0.261,24.4,0,0,0
48.5,0.275,0.244,0.243,28.2,0,0,0
52.5,0.26,0.228,0.228,32.7,0,0,0
56.5,0.247,0.216,0.215,37.8,0,0,0
60.5,0.233,0.204,0.203,43.8,0,0,0
68.5,0.213,0.183,0.184,50.7,0,0,0
76.5,0.198,0.167,0.169,58.8,0,0,0
84.5,0.185,0.155,0.157,68.1,0,0,0
92.5,0.175,0.145,0.146,78.8,0,0,0
101,0.166,0.138,0.138,91.3,0,0,0
109,0.16,0.13,0.131,106,0,0,0
117,0.154,0.127,0.126,122,0,0,0
125,0.149,0.122,0.12,142,0,0,0
141,0.141,0.115,0.114,164,0,0,0
157,0.135,0.109,0.109,190,0,0,0
173,0.13,0.104,0.105,220,0.456,0.895,1.01
189,0.126,0.0995,0.101,255,1.91,2.63,2.85
205,0.122,0.0971,0.0982,295,3.96,4.57,4.74
221,0.119,0.0953,0.0963,342,5.89,6.05,5.89
237,0.117,0.0931,0.096,396,7.07,6.59,5.88
253,0.115,0.0912,0.0933,459,7.17,6.08,4.76
285,0.11,0.087,0.0901,531,6.22,4.73,2.99
317,0.105,0.0821,0.0872,615,4.55,3,1.27
349,0.0995,0.0775,0.0828,712,2.66,1.4,0.214
381,0.0961,0.0744,0.0799,825,1.09,0.358,0
413,0.092,0.0702,0.0771,955,0.2,0,0
445,0.0878,0.0675,0.0739,1.11E+03,0,0,0
477,0.0833,0.0645,0.0725,1.28E+03,0,0,0
509,0.0783,0.062,0.07,1.48E+03,0,0,0
573,0.0719,0.0559,0.0639,1.72E+03,0,0,0
637,0.0665,0.0487,0.0605,1.99E+03,0,0,0
701,0.0604,0.0433,0.0555,2.30E+03,0,0,0
765,0.0568,0.0403,0.0516,2.67E+03,0,0,0
829,0.053,0.0381,0.0473,3.09E+03,0,0,0
893,0.0477,0.0346,0.0459,3.58E+03,0,0,0
957,0.0457,0.0326,0.0428,4.15E+03,0,0,0
1.02E+03,0.0426,0.0308,0.0402,4.80E+03,0,0,0.203
1.15E+03,0.0388,0.0254,0.0371,5.56E+03,0,0,1.02
1.28E+03,0.0349,0.0211,0.0333,6.44E+03,0,0,0
1.40E+03,0.0326,0.019,0.0306,7.46E+03,0,0,0
1.53E+03,0.0289,0.0178,0.03,8.63E+03,0,0,0
1.66E+03,0.0253,0.0168,0.031,,,,
1.79E+03,0.0236,0.0153,0.0303,,,,
1.92E+03,0.0224,0.0146,0.0287,,,,
2.04E+03,0.0206,0.0127,0.027,,,,
2.30E+03,0.0192,0.0117,0.0257,,,,
2.56E+03,0.0191,0.0121,0.0227,,,,
2.81E+03,0.0175,0.0115,0.0219,,,,
3.07E+03,0.0174,0.00968,0.0209,,,,
3.32E+03,0.0174,0.0106,0.021,,,,
3.58E+03,0.0152,0.0097,0.0203,,,,
3.84E+03,0.0169,0.00885,0.019,,,,
4.09E+03,0.0158,0.00888,0.0199,,,,
4.60E+03,0.015,0.00799,0.0216,,,,
5.12E+03,0.0147,0.00602,0.0202,,,,
5.63E+03,0.0134,0.00611,0.0183,,,,
6.14E+03,0.0139,0.0073,0.0178,,,,
6.65E+03,0.015,0.0061,0.0191,,,,
7.16E+03,0.0141,0.00555,0.019,,,,
7.68E+03,0.0157,0.00678,0.0185,,,,
8.19E+03,0.0155,0.00637,0.02,,,,
9.21E+03,0.0153,0.00659,0.0196,,,,
1.02E+04,0.0148,0.00605,0.0199,,,,
1.13E+04,0.0119,0.00561,0.0211,,,,
1.23E+04,0.0141,0.00649,0.0196,,,,
1.33E+04,0.0113,0.00582,0.0188,,,,
1.43E+04,0.0131,0.00485,0.0169,,,,
1.54E+04,0.0131,0.00591,0.017,,,,
1.64E+04,0.0126,0.00673,0.0177,,,,
1.84E+04,0.0136,0.0069,0.0186,,,,
2.05E+04,0.0133,0.00657,0.0173,,,,
2.25E+04,0.0123,0.00487,0.0172,,,,
2.46E+04,0.013,0.00638,0.0186,,,,
2.66E+04,0.014,0.00432,0.0171,,,,
2.87E+04,0.013,0.00586,0.0147,,,,
3.07E+04,0.0119,0.00515,0.0162,,,,
3.28E+04,0.0117,0.00475,0.016,,,,
3.69E+04,0.0135,0.00378,0.0163,,,,
4.10E+04,0.0133,0.00392,0.0151,,,,
4.51E+04,0.0129,0.00279,0.0154,,,,
4.91E+04,0.0132,0.00357,0.0153,,,,
5.32E+04,0.0129,0.00489,0.013,,,,
5.73E+04,0.013,0.00472,0.0123,,,,
6.14E+04,0.0118,0.00354,0.0131,,,,
