X Lag Time,Record 1: JJ1_01mg_PS2_010ug_200rpm_10-00min_PM_No4_230621 1,Record 2: JJ1_01mg_PS2_010ug_200rpm_10-00min_PM_No4_230621 2,Record 3: JJ1_01mg_PS2_010ug_200rpm_10-00min_PM_No4_230621 3,X Intensity,Record 1: JJ1_01mg_PS2_010ug_200rpm_10-00min_PM_No4_230621 1,Record 2: JJ1_01mg_PS2_010ug_200rpm_10-00min_PM_No4_230621 2,Record 3: JJ1_01mg_PS2_010ug_200rpm_10-00min_PM_No4_230621 3
0.5,0.757,0.757,0.76,0.4,0,0,0
1,0.736,0.733,0.739,0.463,0,0,0
1.5,0.71,0.705,0.713,0.536,0,0,0
2,0.687,0.684,0.689,0.621,0,0,0
2.5,0.662,0.659,0.666,0.719,0,0,0
3,0.642,0.639,0.647,0.833,0,0,0
3.5,0.625,0.619,0.631,0.965,0,0,0
4,0.605,0.603,0.612,1.12,0,0,0
4.5,0.59,0.586,0.596,1.29,0,0,0
5.5,0.557,0.553,0.565,1.5,0,0,0
6.5,0.528,0.523,0.536,1.74,0,0,0
7.5,0.501,0.497,0.51,2.01,0,0,0
8.5,0.477,0.472,0.487,2.33,0,0,0
9.5,0.453,0.449,0.462,2.7,0,0,0
10.5,0.431,0.427,0.442,3.12,0,0,0
11.5,0.411,0.406,0.423,3.62,0,0,0
12.5,0.392,0.386,0.403,4.19,0,0,0
14.5,0.356,0.351,0.369,4.85,0,0,0
16.5,0.324,0.319,0.337,5.61,0.0413,0.353,0
18.5,0.295,0.291,0.308,6.5,1.4,1.76,0.92
20.5,0.269,0.264,0.284,7.53,4.13,4.21,3.15
22.5,0.246,0.241,0.26,8.72,7.62,7.24,6.33
24.5,0.223,0.22,0.239,10.1,11,10.2,9.74
26.5,0.204,0.2,0.219,11.7,13.5,12.5,12.6
28.5,0.187,0.183,0.202,13.5,14.5,13.7,14.2
32.5,0.156,0.152,0.171,15.7,14,13.6,14.3
36.5,0.13,0.127,0.146,18.2,12.1,12.3,12.8
40.5,0.109,0.106,0.124,21,9.31,9.95,10.3
44.5,0.0929,0.0889,0.106,24.4,6.19,7.14,7.11
48.5,0.0776,0.0752,0.0904,28.2,3.36,4.35,4.06
