X Lag Time,Record 1: JJ1_01mg_PO1_010ug_200rpm_10-00min_PM_No1_230614 1,Record 2: JJ1_01mg_PO1_010ug_200rpm_10-00min_PM_No1_230614 2,Record 3: JJ1_01mg_PO1_010ug_200rpm_10-00min_PM_No1_230614 3,X Intensity,Record 1: JJ1_01mg_PO1_010ug_200rpm_10-00min_PM_No1_230614 1,Record 2: JJ1_01mg_PO1_010ug_200rpm_10-00min_PM_No1_230614 2,Record 3: JJ1_01mg_PO1_010ug_200rpm_10-00min_PM_No1_230614 3
0.5,0.795,0.777,0.791,0.4,0,0,0
1,0.769,0.749,0.764,0.463,0,0,0
1.5,0.742,0.72,0.738,0.536,0,0,0
2,0.722,0.695,0.714,0.621,0,0,0
2.5,0.698,0.677,0.694,0.719,0,0,0
3,0.685,0.658,0.678,0.833,0,0.406,0
3.5,0.669,0.639,0.658,0.965,0,1.5,0
4,0.654,0.617,0.641,1.12,0,2.03,0
4.5,0.636,0.605,0.626,1.29,0,1.42,0
5.5,0.605,0.572,0.6,1.5,0,0.363,0
6.5,0.579,0.543,0.571,1.74,0,0,0
7.5,0.555,0.518,0.547,2.01,0,0,0
8.5,0.533,0.496,0.532,2.33,0,0,0
9.5,0.513,0.471,0.506,2.7,0,0,0
10.5,0.487,0.451,0.487,3.12,0,0,0
11.5,0.472,0.435,0.469,3.62,0,0,0
12.5,0.455,0.412,0.452,4.19,0,0,0
14.5,0.42,0.382,0.416,4.85,0,0,0
16.5,0.39,0.348,0.386,5.61,0,0,0
18.5,0.362,0.322,0.36,6.5,0.718,0,0.834
20.5,0.338,0.295,0.332,7.53,2.88,1.45,2.94
22.5,0.312,0.272,0.31,8.72,6.14,4.8,5.98
24.5,0.291,0.249,0.291,10.1,9.58,9.08,9.18
26.5,0.273,0.229,0.271,11.7,12.2,12.9,11.7
28.5,0.254,0.211,0.254,13.5,13.4,15.1,13
32.5,0.223,0.182,0.222,15.7,12.8,15.2,12.6
36.5,0.195,0.155,0.196,18.2,10.7,13.2,10.8
40.5,0.173,0.134,0.173,21,7.55,9.73,7.98
44.5,0.155,0.115,0.155,24.4,4.28,5.85,4.87
48.5,0.139,0.0996,0.138,28.2,1.67,2.56,2.21
52.5,0.125,0.0858,0.124,32.7,0.265,0.582,0.549
56.5,0.113,0.075,0.111,37.8,0,0,0
60.5,0.102,0.0665,0.101,43.8,0,0,0
68.5,0.0841,0.053,0.084,50.7,0,0,0
76.5,0.0719,0.0437,0.0715,58.8,0,0,0
84.5,0.0618,0.0346,0.0623,68.1,0,0,0
92.5,0.055,0.0284,0.0532,78.8,0,0,0
101,0.0498,0.0233,0.0475,91.3,0,0,0
109,0.0424,0.0182,0.0424,106,0,0,0
117,0.0411,0.0167,0.0393,122,0,0,0
125,0.0379,0.0148,0.0366,142,0,0,0
141,0.0328,0.0108,0.0316,164,0,0,0
157,0.0302,0.00812,0.0283,190,0,0,0
173,0.0277,0.00829,0.0264,220,0,0,0
189,0.0261,0.00792,0.0236,255,0,0,0
205,0.0241,0.0085,0.0228,295,0,0,0.0111
221,0.0225,0.00792,0.0217,342,0.133,0,0.164
237,0.0226,0.00725,0.0208,396,0.439,0,0.472
253,0.0222,0.0066,0.0201,459,0.869,0,0.884
285,0.0206,0.00517,0.0206,531,1.34,0,1.32
