X Lag Time,Record 1: JJmAb1_01mg_PS2_500ug_200rpm_10-00min_ST_No3 1,Record 2: JJmAb1_01mg_PS2_500ug_200rpm_10-00min_ST_No3 2,Record 3: JJmAb1_01mg_PS2_500ug_200rpm_10-00min_ST_No3 3,X Intensity,Record 1: JJmAb1_01mg_PS2_500ug_200rpm_10-00min_ST_No3 1,Record 2: JJmAb1_01mg_PS2_500ug_200rpm_10-00min_ST_No3 2,Record 3: JJmAb1_01mg_PS2_500ug_200rpm_10-00min_ST_No3 3
0.5,0.753,0.764,0.752,0.4,0,0,0
1,0.741,0.754,0.738,0.463,0,0,0
1.5,0.729,0.744,0.729,0.536,0,0,0
2,0.718,0.729,0.72,0.621,0,0,0
2.5,0.704,0.721,0.711,0.719,0,0,0
3,0.698,0.714,0.704,0.833,0,0,0
3.5,0.693,0.704,0.692,0.965,0,0,0
4,0.684,0.697,0.695,1.12,0,0,0
4.5,0.676,0.693,0.684,1.29,0,0,0
5.5,0.661,0.678,0.67,1.5,0,0,0
6.5,0.647,0.664,0.658,1.74,0,0,0
7.5,0.634,0.65,0.649,2.01,0,0,0
8.5,0.623,0.64,0.64,2.33,0,0,0
9.5,0.611,0.63,0.628,2.7,0,0,0
10.5,0.6,0.618,0.618,3.12,0,0,0
11.5,0.592,0.612,0.61,3.62,0,0,0
12.5,0.584,0.601,0.602,4.19,0,0,0
14.5,0.563,0.584,0.585,4.85,0,0,0
16.5,0.546,0.566,0.571,5.61,0,0,0
18.5,0.53,0.549,0.558,6.5,0,0,0.399
20.5,0.515,0.536,0.541,7.53,0.618,0.352,1.95
22.5,0.5,0.52,0.533,8.72,2.65,2.27,4.09
24.5,0.487,0.509,0.519,10.1,5.32,5.2,5.97
26.5,0.475,0.494,0.508,11.7,7.47,7.78,7.02
28.5,0.464,0.485,0.497,13.5,8.25,8.81,7.11
32.5,0.439,0.461,0.48,15.7,7.49,7.87,6.51
36.5,0.421,0.443,0.463,18.2,5.58,5.45,5.55
40.5,0.405,0.426,0.448,21,3.27,2.67,4.49
44.5,0.388,0.412,0.434,24.4,1.34,0.675,3.4
48.5,0.377,0.394,0.423,28.2,0.254,0,2.25
52.5,0.363,0.383,0.411,32.7,0,0,1.12
56.5,0.352,0.373,0.4,37.8,0,0,0.277
60.5,0.343,0.362,0.392,43.8,0.278,0.193,0
68.5,0.323,0.345,0.376,50.7,0.813,0.86,0
76.5,0.309,0.33,0.362,58.8,1.38,1.68,0
84.5,0.295,0.316,0.351,68.1,1.74,2.19,0
92.5,0.284,0.305,0.342,78.8,1.72,2.1,0
101,0.273,0.296,0.332,91.3,1.36,1.49,0
109,0.266,0.285,0.325,106,0.796,0.685,0
117,0.258,0.28,0.319,122,0.279,0.123,0
125,0.252,0.273,0.313,142,0,0,0
141,0.241,0.261,0.304,164,0,0,0
157,0.233,0.253,0.294,190,0.481,0,0.627
173,0.225,0.246,0.287,220,1.58,0.702,4.38
189,0.216,0.238,0.28,255,3.17,2.38,9.49
205,0.209,0.23,0.275,295,4.92,4.7,12.8
221,0.203,0.224,0.269,342,6.43,7,12.1
237,0.198,0.218,0.265,396,7.32,8.55,7.81
253,0.192,0.214,0.26,459,7.35,8.84,2.63
285,0.184,0.203,0.25,531,6.48,7.75,0
317,0.176,0.194,0.243,615,4.94,5.6,0
349,0.169,0.184,0.236,712,3.09,3.08,0
381,0.162,0.177,0.23,825,1.43,1,0
413,0.156,0.171,0.225,955,0.354,0,0
445,0.151,0.165,0.219,1.11E+03,0,0,0
477,0.144,0.16,0.214,1.28E+03,0,0,0
509,0.139,0.155,0.209,1.48E+03,0,0,0
573,0.13,0.146,0.199,1.72E+03,0,0,0
637,0.121,0.137,0.19,1.99E+03,0,0,0
701,0.112,0.129,0.182,2.30E+03,0,0,0
765,0.106,0.121,0.175,2.67E+03,0,0,0
829,0.102,0.114,0.171,3.09E+03,0,0,0
893,0.0971,0.108,0.165,3.58E+03,0,0,0
957,0.0908,0.102,0.159,4.15E+03,0,0,0
1.02E+03,0.087,0.0974,0.154,4.80E+03,0.344,0,0
1.15E+03,0.0795,0.0901,0.145,5.56E+03,1.5,0,0
1.28E+03,0.0721,0.0836,0.138,6.44E+03,0,0,0
1.40E+03,0.0661,0.0756,0.13,7.46E+03,0,0,0
1.53E+03,0.0595,0.0683,0.124,8.63E+03,0,0,0
1.66E+03,0.0544,0.0619,0.118,,,,
1.79E+03,0.0506,0.058,0.113,,,,
1.92E+03,0.0469,0.0539,0.109,,,,
2.04E+03,0.045,0.0504,0.106,,,,
2.30E+03,0.0411,0.0441,0.0978,,,,
2.56E+03,0.0368,0.0394,0.0897,,,,
2.81E+03,0.0325,0.0375,0.0862,,,,
3.07E+03,0.0302,0.0337,0.0837,,,,
3.32E+03,0.0275,0.0309,0.0802,,,,
3.58E+03,0.0268,0.0285,0.079,,,,
3.84E+03,0.0265,0.0241,0.077,,,,
4.09E+03,0.0256,0.0245,0.0763,,,,
4.60E+03,0.0239,0.0259,0.0768,,,,
5.12E+03,0.0238,0.0261,0.0777,,,,
5.63E+03,0.0229,0.0255,0.077,,,,
6.14E+03,0.022,0.0248,0.077,,,,
6.65E+03,0.0213,0.025,0.0765,,,,
7.16E+03,0.0216,0.0254,0.073,,,,
7.68E+03,0.0223,0.0263,0.0704,,,,
8.19E+03,0.0216,0.0259,0.0715,,,,
9.21E+03,0.0212,0.0243,0.0738,,,,
1.02E+04,0.0195,0.0213,0.075,,,,
1.13E+04,0.0209,0.021,0.0715,,,,
1.23E+04,0.0195,0.0226,0.0709,,,,
1.33E+04,0.0196,0.0227,0.0719,,,,
1.43E+04,0.0188,0.0221,0.0739,,,,
1.54E+04,0.0166,0.0209,0.0739,,,,
1.64E+04,0.0162,0.0205,0.0741,,,,
1.84E+04,0.017,0.0207,0.0689,,,,
2.05E+04,0.0168,0.0216,0.0651,,,,
2.25E+04,0.0165,0.0199,0.0648,,,,
2.46E+04,0.0183,0.0238,0.0677,,,,
2.66E+04,0.017,0.0241,0.067,,,,
2.87E+04,0.0165,0.022,0.0659,,,,
3.07E+04,0.0168,0.0199,0.0667,,,,
3.28E+04,0.018,0.0213,0.067,,,,
3.69E+04,0.0175,0.0216,0.0655,,,,
4.10E+04,0.0187,0.0187,0.0646,,,,
4.51E+04,0.0177,0.0197,0.0626,,,,
4.91E+04,0.0196,0.0198,0.0597,,,,
5.32E+04,0.0189,0.02,0.0597,,,,
5.73E+04,0.0205,0.0186,0.0609,,,,
