X Lag Time,Record 1: JJ1_01mg_PS2_100ug_200rpm_10-00min_ST_No1_230613 1,Record 2: JJ1_01mg_PS2_100ug_200rpm_10-00min_ST_No1_230613 2,Record 3: JJ1_01mg_PS2_100ug_200rpm_10-00min_ST_No1_230613 3,X Intensity,Record 1: JJ1_01mg_PS2_100ug_200rpm_10-00min_ST_No1_230613 1,Record 2: JJ1_01mg_PS2_100ug_200rpm_10-00min_ST_No1_230613 2,Record 3: JJ1_01mg_PS2_100ug_200rpm_10-00min_ST_No1_230613 3
0.5,0.783,0.835,0.784,0.4,0,0,0
1,0.765,0.821,0.771,0.463,0,0,0
1.5,0.753,0.799,0.751,0.536,0,0,0
2,0.732,0.786,0.737,0.621,0,0,0
2.5,0.723,0.772,0.722,0.719,0,0,0
3,0.705,0.761,0.706,0.833,0,0,0
3.5,0.693,0.745,0.695,0.965,0,0,0
4,0.684,0.738,0.682,1.12,0,0,0
4.5,0.671,0.724,0.67,1.29,0,0,0
5.5,0.653,0.703,0.649,1.5,0,0,0
6.5,0.631,0.686,0.629,1.74,0,0,0
7.5,0.615,0.667,0.611,2.01,0,0,0
8.5,0.595,0.649,0.592,2.33,0,0,0
9.5,0.579,0.635,0.578,2.7,0,0,0
10.5,0.563,0.618,0.555,3.12,0,0,0
11.5,0.55,0.605,0.544,3.62,0,0,0
12.5,0.536,0.592,0.529,4.19,0,0,0
14.5,0.51,0.568,0.501,4.85,0,0,0
16.5,0.486,0.544,0.479,5.61,0,0,0
18.5,0.463,0.521,0.453,6.5,0,0,0
20.5,0.441,0.499,0.433,7.53,1.54,0,0.602
22.5,0.423,0.481,0.414,8.72,5.34,2.59,4.05
24.5,0.405,0.462,0.394,10.1,10.1,8.63,9.29
26.5,0.389,0.447,0.377,11.7,13.8,14.6,14
28.5,0.373,0.432,0.361,13.5,14.8,16.7,15.9
32.5,0.345,0.404,0.332,15.7,12.7,13.7,14.3
36.5,0.321,0.379,0.308,18.2,8.31,7.45,9.95
40.5,0.3,0.357,0.285,21,3.55,1.85,4.75
44.5,0.282,0.339,0.265,24.4,0.495,0,1.03
48.5,0.265,0.322,0.249,28.2,0,0,0
52.5,0.25,0.307,0.234,32.7,0,0,0
56.5,0.239,0.295,0.22,37.8,0,0,0
60.5,0.227,0.283,0.209,43.8,0,0,0
68.5,0.207,0.263,0.189,50.7,0,0,0
76.5,0.193,0.247,0.174,58.8,0,0,0
84.5,0.18,0.234,0.161,68.1,0,0,0
92.5,0.171,0.224,0.151,78.8,0,0,0
101,0.163,0.215,0.142,91.3,0,0,0
109,0.157,0.208,0.135,106,0,0,0
117,0.15,0.202,0.13,122,0,0,0
125,0.146,0.197,0.125,142,1.63,0,1.33
141,0.137,0.188,0.117,164,4.38,0,3.7
157,0.131,0.182,0.111,190,6.69,1.97,5.79
173,0.125,0.175,0.105,220,7.23,5.51,6.42
189,0.12,0.17,0.101,255,5.7,8.4,5.22
205,0.118,0.166,0.0981,295,2.98,8.83,2.88
221,0.116,0.164,0.0963,342,0.682,6.53,0.762
237,0.113,0.161,0.0936,396,0,2.94,0
253,0.111,0.159,0.0911,459,0,0.316,0
285,0.106,0.156,0.0874,531,0,0,0
317,0.101,0.151,0.0829,615,0,0,0
349,0.0977,0.147,0.0788,712,0,0,0
381,0.0954,0.141,0.0764,825,0,0,0
413,0.0931,0.138,0.0755,955,0,0,0
445,0.0894,0.134,0.0735,1.11E+03,0,0,0
477,0.0864,0.13,0.0715,1.28E+03,0,0,0
509,0.0834,0.127,0.0685,1.48E+03,0,0,0
573,0.0787,0.12,0.0635,1.72E+03,0,0,0
637,0.0748,0.113,0.0588,1.99E+03,0,0,0
701,0.0692,0.108,0.0542,2.30E+03,0,0,0
765,0.0644,0.103,0.0505,2.67E+03,0,0,0
829,0.0613,0.0972,0.0486,3.09E+03,0,0,0
893,0.0585,0.0937,0.0466,3.58E+03,0,0,0
957,0.055,0.0881,0.0435,4.15E+03,0,0,0
1.02E+03,0.0526,0.0851,0.0428,4.80E+03,0,0,0
1.15E+03,0.0484,0.0792,0.0372,5.56E+03,0,0,0
1.28E+03,0.045,0.074,0.0339,6.44E+03,0,0,0
1.40E+03,0.0414,0.0715,0.0308,7.46E+03,0,0,0
1.53E+03,0.0406,0.0668,0.0302,8.63E+03,0,0,0
1.66E+03,0.0409,0.065,0.0297,,,,
1.79E+03,0.0389,0.0638,0.0281,,,,
1.92E+03,0.0369,0.0618,0.0263,,,,
2.04E+03,0.0366,0.062,0.0251,,,,
2.30E+03,0.0372,0.0618,0.0248,,,,
2.56E+03,0.0371,0.06,0.023,,,,
2.81E+03,0.0352,0.0577,0.025,,,,
3.07E+03,0.0356,0.0565,0.0232,,,,
3.32E+03,0.0355,0.0561,0.0243,,,,
3.58E+03,0.0368,0.0558,0.025,,,,
3.84E+03,0.0347,0.0565,0.0233,,,,
4.09E+03,0.0347,0.0561,0.0232,,,,
4.60E+03,0.0341,0.0562,0.0237,,,,
5.12E+03,0.0333,0.0562,0.0229,,,,
5.63E+03,0.0341,0.0548,0.0217,,,,
6.14E+03,0.0343,0.0533,0.0228,,,,
6.65E+03,0.0335,0.0526,0.0229,,,,
7.16E+03,0.0314,0.054,0.022,,,,
7.68E+03,0.0326,0.0535,0.0205,,,,
8.19E+03,0.0327,0.0537,0.021,,,,
9.21E+03,0.0331,0.0514,0.0211,,,,
1.02E+04,0.033,0.0514,0.0211,,,,
1.13E+04,0.0316,0.0519,0.0207,,,,
1.23E+04,0.0311,0.0531,0.0216,,,,
1.33E+04,0.0302,0.0544,0.0213,,,,
1.43E+04,0.0281,0.0513,0.0224,,,,
1.54E+04,0.0282,0.049,0.022,,,,
1.64E+04,0.0284,0.0498,0.0202,,,,
1.84E+04,0.0275,0.0515,0.0207,,,,
2.05E+04,0.0271,0.0518,0.0203,,,,
2.25E+04,0.0276,0.0504,0.0196,,,,
2.46E+04,0.0282,0.0498,0.0189,,,,
2.66E+04,0.0271,0.0504,0.018,,,,
2.87E+04,0.0267,0.0489,0.0175,,,,
3.07E+04,0.0254,0.0485,0.0179,,,,
3.28E+04,0.0251,0.0464,0.0172,,,,
3.69E+04,0.0236,0.0469,0.0172,,,,
4.10E+04,0.0232,0.0441,0.0154,,,,
4.51E+04,0.0217,0.0429,0.0134,,,,
4.91E+04,0.0208,0.0409,0.0126,,,,
5.32E+04,0.0193,0.0417,0.0117,,,,
5.73E+04,0.0184,0.0405,0.0123,,,,
6.14E+04,0.0188,0.0411,0.0104,,,,
6.55E+04,0.0182,0.0393,0.00968,,,,
7.37E+04,0.0168,0.0369,0.00738,,,,
8.19E+04,0.0164,0.0362,0.00741,,,,
9.01E+04,0.0162,0.0357,0.0057,,,,
9.83E+04,0.0147,0.0359,0.00528,,,,
1.06E+05,0.0149,0.0353,0.00446,,,,
1.15E+05,0.0142,0.034,0.0037,,,,
1.23E+05,0.0129,0.0344,0.00396,,,,
1.31E+05,0.0116,0.0332,0.00411,,,,
1.47E+05,0.0111,0.0336,0.00272,,,,
1.64E+05,0.0101,0.0321,0.0024,,,,
1.80E+05,0.00957,0.0313,0.00191,,,,
1.97E+05,0.00802,0.0315,0.00236,,,,
2.13E+05,0.00836,0.0295,0.00176,,,,
2.29E+05,0.00798,0.028,0.00238,,,,
2.46E+05,0.00878,0.0272,0.00175,,,,
2.62E+05,0.0102,0.0259,0.00176,,,,
2.95E+05,0.0107,0.0236,0.00222,,,,
3.28E+05,0.0113,0.021,0.00263,,,,
3.60E+05,0.0117,0.0204,0.00161,,,,
3.93E+05,0.00908,0.0196,0.00185,,,,
4.26E+05,0.00949,0.0188,0.00219,,,,
4.59E+05,0.00937,0.0176,0.00246,,,,
4.92E+05,0.00832,0.016,0.00208,,,,
5.24E+05,0.00472,0.0156,0.00364,,,,
5.90E+05,0.00462,0.00869,0.00483,,,,
6.55E+05,0.00361,0.00398,0.00291,,,,
7.21E+05,0.00288,0.00213,0.00225,,,,
7.86E+05,0.00273,0,0.00105,,,,
8.52E+05,0.00134,0.000338,0.00149,,,,
9.18E+05,0.00102,0,0.00215,,,,
9.83E+05,0.000888,0,0.00195,,,,
1.05E+06,0.00267,0,0.000998,,,,
1.18E+06,0.00158,0.000843,0.0033,,,,
1.31E+06,0.00108,0.00155,0.0027,,,,
1.44E+06,0,0.00111,0.00216,,,,
1.57E+06,0,0.000776,0.00436,,,,
1.70E+06,0,0.00123,0.00801,,,,
1.84E+06,0,0.0014,0.00837,,,,
1.97E+06,0.000618,0.000124,0.00669,,,,
2.10E+06,0,0,0,,,,
2.36E+06,0,0,0,,,,
2.62E+06,0,0,0,,,,
2.88E+06,0,0,0,,,,
3.15E+06,0,0,0,,,,
3.41E+06,0,0,0,,,,
3.67E+06,0,0,0,,,,
3.93E+06,0,0,0,,,,
4.19E+06,0,0,0,,,,
4.72E+06,0,0,0,,,,
5.24E+06,0,0,0,,,,
5.77E+06,0,0,0,,,,
6.29E+06,0,0,0,,,,
6.82E+06,0,0,0,,,,
7.34E+06,0,0,0,,,,
7.86E+06,0,0,0,,,,
8.39E+06,0,0,0,,,,
9.44E+06,0,0,0,,,,
1.05E+07,0,0,0,,,,
1.15E+07,0,0,0,,,,
1.26E+07,0,0,0,,,,
1.36E+07,0,0,0,,,,
1.47E+07,0,0,0,,,,
1.57E+07,0,0,0,,,,
1.68E+07,0,0,0,,,,
1.89E+07,0,0,0,,,,
2.10E+07,0,0,0,,,,
2.31E+07,0,0,0,,,,
2.52E+07,0,0,0,,,,
2.73E+07,0,0,0,,,,
2.94E+07,0,0,0,,,,
3.15E+07,0,0,0,,,,
3.36E+07,0,0,0,,,,
3.77E+07,0,0,0,,,,
4.19E+07,0,0,0,,,,
4.61E+07,0,0,0,,,,
5.03E+07,0,0,0,,,,
5.45E+07,0,0,0,,,,
5.87E+07,0,0,0,,,,
