X Lag Time,Record 1: JJ1_01mg_PO1_010ug_200rpm_10-00min_PM_No3_230620 1,Record 2: JJ1_01mg_PO1_010ug_200rpm_10-00min_PM_No3_230620 2,Record 3: JJ1_01mg_PO1_010ug_200rpm_10-00min_PM_No3_230620 3,X Intensity,Record 1: JJ1_01mg_PO1_010ug_200rpm_10-00min_PM_No3_230620 1,Record 2: JJ1_01mg_PO1_010ug_200rpm_10-00min_PM_No3_230620 2,Record 3: JJ1_01mg_PO1_010ug_200rpm_10-00min_PM_No3_230620 3
0.5,0.866,0.85,0.861,0.4,0,0,0
1,0.853,0.839,0.846,0.463,0,0,0
1.5,0.835,0.83,0.831,0.536,0,0,0
2,0.829,0.816,0.824,0.621,0,0,0
2.5,0.821,0.808,0.814,0.719,0,0,0
3,0.813,0.794,0.814,0.833,0,0,0
3.5,0.809,0.792,0.799,0.965,0,0,0
4,0.797,0.785,0.794,1.12,0,0,0
4.5,0.792,0.778,0.784,1.29,0,0,0
5.5,0.78,0.762,0.776,1.5,0,0,0
6.5,0.766,0.749,0.764,1.74,0,0,0
7.5,0.753,0.733,0.744,2.01,0,0,0
8.5,0.736,0.727,0.734,2.33,0,0,0
9.5,0.73,0.715,0.727,2.7,0,0,0
10.5,0.721,0.702,0.716,3.12,0,0,0
11.5,0.714,0.691,0.706,3.62,0,0,0
12.5,0.702,0.682,0.701,4.19,0,0,0
14.5,0.685,0.664,0.679,4.85,0,0,0
16.5,0.667,0.645,0.663,5.61,0,0,0
18.5,0.651,0.629,0.649,6.5,0,0,0
20.5,0.637,0.616,0.632,7.53,0,0,0.156
22.5,0.622,0.6,0.619,8.72,1.15,1.3,1.6
24.5,0.612,0.585,0.604,10.1,3.23,3.67,3.8
26.5,0.597,0.575,0.593,11.7,5.25,5.93,5.7
28.5,0.586,0.562,0.581,13.5,6.27,6.97,6.43
32.5,0.565,0.54,0.56,15.7,5.84,6.35,5.71
36.5,0.545,0.52,0.54,18.2,4.23,4.41,3.92
40.5,0.524,0.5,0.521,21,2.19,2.1,1.87
44.5,0.511,0.482,0.505,24.4,0.61,0.465,0.428
48.5,0.494,0.467,0.491,28.2,0,0,0
52.5,0.48,0.456,0.478,32.7,0,0,0
56.5,0.47,0.441,0.465,37.8,0,0,0
60.5,0.459,0.43,0.455,43.8,0,0,0
68.5,0.437,0.41,0.435,50.7,0,0,0
76.5,0.421,0.392,0.418,58.8,0,0,0
84.5,0.405,0.377,0.403,68.1,0,0,0
92.5,0.391,0.362,0.388,78.8,0,0,0
101,0.38,0.352,0.374,91.3,0,0,0
109,0.369,0.34,0.365,106,0.0381,0,0
117,0.359,0.331,0.356,122,0.626,0.261,0.139
125,0.35,0.323,0.348,142,1.86,1.44,1.09
141,0.333,0.307,0.333,164,3.59,3.45,2.86
157,0.32,0.294,0.32,190,5.51,5.84,5.12
173,0.308,0.282,0.306,220,7.27,8.01,7.36
189,0.296,0.271,0.296,255,8.56,9.47,9.1
205,0.285,0.261,0.284,295,9.18,9.92,9.98
221,0.275,0.251,0.274,342,9.02,9.3,9.85
237,0.265,0.242,0.265,396,8.12,7.78,8.77
253,0.256,0.234,0.256,459,6.64,5.73,6.98
285,0.239,0.218,0.241,531,4.83,3.58,4.86
317,0.224,0.202,0.225,615,3.01,1.74,2.81
349,0.21,0.19,0.212,712,1.47,0.513,1.2
381,0.198,0.178,0.2,825,0.444,0,0.276
413,0.187,0.167,0.186,955,0.0016,0,0
445,0.173,0.157,0.175,1.11E+03,0,0,0
477,0.163,0.147,0.164,1.28E+03,0,0,0
509,0.154,0.138,0.155,1.48E+03,0,0,0
573,0.137,0.123,0.138,1.72E+03,0,0,0
637,0.121,0.108,0.123,1.99E+03,0,0,0
701,0.108,0.0965,0.109,2.30E+03,0,0,0
765,0.0987,0.0865,0.0978,2.67E+03,0,0,0
829,0.087,0.0765,0.0889,3.09E+03,0,0,0
893,0.0773,0.0665,0.0795,3.58E+03,0,0.0595,0
957,0.0692,0.0611,0.0704,4.15E+03,0.0399,0.262,0
1.02E+03,0.0629,0.0552,0.0646,4.80E+03,0.299,0.574,0
1.15E+03,0.0528,0.0458,0.0515,5.56E+03,0.728,0.894,0
1.28E+03,0.043,0.0357,0.0411,6.44E+03,0,0,0
1.40E+03,0.0359,0.0305,0.0342,7.46E+03,0,0,0
1.53E+03,0.0296,0.0269,0.0288,8.63E+03,0,0,0
1.66E+03,0.0242,0.0236,0.0238,,,,
1.79E+03,0.02,0.0205,0.0204,,,,
1.92E+03,0.0168,0.0178,0.0182,,,,
2.04E+03,0.015,0.0154,0.0174,,,,
2.30E+03,0.0115,0.0125,0.0155,,,,
2.56E+03,0.00898,0.0128,0.0116,,,,
2.81E+03,0.00944,0.0118,0.00828,,,,
3.07E+03,0.00858,0.0117,0.00616,,,,
3.32E+03,0.00739,0.0113,0.00534,,,,
3.58E+03,0.00524,0.0116,0.00436,,,,
3.84E+03,0.00482,0.0124,0.00412,,,,
4.09E+03,0.00421,0.0105,0.00333,,,,
4.60E+03,0.00551,0.00959,0.00438,,,,
5.12E+03,0.0057,0.00924,0.00308,,,,
5.63E+03,0.0051,0.00634,0.00307,,,,
6.14E+03,0.0047,0.00669,0.00215,,,,
6.65E+03,0.00428,0.00753,0.001,,,,
7.16E+03,0.00368,0.00661,0.00298,,,,
7.68E+03,0.00308,0.00677,0.00227,,,,
8.19E+03,0.00252,0.00549,0.00281,,,,
9.21E+03,0.00547,0.00558,0.00208,,,,
1.02E+04,0.00604,0.00595,6.60E-05,,,,
1.13E+04,0.00586,0.00637,0.00192,,,,
1.23E+04,0.00424,0.00527,0.00344,,,,
1.33E+04,0.00345,0.00604,0.00528,,,,
1.43E+04,0.00426,0.00442,0.00524,,,,
1.54E+04,0.00518,0.00515,0.00328,,,,
1.64E+04,0.0049,0.00728,0.00479,,,,
1.84E+04,0.00764,0.00444,0.00706,,,,
2.05E+04,0.00391,0.00413,0.00324,,,,
